,https://roic.ai/company/UEEC,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,8190,23903,69071,- -,- -,- -,162680,53270,242010,183170,34880,4930,643,59
2,COGS,- -,- -,- -,- -,16641,56447,- -,- -,- -,82960,27510,117930,100990,22270,1320,195,25
3,Gross Profit,- -,- -,- -,8190,7262,12624,- -,- -,- -,79720,25760,124080,82180,12610,3610,448,34
4,Gross Profit Ratio,- -,- -,- -,1.0000,0.3038,0.1828,- -,- -,- -,0.4900,0.4836,0.5127,0.4487,0.3615,0.7323,0.6967,0.5763
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19940,76950,666390,245218,237458
6,General and Administrative Exp.,15501,191160,228265,284879,487055,- -,- -,107018,1219767,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",15501,191160,228265,284879,487055,- -,- -,107018,1219767,- -,- -,- -,- -,- -,- -,- -,29563211
9,Other Expenses,- -,- -,- -,- -,50000,2647093,1317409,100000,100000,2171902,2608468,641551,1278014,2249781,5431333,14603881,- -
10,Operating Expenses,- -,- -,- -,284879,537055,2647093,1317409,207018,1319767,2171902,2608468,641551,1297954,2326731,6097723,14849099,29800669
11,COGS and Expenses,15501,191160,228265,284879,553696,2703540,1320000,210000,1320000,2254870,2635980,759480,1528320,5441180,6099040,14849294,29800694
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,81298,81133,- -,- -,- -,- -,- -,- -,- -,- -,508183,546228,226139
14,Depreciation and Amortization,- -,- -,- -,- -,50000,100000,100000,100000,100000,50000,- -,- -,- -,- -,508183,535766,608710
15,EBITDA,-15501,-191160,-228265,-276689,-778709,-2714469,-1220000,-110000,-1220000,-2094330,-2591860,-535740,-1466790,-5402370,-5585934,-14629406,-29714334
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-33.7838,-32.5779,-39.2997,-Infinity,-Infinity,-Infinity,-12.8739,-48.6552,-2.2137,-8.0078,-154.8845,-1133.0495,-22751.7978,-503632.7797
17,Operating Income,- -,- -,-228265,- -,-529793,-2634469,-1317409,-207018,-1316707,-2092188,-2582714,-517475,-719318,-2377570,-6094112,-14848651,-29800635
18,Operating Income ratio,- -,- -,-Infinity,- -,-22.1643,-38.1415,-Infinity,-Infinity,-Infinity,-12.8608,-48.4835,-2.1382,-3.9271,-68.1643,-1236.1282,-23092.7698,-505095.5085
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-380214,-261133,-272591,-72982,186707,-52142,-9146,-18265,-747472,-3024800,-508188,-862749,-748548
20,Income Before Tax,- -,- -,- -,- -,-910007,-2895602,-1590000,-280000,-1130000,-2144330,-2591860,-535740,-1466790,-5402370,-6602300,-15711400,-30549183
21,Income Before Tax Ratio,- -,- -,- -,- -,-38.0708,-41.9221,-Infinity,-Infinity,-Infinity,-13.1813,-48.6552,-2.2137,-8.0078,-154.8845,-1339.2089,-24434.5257,-517782.7627
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-15501,-191160,-228265,-276689,-910007,-2895602,-1590000,-280000,-1130000,-2144330,-2591860,-535740,-1466790,-5402370,-6602300,-15711400,-30549183
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-33.7838,-38.0708,-41.9221,-Infinity,-Infinity,-Infinity,-13.1813,-48.6552,-2.2137,-8.0078,-154.8845,-1339.2089,-24434.5257,-517782.7627
25,EPS,-0.00,-0.01,-0.01,-0.01,-0.02,-0.06,-0.02,-0.00,-0.01,-0.02,-0.02,-0.00,-0.01,-0.04,-0.04,-0.09,-0.17
26,EPS Diluted,-0.00,-0.01,-0.01,-0.01,-0.02,-0.06,-0.02,-0.00,-0.01,-0.02,-0.02,-0.00,-0.01,-0.04,-0.04,-0.09,-0.17
27,Weighted Average Shares Outstanding,52094300,28615252,28781639,33660768,39355935,50958334,80850378,83368821,94403138,102945825,138680899,152097840,156390830,170056249,175876273,183756271,183756271
28,Weighted Average Shares Outstanding Diluted,52094300,41725428,41781639,33660768,39355935,50958334,80850378,83368821,94403138,102945825,138680899,152097840,156390830,170056249,175876273,183756271,183756271
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1096938/000147793213002947/0001477932-13-002947-index.htm,https://www.sec.gov/Archives/edgar/data/1096938/000147793213002955/0001477932-13-002955-index.htm,https://www.sec.gov/Archives/edgar/data/1096938/000147793214001795/0001477932-14-001795-index.htm,https://www.sec.gov/Archives/edgar/data/1096938/000147793215004083/0001477932-15-004083-index.htm,https://www.sec.gov/Archives/edgar/data/1096938/000147793216010265/0001477932-16-010265-index.htm,https://www.sec.gov/Archives/edgar/data/1096938/000147793217002659/0001477932-17-002659-index.htm,https://www.sec.gov/Archives/edgar/data/1096938/000147793218001906/0001477932-18-001906-index.htm,https://www.sec.gov/Archives/edgar/data/1096938/000147793219001364/0001477932-19-001364-index.html,https://www.sec.gov/Archives/edgar/data/1096938/000147793220003845/0001477932-20-003845-index.htm,https://www.sec.gov/Archives/edgar/data/1096938/000147793221001799/0001477932-21-001799-index.htm,https://www.sec.gov/Archives/edgar/data/1096938/000147793222001949/0001477932-22-001949-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,24169,31,383,8018,2381,- -,- -,- -,8270,1480,29370,189940,31270,16620,46076,21799
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,24169,31,383,8018,2381,- -,- -,- -,8270,1480,29370,189940,31270,16620,46076,21799
34,Net Receivables,- -,6800,20800,11740,3550,- -,- -,- -,- -,- -,8850,105630,370,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,30000,31870,41920,61970,37390,31980,76850,69674,- -
36,Other Current Assets,- -,972,972,- -,- -,38017,- -,- -,10000,880,220,-10,12120,50000,- -,- -,5000
37,Total Current Assets,- -,31941,21803,12123,11568,40398,- -,- -,40000,41020,52470,196960,239820,113250,93470,115750,26799
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101350,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,250000,150000,50000,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,450000,350000,250000,150000,50000,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,250000,180000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
