,https://roic.ai/company/ZYME,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,1670000,9660000,11009000,51762000,53019000,29544000,38951,34017534
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,38951,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,12622000,24654000,36816000,41749000,56684000,115900000,168534,254687795
6,General and Administrative Exp.,3945000,5217000,12554000,18550000,29457000,64177000,57885,54315852
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3945000,5217000,12554000,18550000,29457000,64177000,57885,54315852
9,Other Expenses,- -,- -,- -,- -,5000,- -,- -,0
10,Operating Expenses,16567000,29871000,49370000,60299000,86146000,180077000,226419,309003647
11,COGS and Expenses,14418000,29620000,48105000,59224000,86146000,180077000,226419,309003647
12,Interest Income ,116000,324000,308000,743000,2638000,6022000,5697000,2505414
13,Interest Expense (Gain),9000,18000,950000,892000,166000,- -,- -,- -
14,Depreciation and Amortization,412000,494000,1025000,2739000,3630000,7331000,13107370,12218517
15,EBITDA,-12521000,-18624000,-36909000,-6331000,-30589000,-138688000,12926389,-258543456
16,EBITDA ratio,-7.4976,-1.9280,-3.3526,-0.1223,-0.5769,-4.6943,331.8628,-7.6003
17,Operating Income,-14798643,-27698292,-50893002,-11314985,-45119968,-197639957,-239051695,-274936388
18,Operating Income ratio,-8.8615,-2.8673,-4.6229,-0.2186,-0.8510,-6.6897,-6137.2415,-8.0822
19,Total Other Income Expenses (Gains),1856643,8562292,12009002,1352985,10734968,51620957,238871572,4174415
20,Income Before Tax,-12942000,-19136000,-38884000,-9962000,-34385000,-146019000,-180123,-270761972
21,Income Before Tax Ratio,-7.7497,-1.9810,-3.5320,-0.1925,-0.6485,-4.9424,-4.6243,-7.9595
22,Income Tax expense (Gain),- -,34000,-5075000,444000,2171000,-582000,-429,-657910
23,Net Income,-12942000,-19170000,-33809000,-10406000,-36556000,-145437000,-180552,-270104062
24,Net Income ratio,-7.7497,-1.9845,-3.0710,-0.2010,-0.6895,-4.9227,-4.6354,-7.9401
25,EPS,-0.76,-1.34,-2.34,-0.64,-1.72,-5.00,-4.57,-5.36
26,EPS Diluted,-0.76,-1.34,-2.34,-0.80,-1.72,-5.00,-4.57,-5.36
27,Weighted Average Shares Outstanding,19835717,19835717,19835717,21249414,29089896,38022014,50382497,50382497
28,Weighted Average Shares Outstanding Diluted,19835717,19835717,19835717,21321209,29089896,38022014,50382497,50382497
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1403752/000119312519065609/0001193125-19-065609-index.html,https://www.sec.gov/Archives/edgar/data/1403752/000119312520058902/0001193125-20-058902-index.html,https://www.sec.gov/Archives/edgar/data/1403752/000140375221000005/0001403752-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1403752/000140375222000005/0001403752-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,11519000,16437000,35946000,42205000,128451000,308634626,257384462
32,Short-Term Investments,- -,3641000,23824000,51851000,157959000,170453000,235034941,64695790
33,Cash and Short-Term Investments,- -,15160000,40261000,87797000,200164000,298904000,543669567,322080252
34,Net Receivables,- -,2265000,4307000,2330000,1355000,2185000,19501022,19908162
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
