,https://roic.ai/company/AMN,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,230766000,517794000,775683000,714209000,629016000,705843000,1081703000,1164022000,1217200000,759790000,689217000,887466000,953951000,1011816000,1036027000,1463065000,1902225000,1988454000,2136074000,2222107000,2393714000,3984235000
2,COGS,170608000,388284000,586900000,552052000,484654000,535608000,792415000,860857000,900211000,555369000,497691000,638147000,683554000,714536000,719910000,993702000,1282501000,1344035000,1439691000,1478642000,1601936000,2674634000
3,Gross Profit,60158000,129510000,188783000,162157000,144362000,170235000,289288000,303165000,316989000,204421000,191526000,249319000,270397000,297280000,316117000,469363000,619724000,644419000,696383000,743465000,791778000,1309601000
4,Gross Profit Ratio,0.2607,0.2501,0.2434,0.2270,0.2295,0.2412,0.2674,0.2604,0.2604,0.2690,0.2779,0.2809,0.2834,0.2938,0.3051,0.3208,0.3258,0.3241,0.3260,0.3346,0.3308,0.3287
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,54607000,103364000,98679000,93374000,102186000,117326000,205499000,218250000,230656000,157241000,168128000,195348000,202904000,218233000,232221000,319531000,398472000,399700000,452318000,508030000,549747000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",54607000,103364000,98679000,93374000,102186000,117326000,205499000,218250000,230656000,157241000,168128000,195348000,202904000,218233000,232221000,319531000,398472000,399700000,452318000,508030000,549747000,730451000
9,Other Expenses,3303000,9668000,3839000,4819000,5837000,6179000,10325000,12574000,14439000,13812000,15084000,16324000,14151000,13545000,15993000,20953000,29620000,32279000,41237000,58520000,92766000,101152000
10,Operating Expenses,57910000,113032000,102518000,98193000,108023000,123505000,215824000,230824000,245095000,171053000,183212000,211672000,217055000,231778000,248214000,340484000,428092000,431979000,493555000,566550000,642513000,831603000
11,COGS and Expenses,228518000,501316000,689418000,650245000,592677000,659113000,1008239000,1091681000,1145306000,726422000,680903000,849819000,900609000,946314000,968124000,1334186000,1710593000,1776014000,1933246000,2045192000,2244449000,3506237000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,10690000,11955000,19771000,23727000,26019000,9665000,9237000,7790000,15465000,19677000,16143000,28427000,57742000,34077000
14,Depreciation and Amortization,3303000,7713000,3839000,4819000,5837000,6179000,10325000,11674000,14439000,13812000,15084000,16416000,14151000,13545000,15993000,20953000,29620000,32279000,41237000,58520000,94187000,101152000
15,EBITDA,-4455000,4803000,90447000,66480000,33736000,43344000,67091000,72458000,86333000,-139797000,-27434000,22782000,68316000,79047000,83896000,149832000,221252000,244719000,244065000,235435000,243452000,579150000
16,EBITDA ratio,-0.0193,0.0093,0.1166,0.0931,0.0536,0.0614,0.0620,0.0622,0.0709,-0.1840,-0.0398,0.0257,0.0716,0.0781,0.0810,0.1024,0.1163,0.1231,0.1143,0.1060,0.1017,0.1454
17,Operating Income,2248000,16478000,86265000,63964000,36339000,46730000,73464000,72341000,71894000,-153609000,-42518000,37647000,53342000,65502000,67903000,128879000,191632000,212440000,202828000,176915000,149265000,477998000
18,Operating Income ratio,0.0097,0.0318,0.1112,0.0896,0.0578,0.0662,0.0679,0.0621,0.0591,-0.2022,-0.0617,0.0424,0.0559,0.0647,0.0655,0.0881,0.1007,0.1068,0.0950,0.0796,0.0624,0.1200
19,Total Other Income Expenses (Gains),-10006000,-13933000,343000,-2303000,-8440000,-9565000,-16698000,-11557000,-10690000,-11955000,-19771000,-23727000,-26019000,-9665000,-9237000,-7790000,-15465000,-19677000,-16143000,-28427000,-57742000,-34077000
20,Income Before Tax,-7758000,2545000,86608000,61661000,27899000,37165000,56766000,60784000,61204000,-165564000,-62289000,13920000,27323000,55837000,58666000,121089000,176167000,192763000,186685000,148488000,91523000,443921000
21,Income Before Tax Ratio,-0.0336,0.0049,0.1117,0.0863,0.0444,0.0527,0.0525,0.0522,0.0503,-0.2179,-0.0904,0.0157,0.0286,0.0552,0.0566,0.0828,0.0926,0.0969,0.0874,0.0668,0.0382,0.1114
22,Income Tax expense (Gain),-2560000,1476000,34252000,23869000,10553000,14931000,21675000,24252000,26847000,-43387000,-10298000,8904000,11010000,22904000,25449000,39198000,70329000,60205000,44944000,34500000,20858000,116533000
23,Net Income,-5198000,-4386000,52356000,37792000,17346000,22234000,35091000,36532000,34357000,-122177000,-51991000,-26265000,17136000,32933000,33217000,81891000,105838000,132558000,141741000,113988000,70665000,327388000
24,Net Income ratio,-0.0225,-0.0085,0.0675,0.0529,0.0276,0.0315,0.0324,0.0314,0.0282,-0.1608,-0.0754,-0.0296,0.0180,0.0325,0.0321,0.0560,0.0556,0.0667,0.0664,0.0513,0.0295,0.0822
25,EPS,-0.23,-0.14,1.23,1.04,0.61,0.76,1.07,1.06,1.03,-3.75,-1.49,-0.66,0.38,0.72,0.71,1.72,2.21,2.77,2.99,2.44,1.49,6.90
