,https://roic.ai/company/DWSN,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,10000000,22900000,21821502,9339970,16307577,17073506,4600708,6455915,10101117,6262206,8468051,20084175,30851963,67760306,90395872,86769742,90431899,108318801,151028582,196317215,134534540,143935099,234685000,133330000,157148000,154156000,145773000,86100000,24695000
2,COGS,7600000,18300000,19827528,8076520,14048852,13818972,3316029,5409448,10315635,7027336,6948885,15777204,18152118,40831650,60445783,55935068,65379612,85932862,104022944,160782534,132319546,101017861,47072000,44283000,39235000,29959000,21826000,17174000,- -
3,Gross Profit,2400000,4600000,1993974,1263450,2258725,3254534,1284679,1046467,-214518,-765130,1519166,4306971,12699845,26928656,29950089,30834674,25052287,22385939,47005638,35534681,2214994,42917238,187613000,89047000,117913000,124197000,123947000,68926000,24695000
4,Gross Profit Ratio,0.2400,0.2009,0.0914,0.1353,0.1385,0.1906,0.2792,0.1621,-0.0212,-0.1222,0.1794,0.2144,0.4116,0.3974,0.3313,0.3554,0.2770,0.2067,0.3112,0.1810,0.0165,0.2982,0.7994,0.6679,0.7503,0.8057,0.8503,0.8005,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,3141455,809696,920528,1160228,878940,969875,916258,884572,932709,1313627,2149350,2988892,3864810,4468883,5522939,6894500,9626679,8755270,9593068,12153970,22729000,16822000,16189000,16287000,17169000,13920000,12046000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,3141455,809696,920528,1160228,878940,969875,916258,884572,932709,1313627,2149350,2988892,3864810,4468883,5522939,6894500,9626679,8755270,9593068,12153970,22729000,16822000,16189000,16287000,17169000,13920000,12046000
9,Other Expenses,2800000,3900000,701378,- -,- -,- -,1885313,1644331,18067,- -,- -,- -,3201236,9540171,12743065,13911124,14621237,15343804,19214069,- -,- -,42957000,205566000,121661000,139164000,132937000,123024000,68998000,16970000
10,Operating Expenses,2800000,3900000,3842833,809696,920528,1160228,2764253,2614206,934325,884572,932709,1313627,5350586,12529063,16607875,18380007,20144176,22238304,28840748,8755270,9593068,55110970,228295000,138483000,155353000,149224000,140193000,82918000,29016000
