,https://roic.ai/company/GFL,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,1333067000,- -,3346851000,4196200000,5525500000
2,COGS,1145066000,- -,3073100000,4006100000,4997900000
3,Gross Profit,188001000,- -,273751000,190100000,527600000
4,Gross Profit Ratio,0.1410,- -,0.0818,0.0453,0.0955
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,157090000,- -,396503000,422800000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",157090000,- -,396503000,422800000,591900000
9,Other Expenses,- -,- -,- -,32400000,14400000
10,Operating Expenses,157090000,- -,396503000,455200000,606300000
11,COGS and Expenses,1302156000,- -,3469603000,4461300000,5604200000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),212683000,- -,532220000,372400000,324800000
14,Depreciation and Amortization,239073000,- -,799462000,1237600000,1393000000
15,EBITDA,311799000,- -,722461000,254200000,1005000000
16,EBITDA ratio,0.2339,- -,0.2159,0.0606,0.1819
17,Operating Income,30911000,- -,-122752000,-265100000,-78700000
18,Operating Income ratio,0.0232,- -,-0.0367,-0.0632,-0.0142
19,Total Other Income Expenses (Gains),-170868000,- -,-486469000,-1090700000,-634100000
20,Income Before Tax,-139957000,- -,-609221000,-1355800000,-712800000
21,Income Before Tax Ratio,-0.1050,- -,-0.1820,-0.3231,-0.1290
22,Income Tax expense (Gain),-38975000,- -,-157568000,-360900000,-106000000
23,Net Income,-100982000,- -,-451653000,-994900000,-606800000
24,Net Income ratio,-0.0758,- -,-0.1349,-0.2371,-0.1098
25,EPS,-0.31,- -,-1.38,-2.80,-1.83
26,EPS Diluted,-0.31,- -,-1.38,-2.80,-1.83
27,Weighted Average Shares Outstanding,326420755,- -,326420755,355321429,361566007
28,Weighted Average Shares Outstanding Diluted,326420755,- -,326420755,355321429,361566007
29,SEC Link,- -,undefined,- -,- -,- -
30,BALANCE SHEET, , , , , 
