,https://roic.ai/company/OCFT,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,581912000,1413489000,2327846000,3312290000,4132357000
2,COGS,482539000,1024864000,1560988000,2068834000,2695706000
3,Gross Profit,99373000,388625000,766858000,1243456000,1436651000
4,Gross Profit Ratio,0.1708,0.2749,0.3294,0.3754,0.3477
5,Research and Development Exp.,537226000,459181000,956095000,1173290000,1353018000
6,General and Administrative Exp.,270275000,522019000,756681000,834917000,841685000
7,Selling and Marketing Exp.,208035000,441932000,635673000,629488000,588380000
8,"Selling, General and Administrative Exp.",478310000,963951000,1392354000,1464405000,1430065000
9,Other Expenses,-3979000,200541000,112689000,962000,-13921000
10,Operating Expenses,1011557000,1623673000,2461138000,2638657000,2769162000
11,COGS and Expenses,1494096000,2648537000,4022126000,4707491000,5464868000
12,Interest Income ,10613000,188812000,153063000,77237000,28823000
13,Interest Expense (Gain),85590000,160654000,172672000,149647000,76637000
14,Depreciation and Amortization,287554000,354027000,459856000,421228000,- -
15,EBITDA,-603489000,-654562000,-1102962000,-919864000,-1317157000
16,EBITDA ratio,-1.0371,-0.4631,-0.4738,-0.2777,-0.3187
17,Operating Income,-890303000,-1114367000,-1701012000,-1470326000,-1404740000
18,Operating Income ratio,-1.5300,-0.7884,-0.7307,-0.4439,-0.3399
19,Total Other Income Expenses (Gains),-86330000,-49449000,-61424000,-80928000,-37868000
20,Income Before Tax,-976633000,-1163816000,-1762436000,-1551254000,-1442608000
21,Income Before Tax Ratio,-1.6783,-0.8234,-0.7571,-0.4683,-0.3491
22,Income Tax expense (Gain),-369677000,26469000,-74924000,-137131000,-112095000
23,Net Income,-606956000,-1195712000,-1660566000,-1353608000,-1281699000
24,Net Income ratio,-1.0430,-0.8459,-0.7133,-0.4087,-0.3102
25,EPS,-1.66,-3.27,-5.31,-3.81,-3.48
26,EPS Diluted,-1.66,-3.27,-5.31,-3.81,-3.48
27,Weighted Average Shares Outstanding,365773555,365773555,313095174,355277690,368304310
