,https://roic.ai/company/AAP,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1220759000,2017425000,2288022000,2517639000,3287900000,3493696000,3770297000,4264971000,4616500000,4844400000,- -,5142255000,5925203000,6170462000,6205000000,6493800000,9843861000,9737018000,9567679000,9373784000,9580554000,9709003000,- -,10106321000
2,COGS,766198000,1225440000,1392127000,1441613000,1839900000,1889178000,2016926000,2250493000,2415300000,2523400000,- -,2679191000,2963888000,3101172000,3107000000,3241700000,5390248000,5314246000,5311764000,5288735000,5354441000,5450912000,- -,5624707000
3,Gross Profit,454561000,791985000,895895000,1076026000,1448000000,1604518000,1753371000,2014478000,2201200000,2321000000,- -,2463064000,2961315000,3069290000,3098000000,3252100000,4453613000,4422772000,4255915000,4085049000,4226113000,4258091000,- -,4481614000
4,Gross Profit Ratio,0.3724,0.3926,0.3916,0.4274,0.4404,0.4593,0.4650,0.4723,0.4768,0.4791,- -,0.4790,0.4998,0.4974,0.4993,0.5008,0.4524,0.4542,0.4448,0.4358,0.4411,0.4386,- -,0.4434
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,392353000,721753000,803106000,959266000,1210500000,1305867000,- -,- -,1797800000,1904500000,- -,2048137000,2376382000,- -,2440700000,2591800000,3601903000,- -,- -,3514837000,3570338000,3503608000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",392353000,721753000,803106000,959266000,1210477000,1305867000,1424613000,1605986000,1797814000,1904540000,- -,2048137000,2376382000,2404648000,2440721000,2591828000,3601903000,3596992000,3468317000,3514837000,3615138000,3577566000,- -,3731707000
9,Other Expenses,22591000,1082000,- -,13694000,35523000,- -,- -,- -,-914000,60000,- -,- -,- -,- -,-21000,-28000,- -,- -,- -,0,6700000,3345000,- -,- -
10,Operating Expenses,414944000,722835000,803106000,972960000,1246000000,1305867000,1424613000,1605986000,1796900000,1904600000,- -,2048137000,2376382000,2404648000,2440700000,2591800000,3601903000,3596992000,3468317000,3514837000,3621838000,3580911000,- -,3731707000
11,COGS and Expenses,1181142000,1948275000,2195233000,2414573000,3085900000,3195045000,3441539000,3856479000,4212200000,4428000000,- -,4727328000,5340270000,5505820000,5547700000,5833500000,8992151000,8911238000,8780081000,8803572000,8976279000,9031823000,- -,9356414000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26861000,30949000,33841000,36618000,73408000,65408000,59910000,58801000,56588000,39898000,- -,46886000
14,Depreciation and Amortization,- -,- -,80726000,97555000,110702000,105847000,105959000,120558000,139957000,147500000,- -,146940000,164437000,175949000,189544000,207795000,284693000,269476000,258387000,249260000,238184000,238371000,- -,250081000
15,EBITDA,-2182000,-25326000,110820000,120309000,223502000,309206000,411668000,499481000,509857000,530100000,- -,527632000,748353000,840134000,847485000,870813000,1139495000,1087772000,1057132000,972120000,855691000,916015000,- -,947982000
16,EBITDA ratio,-0.0018,-0.0126,0.0484,0.0478,0.0680,0.0885,0.1092,0.1171,0.1104,0.1094,- -,0.1026,0.1263,0.1362,0.1366,0.1341,0.1158,0.1117,0.1105,0.1037,0.0893,0.0943,- -,0.0938
