,https://roic.ai/company/GWRE,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,84745000,144691000,172472000,232061000,300649000,350246000,380537000,424446000,514284000,661067000,719514000,742307000,743267000
2,COGS,41656000,55471000,68344000,91410000,131743000,148947000,147184000,151834000,191559000,296707000,324350000,338015000,375054000
3,Gross Profit,43089000,89220000,104128000,140651000,168906000,201299000,233353000,272612000,322725000,364360000,395164000,404292000,368213000
4,Gross Profit Ratio,0.5085,0.6166,0.6037,0.6061,0.5618,0.5747,0.6132,0.6423,0.6275,0.5512,0.5492,0.5446,0.4954
5,Research and Development Exp.,22356000,28273000,34773000,50462000,66346000,76178000,93440000,112496000,130323000,171657000,188541000,200575000,219494000
6,General and Administrative Exp.,9646000,16192000,33534000,28336000,32414000,35404000,41397000,50914000,56551000,75916000,74401000,85183000,93759000
7,Selling and Marketing Exp.,21559000,26741000,28950000,38254000,53301000,71295000,82023000,92765000,109239000,124117000,130751000,142420000,160544000
8,"Selling, General and Administrative Exp.",31205000,42933000,62484000,66590000,85715000,106699000,123420000,143679000,165790000,200033000,205152000,227603000,254303000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,53561000,71206000,97257000,117052000,152061000,182877000,216860000,256175000,296113000,371690000,393693000,428178000,473797000
11,COGS and Expenses,95217000,126677000,165601000,208462000,283804000,331824000,364044000,408009000,487672000,668397000,718043000,766193000,848851000
12,Interest Income ,- -,- -,- -,308000,498000,1350000,2245000,4850000,5854000,13281000,30182000,24705000,7395000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,6442000,17334000,17945000,18711000
14,Depreciation and Amortization,1306000,1376000,2226000,2917000,4821000,6751000,7480000,8842000,18725000,35611000,39953000,42641000,36955000
15,EBITDA,-9262000,19094000,10522000,26096000,22033000,26697000,24220000,29624000,52002000,42071000,69739000,36255000,-48615000
16,EBITDA ratio,-0.1093,0.1320,0.0610,0.1125,0.0733,0.0762,0.0636,0.0698,0.1011,0.0636,0.0969,0.0488,-0.0654
17,Operating Income,-10472000,18014000,6871000,23599000,16845000,18422000,16493000,16437000,26612000,-7330000,1471000,-23886000,-105584000
18,Operating Income ratio,-0.1236,0.1245,0.0398,0.1017,0.0560,0.0526,0.0433,0.0387,0.0517,-0.0111,0.0020,-0.0322,-0.1421
19,Total Other Income Expenses (Gains),-96000,-296000,1425000,-420000,367000,1524000,247000,4345000,6665000,7348000,10981000,-445000,1303000
20,Income Before Tax,-10568000,17718000,8296000,23179000,17212000,19946000,16740000,20782000,33277000,18000,12452000,-24331000,-104281000
21,Income Before Tax Ratio,-0.1247,0.1225,0.0481,0.0999,0.0572,0.0569,0.0440,0.0490,0.0647,0.0000,0.0173,-0.0328,-0.1403
22,Income Tax expense (Gain),398000,2199000,-27262000,7979000,1829000,5225000,6855000,5806000,12053000,19683000,-8280000,2867000,-37774000
23,Net Income,-10966000,15519000,35558000,15200000,15383000,14721000,9885000,14976000,21224000,-19665000,20732000,-27198000,-66507000
24,Net Income ratio,-0.1294,0.1073,0.2062,0.0655,0.0512,0.0420,0.0260,0.0353,0.0413,-0.0297,0.0288,-0.0366,-0.0895
25,EPS,-0.27,0.39,0.90,0.29,0.27,0.22,0.14,0.21,0.29,-0.25,0.25,-0.33,-0.79
26,EPS Diluted,-0.27,0.33,0.82,0.25,0.25,0.21,0.14,0.20,0.28,-0.25,0.25,-0.33,-0.79
27,Weighted Average Shares Outstanding,39912149,39912149,39421776,34774983,56331018,65748896,70075908,72026694,73994577,77709592,81447998,82855392,83577375
28,Weighted Average Shares Outstanding Diluted,46511161,46511161,43121580,41509185,61943087,69112733,72314433,73765960,75328343,77709592,82681214,82855392,83577375
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1528396/000119312512401959/0001193125-12-401959-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839613000025/0001528396-13-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839614000022/0001528396-14-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839615000019/0001528396-15-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839616000056/0001528396-16-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839617000025/0001528396-17-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839618000037/0001528396-18-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839619000032/0001528396-19-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839620000053/0001528396-20-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839621000095/0001528396-21-000095-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,27585000,37411000,59625000,205718000,79767000,148101000,212362000,223582000,263176000,437140000,254101000,366969000,384910000
32,Short-Term Investments,- -,- -,- -,- -,76932000,296231000,359273000,404655000,310027000,630008000,870136000,766527000,734517000
33,Cash and Short-Term Investments,27585000,37411000,59625000,205718000,156699000,444332000,571635000,628237000,573203000,1067148000,1124237000,1133496000,1119427000
34,Net Receivables,20835000,16422000,23278000,32313000,40885000,49839000,62062000,62792000,79433000,124849000,175171000,163733000,183129000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2582000,3430000,11939000,24434000,12509000,22259000,27947000,16643000,26604000,30510000,35566000,45989000,52729000
37,Total Current Assets,51002000,57263000,94842000,262465000,210093000,516430000,661644000,707672000,679240000,1222507000,1334974000,1343218000,1355285000
38,PP&E,1899000,2764000,4455000,11924000,12914000,12607000,12160000,12955000,14376000,18595000,65809000,169032000,177508000
39,Goodwill,- -,- -,- -,- -,9048000,9205000,9205000,30080000,141851000,340877000,340877000,340877000,340877000
40,Intangible Assets,- -,- -,- -,- -,6879000,5439000,3999000,14204000,71315000,95654000,66542000,39708000,19743000
41,Intangible Assets,- -,- -,- -,- -,15927000,14644000,13204000,44284000,213166000,436531000,407419000,380585000,360620000
42,Investments,- -,- -,- -,- -,51040000,203449000,106117000,107565000,114585000,190952000,224196000,301935000,230720000
43,Tax Assets,- -,- -,22073000,9313000,21091000,8681000,5896000,31364000,37430000,87482000,90308000,101565000,138428000
44,Other Non-Current Assets,1840000,28000,5170000,545000,1205000,1416000,926000,12338000,20104000,22525000,44257000,68517000,59284000
45,Total Non-Current Assets,3739000,2792000,31698000,21782000,102177000,240797000,138303000,208506000,399661000,756085000,831989000,1021634000,966560000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,54741000,60055000,126540000,284247000,312270000,757227000,799947000,916178000,1078901000,1978592000,2166963000,2364852000,2321845000
48,Accounts Payable,3255000,3668000,4317000,9781000,6517000,7030000,8816000,9929000,13416000,30635000,34255000,22634000,27830000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10936000,11624000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3817000,6796000
51,Deferred Revenue,45017000,38967000,48482000,52947000,37351000,48937000,50766000,60270000,91243000,114138000,108304000,118311000,138699000
52,Other Current Liabilities,16253000,20010000,29502000,30459000,30916000,39419000,44827000,48884000,58957000,80415000,89713000,73317000,122161000
53,Total Current Liabilities,64525000,62645000,82301000,93187000,74784000,95386000,104409000,119083000,163616000,225188000,232272000,225198000,300314000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,305128000,317322000,449616000,459199000
