,https://roic.ai/company/FB,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,1974000000,3711000000,5089000000,7872000000,12466000000,17928000000,27638000000,40653000000,55838000000,70697000000,85965000000,117929000000
2,COGS,493000000,860000000,1364000000,1875000000,2153000000,2867000000,3789000000,5454000000,9355000000,12770000000,16692000000,22649000000
3,Gross Profit,1481000000,2851000000,3725000000,5997000000,10313000000,15061000000,23849000000,35199000000,46483000000,57927000000,69273000000,95280000000
4,Gross Profit Ratio,0.7503,0.7683,0.7320,0.7618,0.8273,0.8401,0.8629,0.8658,0.8325,0.8194,0.8058,0.8079
5,Research and Development Exp.,144000000,388000000,1399000000,1415000000,2666000000,4816000000,5919000000,7754000000,10273000000,13600000000,18447000000,24655000000
6,General and Administrative Exp.,138000000,280000000,892000000,781000000,973000000,1295000000,1731000000,2517000000,3451000000,10465000000,6564000000,9829000000
7,Selling and Marketing Exp.,167000000,427000000,896000000,997000000,1680000000,2725000000,3772000000,4725000000,7846000000,9876000000,11591000000,14043000000
8,"Selling, General and Administrative Exp.",305000000,707000000,1788000000,1778000000,2653000000,4020000000,5503000000,7242000000,11297000000,20341000000,18155000000,23872000000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,449000000,1095000000,3187000000,3193000000,5319000000,8836000000,11422000000,14996000000,21570000000,33941000000,36602000000,48527000000
11,COGS and Expenses,942000000,1955000000,4551000000,5068000000,7472000000,11703000000,15211000000,20450000000,30925000000,46711000000,53294000000,71176000000
12,Interest Income ,1000000,- -,14000000,19000000,27000000,52000000,176000000,398000000,661000000,924000000,672000000,461000000
13,Interest Expense (Gain),22000000,42000000,51000000,56000000,23000000,23000000,10000000,6000000,9000000,20000000,- -,- -
14,Depreciation and Amortization,139000000,323000000,649000000,1011000000,1243000000,1945000000,2342000000,3025000000,4315000000,5741000000,6862000000,7967000000
15,EBITDA,1169000000,2060000000,1194000000,3821000000,6176000000,8162000000,14870000000,23625000000,29685000000,30573000000,40042000000,55251000000
16,EBITDA ratio,0.5922,0.5551,0.2346,0.4854,0.4954,0.4553,0.5380,0.5811,0.5316,0.4325,0.4658,0.4685
17,Operating Income,1032000000,1756000000,538000000,2804000000,4994000000,6225000000,12427000000,20203000000,24913000000,23986000000,32671000000,46753000000
18,Operating Income ratio,0.5228,0.4732,0.1057,0.3562,0.4006,0.3472,0.4496,0.4970,0.4462,0.3393,0.3801,0.3965
19,Total Other Income Expenses (Gains),-24000000,-61000000,-44000000,-50000000,-84000000,-31000000,91000000,391000000,448000000,826000000,509000000,531000000
20,Income Before Tax,1008000000,1695000000,494000000,2754000000,4910000000,6194000000,12518000000,20594000000,25361000000,24812000000,33180000000,47284000000
21,Income Before Tax Ratio,0.5106,0.4568,0.0971,0.3498,0.3939,0.3455,0.4529,0.5066,0.4542,0.3510,0.3860,0.4010
22,Income Tax expense (Gain),402000000,695000000,441000000,1254000000,1970000000,2506000000,2301000000,4660000000,3249000000,6327000000,4034000000,7914000000
23,Net Income,606000000,1000000000,53000000,1500000000,2940000000,3688000000,10217000000,15934000000,22112000000,18485000000,29146000000,39370000000
24,Net Income ratio,0.3070,0.2695,0.0104,0.1905,0.2358,0.2057,0.3697,0.3920,0.3960,0.2615,0.3390,0.3338
25,EPS,0.17,0.49,0.02,0.62,1.12,1.31,3.56,5.49,7.65,6.48,10.22,13.99
26,EPS Diluted,0.17,0.43,0.01,0.60,1.10,1.29,3.49,5.39,7.57,6.43,10.09,13.77
27,Weighted Average Shares Outstanding,2126000000,2030000000,2006000000,2420000000,2614000000,2803000000,2863000000,2901000000,2890000000,2854000000,2851000000,2814000000
28,Weighted Average Shares Outstanding Diluted,2361000000,2332000000,2166000000,2517000000,2664000000,2853000000,2925000000,2956000000,2921000000,2876000000,2888000000,2859000000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1326801/000132680113000003/0001326801-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000007/fb-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000006/fb-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000043/0001326801-16-000043-index.html,https://www.sec.gov/Archives/edgar/data/1326801/000132680117000007/0001326801-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1326801/000132680118000009/0001326801-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1326801/000132680119000009/0001326801-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000013/0001326801-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000014/0001326801-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680122000018/0001326801-22-000018-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,1785000000,1512000000,2384000000,3323000000,4315000000,4907000000,8903000000,8079000000,10019000000,19079000000,17576000000,16601000000
32,Short-Term Investments,- -,2396000000,7242000000,8126000000,6884000000,13527000000,20546000000,33632000000,31095000000,35776000000,44378000000,31397000000
33,Cash and Short-Term Investments,1785000000,3908000000,9626000000,11449000000,11199000000,18434000000,29449000000,41711000000,41114000000,54855000000,61954000000,47998000000
34,Net Receivables,373000000,547000000,1170000000,1160000000,1678000000,2559000000,3993000000,5832000000,7587000000,9518000000,11335000000,14039000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,88000000,149000000,471000000,461000000,793000000,659000000,959000000,1020000000,1779000000,1852000000,2381000000,4629000000
37,Total Current Assets,2246000000,4604000000,11267000000,13070000000,13670000000,21652000000,34401000000,48563000000,50480000000,66225000000,75670000000,66666000000
38,PP&E,574000000,1475000000,2391000000,2882000000,3967000000,5687000000,8591000000,13721000000,24683000000,35323000000,54981000000,69964000000
39,Goodwill,37000000,82000000,587000000,839000000,17981000000,18026000000,18122000000,18221000000,18301000000,18715000000,19050000000,19197000000
40,Intangible Assets,59000000,80000000,801000000,883000000,3929000000,3246000000,2535000000,1884000000,1294000000,894000000,623000000,634000000
41,Intangible Assets,96000000,162000000,1388000000,1722000000,21910000000,21272000000,20657000000,20105000000,19595000000,19609000000,19673000000,19831000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,86000000,6234000000,6775000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,74000000,90000000,57000000,221000000,637000000,796000000,1312000000,2135000000,2576000000,12133000000,2758000000,2751000000
45,Total Non-Current Assets,744000000,1727000000,3836000000,4825000000,26514000000,27755000000,30560000000,35961000000,46854000000,67151000000,83646000000,99321000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2990000000,6331000000,15103000000,17895000000,40184000000,49407000000,64961000000,84524000000,97334000000,133376000000,159316000000,165987000000
48,Accounts Payable,29000000,63000000,65000000,87000000,176000000,196000000,302000000,380000000,820000000,1363000000,1331000000,4083000000
49,Short-Term Debt,106000000,279000000,365000000,239000000,114000000,208000000,- -,- -,500000000,1077000000,1023000000,1127000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,230000000,491000000,624000000,2038000000,1256000000
51,Deferred Revenue,42000000,90000000,30000000,38000000,66000000,56000000,90000000,98000000,147000000,269000000,382000000,561000000
52,Other Current Liabilities,212000000,467000000,592000000,736000000,1068000000,1465000000,2483000000,3282000000,5550000000,12344000000,12245000000,15364000000
53,Total Current Liabilities,389000000,899000000,1052000000,1100000000,1424000000,1925000000,2875000000,3760000000,7017000000,15053000000,14981000000,21135000000
