,https://roic.ai/company/IGEN,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,130000,150000,724620,1035820,1143120,1347060,1198880,723820,368007,268947
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,426190,716910,748380,863830,668660,428030,271363,123793
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,298430,318910,394740,483230,530220,295790,96644,145154
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.4118,0.3079,0.3453,0.3587,0.4423,0.4087,0.2626,0.5397
5,Research and Development Exp.,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,26112,4768,127577,2963401,699690,425863,634854,858262,1393892,1163213,960021,1692806,1101790,1071078,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,26112,4768,127577,2963401,699690,425863,634854,858262,1393892,1163213,960021,1692806,1101790,1071078,423288
9,Other Expenses,- -,20000,41646,-5000,- -,108,64270,26045,48023,244132,50102,649704,- -,- -,-622221,- -
10,Operating Expenses,- -,46112,46414,322577,2963401,699798,490133,660899,906285,1638024,1213315,1609725,1692806,1101790,448857,423288
11,COGS and Expenses,- -,50000,50000,320000,2980000,880000,580000,670000,1495050,2572810,1947360,2434340,2256210,1553150,720220,547081
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,20000,2839,- -,13096,12574,43495,8772,32628,165240,222701,376674,27521
14,Depreciation and Amortization,- -,- -,- -,- -,- -,108,2380,3578,17418,18407,10279,4360,3600,- -,- -,5438
15,EBITDA,- -,-50000,-50000,-320000,-2980000,-877161,-437620,-573326,-718228,-1551228,-817709,-460612,-996480,-256369,-2262798,-3768712
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3.3663,-3.8222,-0.9912,-1.4976,-0.7153,-0.3419,-0.8312,-0.3542,-6.1488,-14.0128
17,Operating Income,- -,46112,-50000,-320000,-2980000,-880000,355450,515535,607850,1319115,802739,-1087280,-1140353,-829330,-974434,-278134
18,Operating Income ratio,- -,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,2.7342,3.4369,0.8389,1.2735,0.7022,-0.8072,-0.9512,-1.1458,-2.6479,-1.0342
19,Total Other Income Expenses (Gains),- -,-96112,- -,- -,- -,- -,-795450,-1105535,-1356070,-2932245,-1639499,-130380,-24967,350260,-1665038,-3149995
20,Income Before Tax,- -,-50000,-50000,-320000,-2980000,-880000,-440000,-590000,-748220,-1613130,-836760,-1217660,-1165320,-479070,-2639472,-3428129
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3.3846,-3.9333,-1.0326,-1.5573,-0.7320,-0.9039,-0.9720,-0.6619,-7.1723,-12.7465
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800060,10000,- -,- -,-808
23,Net Income,- -,-50000,-50000,-320000,-2980000,-880000,-440000,-590000,-748220,-1613130,-836760,-1297660,-1175320,-479070,-2639472,-3800863
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3.3846,-3.9333,-1.0326,-1.5573,-0.7320,-0.9633,-0.9803,-0.6619,-7.1723,-14.1324
25,EPS,- -,-0.06,-0.06,-0.36,-0.32,-0.09,-0.03,-0.03,-0.03,-0.06,-0.03,-0.04,-0.02,-0.01,-0.00,-0.01
26,EPS Diluted,- -,-0.06,-0.06,-0.36,-0.32,-0.09,-0.03,-0.03,-0.03,-0.06,-0.03,-0.04,-0.02,-0.01,-0.00,-0.01
27,Weighted Average Shares Outstanding,850000,854700,854700,855500,9213873,10236080,14476422,17225613,23104796,26957166,31120930,35454849,54728006,68619041,786228507,786228507
28,Weighted Average Shares Outstanding Diluted,850000,854700,854700,855500,9213873,10236080,14476422,17225613,23104796,26957166,31120930,35454849,54728006,68619041,786228507,786228507
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1393540/000118518512000812/0001185185-12-000812-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000118518513000857/0001185185-13-000857-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000118518514000997/0001185185-14-000997-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000118518515000922/0001185185-15-000922-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000118518516004256/0001185185-16-004256-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000118518517000941/0001185185-17-000941-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000164033418000764/0001640334-18-000764-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000164033419000626/0001640334-19-000626-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000164033420001364/0001640334-20-001364-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000164033421000741/0001640334-21-000741-index.htm,https://www.sec.gov/Archives/edgar/data/1393540/000164033422000629/0001640334-22-000629-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,60000,10000,- -,- -,- -,200000,40000,10000,56350,33590,40020,28640,56820,- -,0,0
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,60000,10000,- -,- -,- -,200000,40000,10000,56350,33590,40020,28640,56820,- -,0,0
34,Net Receivables,- -,- -,- -,- -,- -,- -,110000,170000,337020,50840,162430,54120,24550,18140,0,0
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,14100,29640,17230,2220,36690,4330,0,0
36,Other Current Assets,- -,- -,- -,- -,- -,20000,- -,10000,4930,6900,33810,47210,28010,4010,-0,- -
37,Total Current Assets,60000,10000,- -,- -,- -,220000,150000,190000,412400,120970,253490,132190,146070,26480,0,0
38,PP&E,- -,- -,- -,- -,- -,- -,10000,- -,33460,17640,7390,2850,- -,- -,- -,0
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,505510,505510,505510,505510,505510,505510,1,1
40,Intangible Assets,- -,- -,- -,- -,1770000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,1770000,- -,- -,- -,505510,505510,505510,505510,505510,505510,1,1
42,Investments,- -,- -,- -,- -,- -,300000,250340,391338,227075,- -,- -,- -,- -,- -,- -,- -
