,https://roic.ai/company/SINT,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,20261455,23065272,22314000,22765000,19453000,15226000,11227000,95000,689000,594000,606000
2,COGS,4088166,6465714,7045000,7910000,6250000,3777000,6352000,56000,551000,475000,449000
3,Gross Profit,16173289,16599558,15269000,14855000,13203000,11449000,4875000,39000,138000,119000,157000
4,Gross Profit Ratio,0.7982,0.7197,0.6843,0.6525,0.6787,0.7519,0.4342,0.4105,0.2003,0.2003,0.2591
5,Research and Development Exp.,7789216,6013400,3461000,6742000,6387000,6345000,5077000,2991000,3394000,4808000,5886000
6,General and Administrative Exp.,7263045,7312997,5759000,13588000,6436000,6292000,4380000,4548000,2908000,4378000,3603000
7,Selling and Marketing Exp.,17145515,17094177,16384000,18692000,12421000,10347000,6472000,135000,430000,683000,1288000
8,"Selling, General and Administrative Exp.",24408560,24407174,22143000,32280000,18857000,16639000,10852000,4683000,3338000,5061000,4891000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,-682000,- -,- -,- -
10,Operating Expenses,32197776,30420574,25604000,39022000,25244000,22984000,15929000,6992000,6732000,9869000,10777000
11,COGS and Expenses,36285942,36886288,32649000,46932000,31494000,26761000,22281000,7048000,7283000,10344000,11226000
12,Interest Income ,71775,57444,16000,12000,- -,- -,- -,- -,450000,330000,101000
13,Interest Expense (Gain),3455811,5610926,1851000,3650000,4339000,4511000,1263000,1388000,4000,2000,- -
14,Depreciation and Amortization,5708694,4263572,2207000,2340000,2153000,1936000,1114000,109000,470000,498000,190000
15,EBITDA,-14586665,-25886171,-4228000,-26592000,-17420000,-10151000,-6952000,-7155000,-4323000,-6529000,-8585000
16,EBITDA ratio,-0.7199,-1.1223,-0.1895,-1.1681,-0.8955,-0.6667,-0.6192,-75.3158,-6.2743,-10.9916,-14.1667
17,Operating Income,-20856096,-29101877,-10335000,-24167000,-12041000,-11535000,-11053000,-13116000,-6594000,-8504000,-10620000
18,Operating Income ratio,-1.0293,-1.2617,-0.4632,-1.0616,-0.6190,-0.7576,-0.9845,-138.0632,-9.5704,-14.3165,-17.5248
19,Total Other Income Expenses (Gains),-2895074,-6658792,2049000,-8415000,-11871000,-5063000,1724000,3427000,1797000,1475000,1845000
20,Income Before Tax,-23751170,-35760669,-8286000,-32582000,-23912000,-16598000,-9329000,-9689000,-4797000,-7029000,-8775000
21,Income Before Tax Ratio,-1.1722,-1.5504,-0.3713,-1.4312,-1.2292,-1.0901,-0.8309,-101.9895,-6.9623,-11.8333,-14.4802
22,Income Tax expense (Gain),- -,-726000,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-23751170,-35034669,-8286000,-32582000,-23912000,-16598000,-9329000,-8652000,-4797000,-7029000,-8775000
24,Net Income ratio,-1.1722,-1.5189,-0.3713,-1.4312,-1.2292,-1.0901,-0.8309,-91.0737,-6.9623,-11.8333,-14.4802
25,EPS,-17173.66,-25332.37,-3690.87,-14364.13,-1980.20,-442.81,-93.90,-61.80,-4.82,-1.01,-0.53
26,EPS Diluted,-17173.66,-25332.37,-3690.87,-14364.13,-1980.20,-442.81,-93.90,-76.80,-5.69,-1.08,-0.50
27,Weighted Average Shares Outstanding,1383,1383,2245,2266,12067,51457,99295,364597,1555988,16406556,16406556
28,Weighted Average Shares Outstanding Diluted,1383,1383,2245,2266,12067,51457,99295,383850,1555988,17446148,17446148
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1269026/000156459015001941/0001564590-15-001941-index.htm,https://www.sec.gov/Archives/edgar/data/1269026/000149315216008221/0001493152-16-008221-index.htm,https://www.sec.gov/Archives/edgar/data/1269026/000149315217010752/0001493152-17-010752-index.htm,https://www.sec.gov/Archives/edgar/data/1269026/000149315218004186/0001493152-18-004186-index.htm,https://www.sec.gov/Archives/edgar/data/1269026/000149315219003059/0001493152-19-003059-index.htm,https://www.sec.gov/Archives/edgar/data/1269026/000149315220004745/0001493152-20-004745-index.htm,https://www.sec.gov/Archives/edgar/data/1269026/000149315221006489/0001493152-21-006489-index.htm,https://www.sec.gov/Archives/edgar/data/1269026/000149315222007776/0001493152-22-007776-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,3330932,2741300,2279000,18247000,11485000,6915000,539000,5447000,1787000,25351000,14273000
32,Short-Term Investments,7808644,2680441,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,11139576,5421741,2279000,18247000,11485000,6915000,539000,5447000,1787000,25351000,14273000
34,Net Receivables,3446673,4015721,2817000,2513000,2660000,1620000,1240000,1347000,1860000,1897000,102000
35,Inventory,11397305,8825894,10084000,11675000,9131000,7213000,1241000,52000,106000,99000,303000
36,Other Current Assets,1702282,779697,4730000,1247000,821000,239000,190000,171000,310000,243000,350000
37,Total Current Assets,27685836,19043053,19910000,33682000,24097000,15987000,3210000,7017000,4063000,27590000,15028000
38,PP&E,4979194,3022532,3531000,3515000,2472000,889000,1446000,124000,2531000,2397000,6410000
39,Goodwill,6162565,6162565,6163000,6163000,6163000,6163000,6163000,- -,- -,- -,- -
40,Intangible Assets,22354778,5189000,4688000,4188000,3687000,3187000,2651000,46000,41000,36000,31000
41,Intangible Assets,28517343,11351565,10851000,10351000,9850000,9350000,8814000,46000,41000,36000,31000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,37794,37794,35000,35000,35000,35000,1171000,4328000,2512000,424000,371000
45,Total Non-Current Assets,33534331,14411891,14417000,13901000,12357000,10274000,11431000,4498000,5084000,2857000,6812000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,61220167,33454944,34327000,47583000,36454000,26261000,14641000,11515000,9147000,30447000,21840000
48,Accounts Payable,1389230,2142411,3377000,778000,643000,658000,1732000,301000,191000,194000,217000
49,Short-Term Debt,- -,- -,- -,19070000,16957000,7012000,2961000,- -,6000,109000,500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,4720,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,13549997,22072085,21636000,3146000,3421000,3183000,3578000,2079000,1869000,2576000,1497000
53,Total Current Liabilities,14943947,24214496,25013000,22994000,21021000,10853000,8271000,2380000,2066000,2879000,2214000
54,Long-Term Debt,39128289,- -,- -,3061000,- -,- -,- -,- -,12000,287000,1898000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,121427053,157522918,162375000,14621000,1201000,1035000,928000,736000,1867000,1477000,- -
58,Total Non-Current Liabilities,160555342,157522918,162375000,17682000,1201000,1035000,928000,736000,1879000,1764000,1898000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,2227000,1880000,- -
61,Total Liabilities,175499289,181737414,187388000,40676000,22222000,11888000,9199000,3116000,3945000,4643000,4112000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3482,3487,6000,264000,109000,274000,30000,218000,24000,245000,247000
64,Retained Earnings,-96602095,-131636764,-139923000,-172505000,-196537000,-213135000,-220629000,-229281000,-234078000,-241107000,-249883000
65,Other Comprehensive Income/Loss,-11865814,-13168997,-14220000,-15041000,-16576000,-6911000,-7418000,-2353000,-1716000,- -,- -
66,Other Total Stockholders Equity,-5814695,-3480196,1076000,194189000,227236000,234145000,233459000,239815000,240972000,266666000,267364000
67,Total Stockholders Equity,-114279122,-148282470,-153061000,6907000,14232000,14373000,5442000,8399000,5202000,25804000,17728000
68,Total Liabilities And Stockholders Equity,61220167,33454944,34327000,47583000,36454000,26261000,14641000,11515000,9147000,30447000,21840000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,61220167,33454944,34327000,47583000,36454000,26261000,14641000,11515000,9147000,30447000,21840000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1269026/000156459015001941/0001564590-15-001941-index.htm,https://www.sec.gov/Archives/edgar/data/1269026/000149315216008221/0001493152-16-008221-index.htm,https://www.sec.gov/Archives/edgar/data/1269026/000149315217010752/0001493152-17-010752-index.htm,https://www.sec.gov/Archives/edgar/data/1269026/000149315218004186/0001493152-18-004186-index.htm,https://www.sec.gov/Archives/edgar/data/1269026/000149315219003059/0001493152-19-003059-index.htm,https://www.sec.gov/Archives/edgar/data/1269026/000149315220004745/0001493152-20-004745-index.htm,https://www.sec.gov/Archives/edgar/data/1269026/000149315221006489/0001493152-21-006489-index.htm,https://www.sec.gov/Archives/edgar/data/1269026/000149315222007776/0001493152-22-007776-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-23751170,-35034669,-8286000,-32582000,-23912000,-16598000,-9329000,-8652000,-4797000,-7029000,-8775000
74,Depreciation and Amortization,5708694,4263572,2207000,2340000,2153000,1936000,1114000,109000,470000,498000,190000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,826360,1001254,555000,10217000,911000,273000,219000,42000,2000,45000,309000
77,Change in Working Capital,-3478231,-17913332,68443,15791000,-7612000,2058000,-10195000,9698000,-2640000,22714000,-11897000
78,Accounts Receivable,-652675,-541497,1194000,239000,-120000,1040000,339000,-139000,- -,- -,- -
79,Inventory,-2893836,1528503,-2551000,-3438000,1357000,749000,287000,-8000,37000,153000,-110000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,264000
81,Other Working Capital,12741889,-5171443,-5103000,10688000,3076000,5134000,-5061000,4637000,1997000,24711000,12814000
82,Other Non-Cash Items,5786590,37953013,-4493443,-10288000,19397000,5161000,13511000,-10545000,530000,-25340000,10041000
83,Cash Provided by Operating Activities,-14907757,-9730162,-9949000,-14522000,-9063000,-7170000,-4680000,-9348000,-6435000,-9112000,-10132000
84,CAPEX,-1361789,-592893,-2332000,-2172000,-695000,-671000,-1186000,-61000,-147000,-360000,-3739000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-15140518,-5081666,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,7331874,10209869,2680000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-260459,-95000,435000,37000,54000,49000,-50000,1528000,2111000,2088000
