,https://roic.ai/company/VKTX,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,10731,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,10731,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,- -,11613,22223073,6966842,9000499,13741186,19040000,23559000,31931,44981000
6,General and Administrative Exp.,- -,89463,1244910,5029636,4846776,5329003,7121000,9128000,10731000,10701000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,89463,1244910,5029636,4846776,5329003,7121000,9128000,10731000,10701000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,-10720269,- -
10,Operating Expenses,- -,101076,23467983,11996478,13847275,19070189,26161000,32687000,42662,55682000
11,COGS and Expenses,- -,101076,23467983,11996478,13847275,19070189,26161000,32687000,42662,55682000
12,Interest Income ,- -,- -,- -,- -,- -,1271,3236000,7050000,3233000,703000
13,Interest Expense (Gain),- -,24549,628676,982184,1810016,1282631,404000,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,260000,3808000,296000
15,EBITDA,- -,-121698,-21255507,-22421804,-12921806,-19295034,-21647000,-32427000,3768505,-55393000
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,351.1793,-Infinity
17,Operating Income,- -,-101076,-23467983,-11996478,-13847275,-19070189,-26161000,-32687000,-42662000,-55682000
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3975.5848,-Infinity
19,Total Other Income Expenses (Gains),- -,-45171,1583800,-11407510,-884547,-1507476,4098000,6908000,42622505,692000
20,Income Before Tax,- -,-146247,-21884183,-23403988,-14731822,-20577665,-22063000,-25779000,-39495,-54990000
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3.6805,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-146247,-21884183,-23403988,-14731822,-20577665,-22063000,-25779000,-39495,-54990000
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3.6805,-Infinity
25,EPS,- -,-0.03,-7.03,-3.68,-0.90,-0.79,-0.38,-0.36,-0.54,-0.76
26,EPS Diluted,- -,-0.03,-7.03,-3.68,-0.90,-0.79,-0.38,-0.36,-0.54,-0.76
27,Weighted Average Shares Outstanding,- -,4309934,4309934,6355869,16278292,25978098,57580000,71959000,72597000,72597000
28,Weighted Average Shares Outstanding Diluted,- -,4309934,4309934,6355869,16278292,25978098,57580000,71959000,72597000,72597000
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1607678/000156459016014212/0001564590-16-014212-index.html,https://www.sec.gov/Archives/edgar/data/1607678/000156459017004911/0001564590-17-004911-index.html,https://www.sec.gov/Archives/edgar/data/1607678/000156459018004757/0001564590-18-004757-index.html,https://www.sec.gov/Archives/edgar/data/1607678/000156459019007584/0001564590-19-007584-index.html,https://www.sec.gov/Archives/edgar/data/1607678/000156459020006766/0001564590-20-006766-index.html,https://www.sec.gov/Archives/edgar/data/1607678/000156459021006406/0001564590-21-006406-index.htm,https://www.sec.gov/Archives/edgar/data/1607678/000156459022004429/0001564590-22-004429-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,179619,755857,768550,3075502,8988478,24779000,8377000,29117000,26371000
32,Short-Term Investments,- -,- -,- -,13335499,10075058,11587478,276741000,267261000,219269000,175732000
33,Cash and Short-Term Investments,- -,179619,755857,14104049,13150560,20575956,301520000,275638000,248386000,202103000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,17827,1097599,824269,1275842,613000,7863000,7718000,8425000
37,Total Current Assets,- -,179619,773684,15201648,13974829,21851798,302133000,283501000,256104000,210528000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,598000,- -,25000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
