,https://roic.ai/company/GHG,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , 
1,Revenue,634720599,647788607,778131813,945005934,1091793135,930010096
2,COGS,264335262,240132208,233646052,280954345,338826479,392522306
3,Gross Profit,370385337,407656399,544485761,664051589,752966656,537487790
4,Gross Profit Ratio,0.5835,0.6293,0.6997,0.7027,0.6897,0.5779
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,64307833,77932944,121657492,95261152,184989324,172557554
7,Selling and Marketing Exp.,24643289,26609110,45032441,50393151,84970401,75347166
8,"Selling, General and Administrative Exp.",88951122,104542054,166689933,145654303,269959725,247904720
9,Other Expenses,-6337631,-9149173,-9654380,-16624580,-21545617,-29668147
10,Operating Expenses,82613491,95392881,157035553,129029723,248414108,218236573
11,COGS and Expenses,346948753,335525089,390681605,409984068,587240587,610758879
12,Interest Income ,19642825,22039369,26238440,49659928,66088425,72934212
13,Interest Expense (Gain),- -,- -,1442709,541876,2505904,3456316
14,Depreciation and Amortization,41683285,35354865,24956433,25549965,40366299,65869970
15,EBITDA,357552469,385252074,498450479,580382527,675158283,441129879
16,EBITDA ratio,0.5633,0.5947,0.6406,0.6142,0.6184,0.4743
17,Operating Income,287771846,312263518,387450208,535021866,504552548,319251217
18,Operating Income ratio,0.4534,0.4820,0.4979,0.5662,0.4621,0.3433
19,Total Other Income Expenses (Gains),45187521,47925230,85152163,27078474,121527007,35001356
20,Income Before Tax,332959367,360188748,472602371,562100340,626079555,354252573
21,Income Before Tax Ratio,0.5246,0.5560,0.6074,0.5948,0.5734,0.3809
22,Income Tax expense (Gain),80077298,83923610,186651155,160185845,189567817,110459202
23,Net Income,235791886,265973599,285400182,394104841,442718263,261344391
24,Net Income ratio,0.3715,0.4106,0.3668,0.4170,0.4055,0.2810
25,EPS,1.16,1.31,2.81,3.97,4.34,2.54
26,EPS Diluted,1.16,1.31,2.81,3.97,4.34,2.54
27,Weighted Average Shares Outstanding,203104418,203104418,203104418,99148921,102004669,103049863
28,Weighted Average Shares Outstanding Diluted,203104418,203104418,203104418,99148921,102004669,103049863
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1724755/000156459020020200/ghg-20f_20191231.htm,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,505856520,896782935,161963665,1264025785,319847701,611358209
32,Short-Term Investments,398614400,273492193,1089604960,993205845,644286952,544361878
33,Cash and Short-Term Investments,904470920,1170275128,1251568625,2257231630,964134653,1155720087
34,Net Receivables,119092223,185866806,63731586,132289352,213753158,333526557
35,Inventory,1897635,1844155,2355154,2547729,2537717,3804680
36,Other Current Assets,106006931,243390531,167770157,58447452,84798682,91247661
37,Total Current Assets,1131467709,1601376620,1485425522,2450516163,1265224210,1584298985
38,PP&E,141394209,110436301,96669251,222389573,614936505,668605661
39,Goodwill,2959183,2959183,2959183,5787068,100078236,100231487
40,Intangible Assets,5981076,4927259,3727383,27213391,496280316,491513073
41,Intangible Assets,8940259,7886442,6686566,33000459,596358552,591744560
42,Investments,81158345,35497064,122508832,112219460,958637701,859525917
43,Tax Assets,35870637,38341650,33351457,67909969,160488193,156070112
44,Other Non-Current Assets,8318856,82213203,11341301,128354386,220834256,234709282
45,Total Non-Current Assets,275682306,274374660,270557407,563873847,2551255207,2510655532
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,1407150015,1875751280,1755982929,3014390010,3816479417,4094954517
48,Accounts Payable,7567194,7701294,7293341,9182058,15296042,19606344
49,Short-Term Debt,- -,- -,- -,60000000,60000000,150000000
50,Tax Payable,105389784,117017980,154693916,157627845,158254420,165784930
51,Deferred Revenue,95073571,135157986,145680554,194181647,277210563,256976637
52,Other Current Liabilities,263167165,348657408,659705184,412100420,442526096,442946483
53,Total Current Liabilities,365807930,491516688,812679079,675464125,795032701,869529464
54,Long-Term Debt,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,122244558,143790691,167309219,166065611,428628934,390544342
56,Deferred Tax Liabilities,15809604,9844679,5797260,43538624,195303547,178413413
57,Other Non-Current Liabilities,126084944,203676711,187236910,266193219,379754228,406542615
58,Total Non-Current Liabilities,264139106,357312081,360343389,475797454,1003686709,975500370
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -
61,Total Liabilities,629947036,848828769,1173022468,1151261579,1798719410,1845029834
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,300886767,300886767,300886767,332956077,335060909,338121280
64,Retained Earnings,308450940,556468509,73489989,456398812,308698533,570042924
65,Other Comprehensive Income/Loss,-7278172,-5403169,-4086149,62367692,65300854,45586647
66,Other Total Stockholders Equity,174261734,174261734,212309734,1003026803,1152108217,1149280404
67,Total Stockholders Equity,776321269,1026213841,582600341,1854749384,1861168513,2103031255
68,Total Liabilities And Stockholders Equity,1406268305,1875042610,1755622809,3006010963,3659887923,3948061089
69,Minority Interest,881710,708670,360120,8379047,156591494,146893428
70,Total Liabilities & Equity,1407150015,1875751280,1755982929,3014390010,3816479417,4094954517
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1724755/000156459020020200/ghg-20f_20191231.htm,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,235791886,265973599,285400182,394104841,442718263,261344391
74,Depreciation and Amortization,41683285,35354865,24956433,25549965,40366299,65869970
75,Deferred Income Tax,- -,- -,67675809,23345894,19845708,- -
76,Stock Based Compensation,- -,- -,38048000,16108950,26490395,232558
77,Change in Working Capital,103606687,207367085,126936646,81620605,43740336,-80502022
78,Accounts Receivable,-2693631,-1436586,-17931396,-12368310,-52263625,-28789041
79,Inventory,-794272,53480,-510999,621293,351518,-1281009
80,Accounts Payable,-298932,134100,-407953,1183032,4814800,4546551
81,Other Working Capital,46068923,65862773,44074416,86469902,82583642,-41876211
82,Other Non-Cash Items,-23780777,-65138960,-66351150,14219388,-59221104,48312035
83,Cash Provided by Operating Activities,357301081,443556589,476665920,554949643,513939897,295256932
84,CAPEX,-13983543,-6093322,-16567534,-141963174,-215569606,-112817887
85,Acquisitions Net,- -,- -,- -,-31424594,-363885459,-16402457
86,Purchases of Investments,-670821040,-543666240,-922523872,-920798295,-1651412322,-302425715
87,Sales/Maturities of Investments,530810943,757958099,64874851,1009052851,1330762564,453633342
88,Other Investing Activites,-33465197,-134456327,129345034,-100115088,-322091870,-134427833
89,Cash Used for Investing Activites,-186432101,73997998,-744856135,-181756342,-1219956395,-111552657
90,Debt Repayment,- -,- -,-61442709,- -,- -,-70000000
91,Common Stock Issued,- -,- -,- -,837505007,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-52055899,-17956030,-579042699,-200532021,-226951236,- -
94,Other Financing Activites,721125,-115000000,175324191,25872422,14719481,185527872
95,Cash Used/Provided by Financing Activities,-51334774,-132956030,-465161217,662845408,-212231755,115527872
96,Effect of Forex Changes on Cash,5430170,6327858,-1467838,66023411,-6917309,-7664261
97,Net Change In Cash,124964376,390926415,-734819270,1102062120,-925165562,291567886
98,Cash at the End of Period,505856520,896782935,161963665,1264025785,342160223,633728109
99,Cash at the Beginning of Period,380892144,505856520,896782935,161963665,1267325785,342160223
100,Free Cash Flow,343317538,437463267,460098386,412986469,298370291,182439045
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1724755/000156459020020200/ghg-20f_20191231.htm,- -
102,Forex Rate,0.154,0.1439,0.1537,0.1453,0.1436,0.1532
