,https://roic.ai/company/MTOR,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4450000000,5153000000,6805000000,6882000000,7788000000,8033000000,8903000000,9195000000,6449000000,7167000000,4108000000,3590000000,4622000000,4418000000,3701000000,3766000000,3505000000,3199000000,3347000000,4178000000,4388000000,3044000000,3833000000
2,COGS,3798000000,4267000000,6074000000,6142000000,7044000000,7366000000,8267000000,8607000000,5957000000,6514000000,3804000000,3171000000,4146000000,3933000000,3308000000,3279000000,3043000000,2763000000,2863000000,3524000000,3748000000,2716000000,3328000000
3,Gross Profit,652000000,886000000,731000000,740000000,744000000,667000000,636000000,588000000,492000000,653000000,304000000,419000000,476000000,485000000,393000000,487000000,462000000,436000000,484000000,654000000,640000000,328000000,505000000
4,Gross Profit Ratio,0.1465,0.1719,0.1074,0.1075,0.0955,0.0830,0.0714,0.0639,0.0763,0.0911,0.0740,0.1167,0.1030,0.1098,0.1062,0.1293,0.1318,0.1363,0.1446,0.1565,0.1459,0.1078,0.1318
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,258000000,346000000,235000000,299000000,240000000,235000000,285000000,281000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,258000000,346000000,235000000,299000000,240000000,235000000,285000000,281000000,- -,270000000
9,Other Expenses,267000000,510000000,452000000,382000000,413000000,392000000,389000000,670000000,371000000,447000000,291000000,295000000,280000000,22000000,10000000,22000000,-1000000,-23000000,21000000,41000000,-18000000,-4000000,17000000
10,Operating Expenses,267000000,510000000,452000000,382000000,413000000,392000000,389000000,670000000,371000000,447000000,291000000,295000000,280000000,280000000,356000000,257000000,298000000,217000000,256000000,326000000,263000000,-4000000,287000000
11,COGS and Expenses,4065000000,4777000000,6526000000,6524000000,7457000000,7758000000,8656000000,9277000000,6328000000,6961000000,4095000000,3466000000,4426000000,4213000000,3664000000,3536000000,3341000000,2980000000,3119000000,3850000000,4011000000,2712000000,3615000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86000000,106000000,- -,95000000,126000000,130000000,105000000,84000000,119000000,67000000,57000000,66000000,79000000
14,Depreciation and Amortization,131000000,162000000,217000000,196000000,214000000,183000000,182000000,172000000,129000000,145000000,81000000,70000000,66000000,63000000,67000000,67000000,65000000,67000000,75000000,84000000,87000000,101000000,103000000
15,EBITDA,454000000,521000000,273000000,378000000,418000000,185000000,189000000,-59000000,-98000000,261000000,-338000000,236000000,206000000,266000000,234000000,477000000,235000000,300000000,570000000,417000000,517000000,490000000,405000000
16,EBITDA ratio,0.1020,0.1011,0.0401,0.0549,0.0537,0.0230,0.0212,-0.0064,-0.0152,0.0364,-0.0823,0.0657,0.0446,0.0602,0.0632,0.1267,0.0670,0.0938,0.1703,0.0998,0.1178,0.1610,0.1057
17,Operating Income,357000000,376000000,195000000,343000000,309000000,260000000,130000000,-119000000,53000000,186000000,-290000000,116000000,174000000,173000000,1000000,217000000,128000000,204000000,207000000,317000000,363000000,332000000,218000000
18,Operating Income ratio,0.0802,0.0730,0.0287,0.0498,0.0397,0.0324,0.0146,-0.0129,0.0082,0.0260,-0.0706,0.0323,0.0376,0.0392,0.0003,0.0576,0.0365,0.0638,0.0618,0.0759,0.0827,0.1091,0.0569
19,Total Other Income Expenses (Gains),-24000000,-17000000,-132000000,-108000000,-101000000,-81000000,-99000000,-97000000,-76000000,-45000000,-71000000,-56000000,-15000000,-36000000,44000000,98000000,-61000000,-49000000,174000000,-39000000,14000000,-6000000,16000000
20,Income Before Tax,333000000,359000000,63000000,235000000,208000000,179000000,31000000,-216000000,-23000000,141000000,-361000000,60000000,159000000,137000000,45000000,315000000,67000000,155000000,381000000,278000000,377000000,326000000,234000000
21,Income Before Tax Ratio,0.0748,0.0697,0.0093,0.0341,0.0267,0.0223,0.0035,-0.0235,-0.0036,0.0197,-0.0879,0.0167,0.0344,0.0310,0.0122,0.0836,0.0191,0.0485,0.1138,0.0665,0.0859,0.1071,0.0610
22,Income Tax expense (Gain),129000000,141000000,21000000,75000000,68000000,44000000,-5000000,-56000000,-8000000,217000000,707000000,48000000,77000000,56000000,63000000,31000000,1000000,-424000000,52000000,149000000,82000000,78000000,24000000
23,Net Income,194000000,218000000,35000000,107000000,136000000,-42000000,12000000,-175000000,-219000000,-101000000,-1212000000,12000000,63000000,52000000,-22000000,249000000,64000000,573000000,324000000,117000000,291000000,245000000,199000000
24,Net Income ratio,0.0436,0.0423,0.0051,0.0155,0.0175,-0.0052,0.0013,-0.0190,-0.0340,-0.0141,-0.2950,0.0033,0.0136,0.0118,-0.0059,0.0661,0.0183,0.1791,0.0968,0.0280,0.0663,0.0805,0.0519
25,EPS,3.75,4.12,0.53,1.61,2.03,-0.62,0.17,-2.52,-3.11,-1.40,-16.38,0.13,0.67,0.54,-0.23,2.55,0.68,6.35,3.66,1.38,3.57,3.31,2.84
26,EPS Diluted,3.75,4.12,0.53,1.59,2.00,-0.62,0.17,-2.52,-3.11,-1.40,-16.72,0.13,0.65,0.54,-0.23,2.51,0.64,5.99,3.59,1.28,3.37,3.24,2.73
27,Weighted Average Shares Outstanding,51800000,52900000,66100000,66400000,66900000,67400000,68500000,69300000,70500000,72100000,72500000,94100000,94600000,96500000,97400000,97800000,94600000,86800000,88565934,84900000,81400000,74000000,70100000
28,Weighted Average Shares Outstanding Diluted,51800000,52900000,66400000,67200000,67900000,68600000,69900000,69300000,70500000,72100000,72500000,94100000,96900000,97200000,97400000,99200000,100100000,92000000,90200000,91200000,86300000,75600000,72800000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1113256/000111325620000123/0001113256-20-000123-index.htm,https://www.sec.gov/Archives/edgar/data/1113256/000111325621000128/0001113256-21-000128-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,103000000,132000000,187000000,350000000,409000000,497000000,95000000,343000000,217000000,257000000,318000000,247000000,193000000,160000000,88000000,115000000,108000000,315000000,101000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,103000000,132000000,187000000,350000000,409000000,497000000,95000000,343000000,217000000,257000000,318000000,247000000,193000000,160000000,88000000,115000000,108000000,315000000,101000000
34,Net Receivables,- -,- -,- -,- -,1327000000,1478000000,1655000000,1645000000,1223000000,1114000000,694000000,579000000,712000000,542000000,596000000,610000000,461000000,396000000,789000000,588000000,551000000,479000000,534000000
35,Inventory,- -,- -,- -,- -,543000000,523000000,541000000,596000000,541000000,623000000,374000000,382000000,460000000,438000000,414000000,379000000,338000000,316000000,378000000,477000000,526000000,435000000,601000000
36,Other Current Assets,- -,- -,- -,- -,266000000,853000000,787000000,502000000,216000000,218000000,153000000,417000000,70000000,61000000,56000000,56000000,50000000,33000000,43000000,46000000,31000000,54000000,50000000
37,Total Current Assets,- -,- -,- -,- -,2239000000,2986000000,3170000000,3093000000,2389000000,2452000000,1316000000,1721000000,1459000000,1298000000,1384000000,1292000000,1042000000,905000000,1298000000,1226000000,1216000000,1283000000,1286000000
38,PP&E,- -,- -,- -,- -,1332000000,1032000000,1013000000,988000000,738000000,775000000,445000000,389000000,421000000,417000000,417000000,424000000,419000000,439000000,474000000,483000000,515000000,515000000,517000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,503000000,520000000,522000000,438000000,432000000,431000000,433000000,434000000,431000000,402000000,390000000,414000000,421000000,478000000,501000000,507000000
40,Intangible Assets,- -,- -,- -,- -,951000000,808000000,801000000,47000000,28000000,25000000,- -,- -,- -,29000000,28000000,25000000,28000000,29000000,27000000,44000000,70000000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,951000000,808000000,801000000,550000000,548000000,547000000,438000000,432000000,431000000,462000000,462000000,456000000,430000000,419000000,441000000,465000000,548000000,501000000,507000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,169000000,102000000,106000000,96000000,100000000,101000000,102000000,110000000,107000000,132000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,560000000,781000000,530000000,- -,- -,- -,12000000,13000000,15000000,28000000,413000000,229000000,140000000,122000000,30000000,42000000
44,Other Non-Current Assets,- -,- -,- -,- -,731000000,813000000,886000000,322000000,333000000,370000000,309000000,337000000,352000000,143000000,192000000,209000000,180000000,218000000,239000000,310000000,304000000,448000000,454000000
45,Total Non-Current Assets,- -,- -,- -,- -,3014000000,2653000000,2700000000,2420000000,2400000000,2222000000,1192000000,1158000000,1204000000,1203000000,1186000000,1210000000,1153000000,1589000000,1484000000,1500000000,1599000000,1601000000,1652000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,5253000000,5639000000,5870000000,5513000000,4789000000,4674000000,2508000000,2879000000,2663000000,2501000000,2570000000,2502000000,2195000000,2494000000,2782000000,2726000000,2815000000,2884000000,2938000000
48,Accounts Payable,- -,- -,- -,- -,1311000000,1366000000,1483000000,1649000000,1342000000,1287000000,674000000,670000000,841000000,697000000,694000000,680000000,574000000,475000000,622000000,700000000,610000000,423000000,573000000
49,Short-Term Debt,- -,- -,- -,- -,20000000,3000000,131000000,56000000,18000000,240000000,97000000,- -,84000000,18000000,13000000,7000000,15000000,14000000,288000000,94000000,41000000,39000000,19000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
