,https://roic.ai/company/APPS,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,4013000,3750000,- -,- -,- -,3200000,31256000,14037000,9186000,7230000,6025000,24404000,28252000,86541000,91553000,74751000,103569000,138715000,313579000
2,COGS,844000,584000,- -,- -,- -,-200000,11150000,3188000,3210000,2873000,2611000,16558000,22120000,76722000,78190000,49696000,68004000,85042000,181007000
3,Gross Profit,3169000,3166000,- -,- -,- -,3400000,20106000,10849000,5976000,4357000,3414000,7846000,6132000,9819000,13363000,25055000,35565000,53673000,132572000
4,Gross Profit Ratio,0.7897,0.8443,- -,- -,- -,1.0625,0.6433,0.7729,0.6506,0.6026,0.5666,0.3215,0.2170,0.1135,0.1460,0.3352,0.3434,0.3869,0.4228
5,Research and Development Exp.,- -,- -,- -,- -,- -,900000,6981000,4194000,3528000,2154000,1712000,7869000,7905000,10983000,12035000,9653000,10876000,12018000,20119000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,1509000,10338000,7729000,5698000,13013000,11992000,13432000,19031000,18705000,16811000,15124000,13032000,17199000,33940000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,891000,9236000,2428000,2142000,873000,971000,1915000,2933000,6067000,6537000,6087000,8212000,11244000,19304000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,2400000,19574000,10157000,7840000,13886000,12963000,15347000,21964000,24772000,23348000,21211000,21244000,28443000,53244000
9,Other Expenses,2540000,2452000,- -,553486,2520621,100000,628000,547000,54000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,2540000,2452000,- -,553486,2520621,3400000,27183000,14898000,11422000,16040000,14675000,23216000,29869000,35755000,35383000,30864000,32120000,40461000,73363000
11,COGS and Expenses,3384000,3036000,171058,553486,2520621,3200000,38333000,18086000,14632000,18913000,17286000,39774000,51989000,112477000,113573000,80560000,100124000,125503000,254370000
12,Interest Income ,- -,- -,- -,- -,- -,- -,141000,9000,2000,- -,- -,- -,- -,- -,- -,- -,- -,41000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,310000,2302000,3062000,1763000,12497000,1883000,1407000,234000,1816000,2628000,2067000,1120000,- -,- -
14,Depreciation and Amortization,1071000,406000,- -,- -,- -,250000,1518000,1612000,638000,429000,646000,1856000,2108000,10974000,8170000,2660000,2766000,2342000,7114000
15,EBITDA,1199000,-56000,-171058,-553486,-2520621,260000,-37891000,-37504000,-6759000,-17671000,-11542000,-15713000,-21558000,-15028000,-13610000,-49081000,-1655000,5867000,48971000
16,EBITDA ratio,0.2988,-0.0149,-Infinity,-Infinity,-Infinity,0.0813,-1.2123,-2.6718,-0.7358,-2.4441,-1.9157,-0.6439,-0.7631,-0.1737,-0.1487,-0.6566,-0.0160,0.0423,0.1562
17,Operating Income,629000,126000,-171058,-553486,-2520621,- -,-38861000,-42479000,-11474000,-16971000,-12380000,-15524000,-23737000,-25936000,-22020000,-5809000,3445000,13212000,59209000
18,Operating Income ratio,0.1567,0.0336,-Infinity,-Infinity,-Infinity,- -,-1.2433,-3.0262,-1.2491,-2.3473,-2.0548,-0.6361,-0.8402,-0.2997,-0.2405,-0.0777,0.0333,0.0952,0.1888
19,Total Other Income Expenses (Gains),-661000,-588000,- -,- -,- -,- -,-2703000,-1403000,-2710000,-13626000,-1691000,-1950000,-163000,-1882000,-2388000,-14839000,-7278000,-9307000,-17352000
20,Income Before Tax,-32000,-462000,- -,- -,- -,-300000,-41564000,-43882000,-14184000,-30597000,-14071000,-17474000,-23900000,-27818000,-24408000,-20648000,-3833000,3905000,41857000
21,Income Before Tax Ratio,-0.0080,-0.1232,- -,- -,- -,-0.0938,-1.3298,-3.1262,-1.5441,-4.2320,-2.3354,-0.7160,-0.8460,-0.3214,-0.2666,-0.2762,-0.0370,0.0282,0.1335
22,Income Tax expense (Gain),- -,42000,- -,- -,- -,- -,-111000,305000,224000,110000,90000,-272000,747000,214000,-144000,-951000,469000,-10375000,-13027000
23,Net Income,128000,-504000,-171058,-553486,-2204111,-300000,-41600000,-42483000,-9384000,-30707000,-14161000,-18704000,-24647000,-28032000,-24264000,-52857000,-6010000,13900000,54884000
24,Net Income ratio,0.0319,-0.1344,-Infinity,-Infinity,-Infinity,-0.0938,-1.3309,-3.0265,-1.0216,-4.2472,-2.3504,-0.7664,-0.8724,-0.3239,-0.2650,-0.7071,-0.0580,0.1002,0.1750
25,EPS,0.08,-0.20,-0.08,-0.25,-0.60,-0.07,-5.75,-5.35,-1.25,-3.10,-0.77,-0.50,-0.63,-0.46,-0.36,-0.75,-0.08,0.17,0.62
26,EPS Diluted,0.02,-0.20,-0.08,-0.25,-0.60,-0.07,-5.75,-5.35,-1.25,-3.10,-0.77,-0.50,-0.63,-0.46,-0.36,-0.75,-0.08,0.16,0.57
27,Weighted Average Shares Outstanding,1759194,2463593,2000000,2319879,3799335,4300000,7252800,7967400,7532800,9883600,18467894,37388429,38967000,61763000,66511000,70263000,77440000,84594000,88514000
28,Weighted Average Shares Outstanding Diluted,12895326,2463593,2000000,2319879,3799335,4300000,7252800,7967400,7532800,9883600,18467894,37388429,38967000,61763000,66511000,70263000,77440000,89558000,96151000
