,https://roic.ai/company/BTCM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,157378000,232332000,171527000,259534000,579717000,99552000,10928000,131323000,126089000,39688000,21815000,1326856000
2,COGS,22052000,24425000,18476000,27818000,53909000,24355000,14141000,53096000,80017000,59410000,16774000,1325250000
3,Gross Profit,135326000,207907000,153051000,231716000,525808000,75197000,-3213000,78227000,46072000,-19722000,5041000,1606000
4,Gross Profit Ratio,0.8599,0.8949,0.8923,0.8928,0.9070,0.7554,-0.2940,0.5957,0.3654,-0.4969,0.2311,0.0012
5,Research and Development Exp.,9299000,19566000,26571000,28686000,59398000,63296000,71595000,68341000,61909000,48614000,30201000,3155000
6,General and Administrative Exp.,43554000,121562000,84355000,101876000,215707000,295540000,319283000,325420000,313293000,272372000,182742000,25760000
7,Selling and Marketing Exp.,14252000,52471000,45794000,84596000,173883000,87022000,44921000,76977000,92465000,42445000,16748000,951000
8,"Selling, General and Administrative Exp.",57806000,174033000,130149000,186472000,389590000,382562000,364204000,402397000,405758000,314817000,199490000,26711000
9,Other Expenses,-13429000,-27503000,-31185000,-43360000,-75928000,-69253000,-82429000,-41643000,-77107000,-51911000,-33858000,12648000
10,Operating Expenses,53676000,166096000,125535000,171798000,373060000,376605000,353370000,429095000,390560000,311520000,195833000,42514000
11,COGS and Expenses,75728000,190521000,144011000,199616000,426969000,400960000,367511000,482191000,470577000,370930000,212607000,1367764000
12,Interest Income ,102000,243000,1132000,2058000,17009000,20589000,23859000,20574000,15308000,13448000,9093000,56000
13,Interest Expense (Gain),- -,- -,- -,5407000,356000,2138000,- -,- -,- -,- -,- -,775000
14,Depreciation and Amortization,3442000,3820000,1032000,8506000,10287000,11570000,19711000,39502000,63979000,79054000,53008000,- -
15,EBITDA,85194000,45874000,23276000,43673000,175679000,-268220000,-180197000,-289963000,-407296000,-579856000,-173872000,-57740000
16,EBITDA ratio,0.5413,0.1975,0.1357,0.1683,0.3030,-2.6943,-16.4895,-2.2080,-3.2302,-14.6104,-7.9703,-0.0435
17,Operating Income,12310369,6652506,3382352,9887067,24102020,-46428891,-52789827,-53742481,-50078209,-91876143,-29203006,-66176000
18,Operating Income ratio,0.0782,0.0286,0.0197,0.0381,0.0416,-0.4664,-4.8307,-0.4092,-0.3972,-2.3150,-1.3387,-0.0499
19,Total Other Income Expenses (Gains),69441631,35401494,18861648,19872933,140933980,-235811109,-153405173,-274765519,-441260791,-570051857,-195546994,4425000
20,Income Before Tax,81752000,42054000,22244000,29760000,165036000,-282240000,-206195000,-328508000,-491339000,-661928000,-224750000,-61751000
21,Income Before Tax Ratio,0.5195,0.1810,0.1297,0.1147,0.2847,-2.8351,-18.8685,-2.5015,-3.8968,-16.6783,-10.3025,-0.0465
22,Income Tax expense (Gain),43463000,28497000,18001000,-76294000,7987000,41969000,3057000,-12366000,-19602000,-7642000,-3654000,-242000
23,Net Income,38289000,13557000,4243000,106054000,157049000,-323897000,-202965000,-317099000,-451673000,-651268000,-223226000,-58273000
24,Net Income ratio,0.2433,0.0584,0.0247,0.4086,0.2709,-3.2535,-18.5729,-2.4146,-3.5822,-16.4097,-10.2327,-0.0439
25,EPS,0.39,0.09,0.03,0.74,0.74,-1.29,-0.69,-1.19,-1.60,-2.12,-0.80,-1.36
