,https://roic.ai/company/EGAN,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2000,1000000,13362000,53437000,30429000,22084000,19603000,20428000,22564000,22473000,30107000,33219000,29877000,44065000,43364000,58889000,70262000,75913000,69375000,58215000,61307000,67232000,72729000,78287000
2,COGS,52000,1500000,12663000,30850000,18309000,11337000,8108000,6621000,7216000,9231000,11636000,10746000,9708000,10916000,13436000,18006000,23462000,29141000,23689000,21199000,22336000,21841000,21081000,19267000
3,Gross Profit,-50000,-500000,699000,22587000,12120000,10747000,11495000,13807000,15348000,13242000,18471000,22473000,20169000,33149000,29928000,40883000,46800000,46772000,45686000,37016000,38971000,45391000,51648000,59020000
4,Gross Profit Ratio,-25.0000,-0.5000,0.0523,0.4227,0.3983,0.4866,0.5864,0.6759,0.6802,0.5892,0.6135,0.6765,0.6751,0.7523,0.6902,0.6942,0.6661,0.6161,0.6585,0.6358,0.6357,0.6751,0.7101,0.7539
5,Research and Development Exp.,314000,2100000,11752000,22877000,11395000,5869000,2942000,2367000,3046000,3973000,5098000,5481000,5510000,5551000,6132000,8419000,9963000,16042000,16063000,13753000,14711000,14369000,16638000,17933000
6,General and Administrative Exp.,-32000,- -,35104000,63384000,34087000,14414000,11731000,12150000,12207000,15737000,15987000,3271000,3211000,3974000,5743000,6787000,7529000,9313000,7774000,6552000,7567000,8198000,7981000,7749000
7,Selling and Marketing Exp.,246000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10465000,10226000,13932000,21181000,24434000,33367000,32703000,27722000,20436000,17681000,17302000,19623000,25999000
8,"Selling, General and Administrative Exp.",214000,- -,35104000,63384000,34087000,14414000,11731000,12150000,12207000,15737000,15987000,13736000,13437000,17906000,26924000,31221000,40896000,42016000,35496000,26988000,25248000,25500000,27604000,33748000
9,Other Expenses,304000,8700000,23488000,40107000,72804000,1464000,1203000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,832000,10800000,70344000,126368000,118286000,21747000,15876000,14517000,15253000,19710000,21085000,19217000,18947000,23457000,33056000,39640000,50859000,58058000,51559000,40741000,39959000,39869000,44242000,51681000
11,COGS and Expenses,884000,12300000,83007000,157218000,136595000,33084000,23984000,21138000,22469000,28941000,32721000,29963000,28655000,34373000,46492000,57646000,74321000,87199000,75248000,61940000,62295000,61710000,65323000,70948000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1435000,1123000,1230000,722000,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,58000,3300000,23488000,47604000,44323000,6230000,2264000,326000,413000,645000,752000,689000,631000,598000,846000,1254000,2108000,5013000,4838000,3199000,2638000,800000,2112000,2089000
15,EBITDA,-880000,-8000000,-44943000,-55048000,-71497000,-5246000,-2630000,-516000,-500000,-6918000,-3189000,4175000,1786000,10535000,-2959000,2317000,-2547000,-7096000,-2265000,-2288000,461000,5801000,10098000,8882000
16,EBITDA ratio,-440.0000,-8.0000,-3.3635,-1.0301,-2.3496,-0.2375,-0.1342,-0.0253,-0.0222,-0.3078,-0.1059,0.1257,0.0598,0.2391,-0.0682,0.0393,-0.0363,-0.0935,-0.0326,-0.0393,0.0075,0.0863,0.1388,0.1135
17,Operating Income,-882000,-11300000,-69645000,-105224000,-115130000,-11620000,-4404000,212000,95000,-6468000,-2614000,3256000,1222000,9692000,-3128000,1243000,-4059000,-11286000,-5873000,-3725000,-988000,5522000,7406000,7339000
18,Operating Income ratio,-441.0000,-11.3000,-5.2122,-1.9691,-3.7836,-0.5262,-0.2247,0.0104,0.0042,-0.2878,-0.0868,0.0980,0.0409,0.2199,-0.0721,0.0211,-0.0578,-0.1487,-0.0847,-0.0640,-0.0161,0.0821,0.1018,0.0937
19,Total Other Income Expenses (Gains),- -,- -,-71000,-1443000,-45743000,-620000,-23000,922000,-1008000,-1095000,-1327000,-1205000,-1190000,-985000,-1399000,-180000,-596000,-823000,-1230000,-1762000,-1189000,-521000,580000,-546000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,-913000,-7563000,-3941000,2051000,32000,8707000,-4527000,1063000,-4655000,-12109000,-7103000,-5487000,-2177000,5001000,7986000,6793000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,-0.0405,-0.3365,-0.1309,0.0617,0.0011,0.1976,-0.1044,0.0181,-0.0663,-0.1595,-0.1024,-0.0943,-0.0355,0.0744,0.1098,0.0868
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,146000,136000,206000,-129000,159000,196000,390000,379000,591000,320000,-863000,533000,-186000,833000,778000,-166000
23,Net Income,-938000,-11300000,-68431000,-102652000,-115820000,-11476000,-4894000,-842000,-1059000,-7699000,-4147000,2180000,-127000,8511000,-4917000,684000,-5246000,-12429000,-6240000,-6020000,-1991000,4168000,7208000,6959000
24,Net Income ratio,-469.0000,-11.3000,-5.1213,-1.9210,-3.8062,-0.5197,-0.2497,-0.0412,-0.0469,-0.3426,-0.1377,0.0656,-0.0043,0.1931,-0.1134,0.0116,-0.0747,-0.1637,-0.0899,-0.1034,-0.0325,0.0620,0.0991,0.0889
25,EPS,-177.80,-21.40,-29.20,-36.20,-45.80,-5.01,-3.33,-0.47,-0.07,-0.50,-0.27,0.11,-0.01,0.37,-0.20,0.03,-0.21,-0.47,-0.23,-0.22,-0.07,0.15,0.24,0.22
26,EPS Diluted,-177.80,-21.40,-29.20,-36.20,-45.80,-5.01,-3.33,-0.47,-0.07,-0.50,-0.27,0.11,-0.01,0.35,-0.20,0.03,-0.21,-0.47,-0.23,-0.22,-0.07,0.14,0.23,0.21
27,Weighted Average Shares Outstanding,5300,2899000,2344000,3516400,3622900,3664000,3688000,9731000,15308000,15317000,15330000,20611000,22180000,22709000,24329000,24780000,25353000,26609000,27056000,27108000,27333000,28579000,30620000,31007000
28,Weighted Average Shares Outstanding Diluted,5300,2899000,2344000,3516400,3622900,3664000,3688000,9731000,15308000,15317000,15330000,20612000,22180000,24289000,24329000,26089000,25353000,26609000,27056000,27108000,27333000,30363000,31956000,32597000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1066194/000101287001502080/0001012870-01-502080-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000101287002003932/0001012870-02-003932-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000119312503055476/0001193125-03-055476-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000119312504163238/0001193125-04-163238-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000119312505193237/d10k.htm,https://www.sec.gov/Archives/edgar/data/1066194/000119312506197995/d10k.htm,https://www.sec.gov/Archives/edgar/data/1066194/000119312507210115/0001193125-07-210115-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000119312508203156/0001193125-08-203156-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000119312509198400/0001193125-09-198400-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000119312510214925/0001193125-10-214925-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000119312511257374/0001193125-11-257374-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000119312512403504/0001193125-12-403504-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000156459013000619/0001564590-13-000619-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000156459014004080/0001564590-14-004080-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000155837015001771/0001558370-15-001771-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000155837016008328/0001558370-16-008328-index.htm,https://www.sec.gov/Archives/edgar/data/1066194/000155837017007169/0001558370-17-007169-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000155837018007466/0001558370-18-007466-index.html,https://www.sec.gov/Archives/edgar/data/1066194/000155837019008598/egan-20190630x10k.htm,https://www.sec.gov/Archives/edgar/data/1066194/000155837020011132/0001558370-20-011132-index.htm,https://www.sec.gov/Archives/edgar/data/1066194/000155837021012388/0001558370-21-012388-index.htm
