,https://roic.ai/company/BNSO,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,7900000,6500000,7500000,7800000,8600000,12500000,13300000,14200000,17000000,23700000,13000000,15380286,29566680,53303101,46330054,74706725,69602192,64542963,66491380,62686501,40378198,28543272,28387000,26682000,30386000,31305000,28944000,23892000,17476000,11523000,9992000,13096000,15590000
2,COGS,5500000,5100000,5300000,5400000,5400000,8100000,8400000,8600000,11100000,15600000,7400000,9498749,22400017,40192242,35527943,57481103,53138410,51114155,53946323,57682498,34707293,23693400,24760000,22782000,25263000,28631000,23092000,16476000,10715000,6958000,6035000,5690000,5940000
3,Gross Profit,2400000,1400000,2200000,2400000,3200000,4400000,4900000,5600000,5900000,8100000,5600000,5881537,7166663,13110859,10802111,17225622,16463782,13428808,12545057,5004003,5670905,4849872,3627000,3900000,5123000,2674000,5852000,7416000,6761000,4565000,3957000,7406000,9650000
4,Gross Profit Ratio,0.3038,0.2154,0.2933,0.3077,0.3721,0.3520,0.3684,0.3944,0.3471,0.3418,0.4308,0.3824,0.2424,0.2460,0.2332,0.2306,0.2365,0.2081,0.1887,0.0798,0.1404,0.1699,0.1278,0.1462,0.1686,0.0854,0.2022,0.3104,0.3869,0.3962,0.3960,0.5655,0.6190
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,100000,200000,600000,186251,297740,426364,392926,739730,710355,847401,983172,883304,792071,579700,334000,312000,396000,366000,228000,200000,158000,- -,- -,- -,- -
6,General and Administrative Exp.,1300000,1500000,1900000,2000000,2400000,2600000,3000000,4000000,4000000,4100000,3400000,3806561,5127070,9767895,10986964,13981898,11890221,11212223,10919261,12898288,8378720,4549785,4675000,5018000,5029000,5947000,6411000,6464000,5170000,4669000,4605000,7479000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,649377,375290,249000,267000,268000,389000,822000,420000,297000,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1300000,1500000,1900000,2000000,2400000,2600000,3000000,4000000,4000000,4100000,3400000,3806561,5127070,9767895,10986964,13981898,11890221,11212223,10919261,12898288,9028097,4925075,4924000,5285000,5297000,6336000,7233000,6884000,5467000,4669000,4605000,7479000,8924000
9,Other Expenses,200000,300000,300000,300000,400000,400000,500000,800000,1000000,1400000,1400000,1619173,- -,202608,200000,200000,200000,458141,900950,2840213,- -,- -,- -,-1448000,- -,- -,- -,- -,- -,-342000,-103000,-435000,-168000
10,Operating Expenses,1500000,1800000,2200000,2300000,2800000,3000000,3500000,4800000,5100000,5700000,5400000,5611985,5424810,10396867,11579890,14921628,12800576,12517765,12803383,16621805,9820168,5504775,5258000,4149000,5693000,6702000,7461000,7084000,5625000,4327000,4502000,7044000,8756000
11,COGS and Expenses,7000000,6900000,7500000,7700000,8200000,11100000,11900000,13400000,16200000,21300000,12800000,15110734,27824827,50589109,47107833,72402731,65938986,63631920,66749706,74304303,44527461,29198175,30018000,26931000,30956000,35333000,30553000,23560000,16340000,11285000,10537000,12734000,14696000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,129794,458328,166723,- -,57169,80955,202155,- -,203102,126544,102686,6000,7000,7000,64000,18000,15000,8000,191000,237000,175000,140000
13,Interest Expense (Gain),200000,200000,300000,- -,100000,400000,600000,500000,500000,- -,400000,261288,337526,645045,- -,499512,416774,504280,- -,693000,209268,69106,56000,87000,68000,136000,273000,113000,37000,72000,139000,181000,158000
14,Depreciation and Amortization,200000,300000,300000,300000,400000,400000,500000,800000,1000000,1400000,1400000,1619173,2349185,3287915,3847908,3229040,2773086,2670186,2638515,2855658,2453366,1958298,307000,230000,346000,1375000,1376000,1335000,1317000,1376000,1134000,1105000,1081000
15,EBITDA,1100000,- -,800000,400000,900000,1800000,3000000,1800000,2100000,3900000,1600000,2224758,4415253,5928528,2241487,6398666,6805531,3790068,2185083,-5335409,-4713777,1378811,-1197000,-583000,-311000,1290000,1722000,4629000,4749000,1452000,810000,1684000,2396000
16,EBITDA ratio,0.1392,- -,0.1067,0.0513,0.1047,0.1440,0.2256,0.1268,0.1235,0.1646,0.1231,0.1446,0.1493,0.1112,0.0484,0.0857,0.0978,0.0587,0.0329,-0.0851,-0.1167,0.0483,-0.0422,-0.0218,-0.0102,0.0412,0.0595,0.1937,0.2717,0.1260,0.0811,0.1286,0.1537
17,Operating Income,900000,-400000,- -,100000,400000,1400000,1400000,800000,800000,2400000,200000,269552,1741853,2713992,-777779,2303994,3663206,911043,-258326,-11617802,-4149263,-654903,-1631000,-249000,-570000,295000,462000,3302000,3166000,238000,-540000,362000,1206000
18,Operating Income ratio,0.1139,-0.0615,- -,0.0128,0.0465,0.1120,0.1053,0.0563,0.0471,0.1013,0.0154,0.0175,0.0589,0.0509,-0.0168,0.0308,0.0526,0.0141,-0.0039,-0.1853,-0.1028,-0.0229,-0.0575,-0.0093,-0.0188,0.0094,0.0160,0.1382,0.1812,0.0207,-0.0540,0.0276,0.0774
19,Total Other Income Expenses (Gains),-200000,-100000,400000,200000,- -,-100000,500000,-300000,-200000,100000,100000,74745,-13311,-718424,-756002,325048,-61737,-295441,-195106,2733735,-5000404,131955,200000,-651000,-155000,-516000,-389000,-121000,229000,-234000,77000,36000,-49000
20,Income Before Tax,700000,-500000,- -,- -,400000,- -,1900000,500000,600000,2500000,- -,344297,1728542,1995568,-1533781,2629042,3601469,615602,-453432,-8884067,-9149667,-522948,-1431000,-900000,-725000,-221000,73000,3181000,3395000,4000,-463000,398000,1157000
21,Income Before Tax Ratio,0.0886,-0.0769,- -,- -,0.0465,- -,0.1429,0.0352,0.0353,0.1055,- -,0.0224,0.0585,0.0374,-0.0331,0.0352,0.0517,0.0095,-0.0068,-0.1417,-0.2266,-0.0183,-0.0504,-0.0337,-0.0239,-0.0071,0.0025,0.1331,0.1943,0.0003,-0.0463,0.0304,0.0742
22,Income Tax expense (Gain),100000,-100000,- -,- -,100000,- -,100000,-100000,100000,200000,- -,-3401,124743,189962,37314,401504,266059,131474,917511,-334154,208003,9087,- -,2000,29000,- -,-1037000,310000,600000,- -,- -,- -,-614000
23,Net Income,600000,-400000,200000,100000,300000,1000000,1800000,600000,500000,2300000,- -,347698,1603799,1805606,-1643735,2268610,3349612,484128,-1370943,-8549913,-7584414,-657680,-1560000,-902000,-754000,-221000,1110000,2871000,2795000,4000,-463000,398000,1771000
24,Net Income ratio,0.0759,-0.0615,0.0267,0.0128,0.0349,0.0800,0.1353,0.0423,0.0294,0.0970,- -,0.0226,0.0542,0.0339,-0.0355,0.0304,0.0481,0.0075,-0.0206,-0.1364,-0.1878,-0.0230,-0.0550,-0.0338,-0.0248,-0.0071,0.0383,0.1202,0.1599,0.0003,-0.0463,0.0304,0.1136
25,EPS,0.42,-0.22,0.12,0.06,0.24,0.68,0.95,0.21,0.19,0.80,0.00,0.10,0.29,0.32,-0.29,0.40,0.59,0.09,-0.25,-1.53,-1.36,-0.13,-0.29,-0.17,-0.14,-0.04,0.21,0.55,0.54,0.00,-0.10,0.09,0.38
26,EPS Diluted,0.42,-0.22,0.12,0.06,0.24,0.68,0.95,0.21,0.19,0.73,0.00,0.09,0.28,0.32,-0.29,0.37,0.55,0.08,-0.25,-1.53,-1.36,-0.13,-0.29,-0.17,-0.14,-0.04,0.21,0.55,0.53,0.00,-0.10,0.08,0.37
27,Weighted Average Shares Outstanding,1428571,1818182,1666667,1666667,1250000,1470588,1818182,2857143,2631579,2875000,2500000,3050068,5564882,5642519,5668052,5671525,5677308,5379200,5483772,5588178,5577639,5246903,5246903,5246903,5246903,5246903,5246903,5173431,5143648,4910357,4703224,4646966,4646966
28,Weighted Average Shares Outstanding Diluted,1428571,1818182,1666667,1666667,1250000,1470588,1818182,2857143,2631579,3150685,3333333,3498100,5679175,5642519,5668052,6131378,6090204,6051600,5483772,5588178,5577639,5246903,5246903,5246903,5246903,5246903,5246903,5173431,5316393,5290904,4703224,4816736,4816736
