,https://roic.ai/company/MITI,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,159359,176437,227655,- -,- -,- -,- -,3500,- -,115994
2,COGS,- -,- -,- -,- -,- -,58522,78358,172966,- -,- -,- -,- -,- -,- -,455587
3,Gross Profit,- -,- -,- -,- -,- -,100837,98079,54689,- -,- -,- -,- -,- -,- -,-339593
4,Gross Profit Ratio,- -,- -,- -,- -,- -,0.6328,0.5559,0.2402,- -,- -,- -,- -,- -,- -,-2.9277
5,Research and Development Exp.,- -,- -,- -,- -,- -,894157,838925,892092,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,14683,- -,- -,- -,- -,- -,- -,1315663,1447582,2533569,6058996
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,14683,1493233,- -,- -,- -,- -,- -,1315663,1447582,2533569,6058996
9,Other Expenses,- -,- -,- -,- -,- -,- -,2268031,2235012,- -,- -,- -,- -,- -,-3000,- -
10,Operating Expenses,- -,- -,- -,- -,- -,2387390,3106956,3127104,- -,- -,- -,- -,1447582,2530569,6058996
11,COGS and Expenses,14522,7253,19157,13316,15439,2445912,3185314,3300070,64756,4405163,699957,1315663,1447582,2530569,6514583
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),1535,1375,3027,4796,5944,141930,392645,- -,896,269367,54088,66630,1609727,1396000,968471
14,Depreciation and Amortization,528,528,618,752,756,717384,493123,565160,- -,- -,- -,- -,- -,5890,182426
15,EBITDA,-13994,-6725,-18539,-12564,-14683,-1569169,-2515754,-3204984,-64756,-4405163,-699957,-1348523,-2275535,-2147832,-6771737
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-9.8468,-14.2587,-14.0782,-Infinity,-Infinity,-Infinity,-Infinity,-650.1529,-Infinity,-58.3801
17,Operating Income,-14522,-7253,-19157,-13316,-15439,-2286553,-3008877,-3072415,-64756,-4405163,-699957,-1315663,-1444082,-2533569,-6398589
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-14.3484,-17.0535,-13.4959,-Infinity,-Infinity,-Infinity,-Infinity,-412.5949,-Infinity,-55.1631
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,-141930,-392645,-697729,-896,-475696,-54088,-99490,-2441180,-327025,-1524045
20,Income Before Tax,- -,- -,- -,- -,- -,-2428483,-3401522,-3770144,-65652,-4880859,-754045,-1415153,-3885262,-2860594,-7922634
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-15.2391,-19.2790,-16.5608,-Infinity,-Infinity,-Infinity,-Infinity,-1110.0749,-Infinity,-68.3021
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
