,https://roic.ai/company/DB,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,7739000000,8491000000,9489000000,11423000000,16744000000,34574237280,29673471820,26568803600,21230774140,21902456880,25620586950,27722000000,29244000000,12338000000,28236000000,30571000000,33459000000,33550000000,31568000000,31339000000,33413000000,29576000000,26318000000,25095000000,22950000000,23793000000,25313000000
2,COGS,14526000000,15862000000,19338000000,22388000000,24905000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,-6787000000,-7371000000,-9849000000,-10965000000,-8161000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,-0.8770,-0.8681,-1.0379,-0.9599,-0.4874,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,5917000000,5990000000,8444000000,7392000000,12657000000,17577792660,16391103440,12127496220,10586007960,10474318320,10984473100,12649000000,18211000000,14790000000,17094000000,19598000000,21085000000,21970000000,20608000000,21344000000,22231000000,20591000000,20027000000,19467000000,18579000000,17562000000,17945000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,437000000,418000000,278000000,341000000,410000000,376000000,314000000,313000000,294000000,285000000,309000000,278000000,251000000,174000000,178000000
8,"Selling, General and Administrative Exp.",5917000000,5990000000,8444000000,7392000000,12657000000,17577792660,16391103440,12127496220,10586007960,10474318320,10984473100,12649000000,18648000000,15208000000,17372000000,19939000000,21495000000,22346000000,20922000000,21657000000,22525000000,20876000000,20336000000,19745000000,18830000000,17736000000,18123000000
9,Other Expenses,14526000000,15862000000,19338000000,22388000000,24905000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,20443000000,21852000000,27782000000,29780000000,37562000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
11,COGS and Expenses,34969000000,37714000000,47120000000,52168000000,62467000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,- -,- -,- -,- -,- -,55283430280,53731889280,35812612600,27534578310,28002332800,41675985910,55011000000,67506000000,54237000000,26862000000,28642000000,34730000000,32104000000,25519000000,24905000000,25666000000,25430000000,24004000000,24792000000,25149000000,17807000000,16599000000
13,Interest Expense (Gain),14526000000,15862000000,19338000000,22388000000,24905000000,48235916220,45096888750,28620548010,21697663780,22823819200,35679696290,48298000000,58857000000,42096000000,14494000000,13196000000,17433000000,16351000000,10767000000,10729000000,10085000000,10930000000,11715000000,11600000000,11399000000,6281000000,5445000000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,3329441980,4894628050,2847474360,3066543860,1774858080,1472476640,1557052950,1733879360,3054381680,1782000000,4255000000,3697000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
