,https://roic.ai/company/SFET,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,531000,715000,843000,1096000,1466000,3284000,4886000,10281000
2,COGS,503000,453000,512000,583000,791000,1889000,2499000,5145000
3,Gross Profit,28000,262000,331000,513000,675000,1395000,2387000,5136000
4,Gross Profit Ratio,0.0527,0.3664,0.3926,0.4681,0.4604,0.4248,0.4885,0.4996
5,Research and Development Exp.,742000,795000,1085000,1608000,2414000,2485000,2202000,4771000
6,General and Administrative Exp.,1594000,18130000,5801000,2150000,1925000,3757000,4197000,7013000
7,Selling and Marketing Exp.,157000,156000,353000,4051000,5542000,3783000,4215000,8348000
8,"Selling, General and Administrative Exp.",1751000,18286000,6154000,6201000,7467000,7540000,8412000,15361000
9,Other Expenses,394000,273000,440000,- -,- -,- -,- -,- -
10,Operating Expenses,2887000,19354000,7679000,7809000,9881000,10025000,10614000,20132000
11,COGS and Expenses,3390000,19807000,8191000,8392000,10672000,11914000,13113000,25277000
12,Interest Income ,- -,- -,2000,9000,10000,4000,14000,8000
13,Interest Expense (Gain),981000,312000,1854000,975000,- -,166000,152000,121000
14,Depreciation and Amortization,287000,284000,280000,278000,342000,1122000,1363000,1785000
15,EBITDA,-2424000,-17602000,-6786000,-4059000,-11405000,-11687000,-6576000,-12164000
16,EBITDA ratio,-4.5650,-24.6182,-8.0498,-3.7035,-7.7797,-3.5588,-1.3459,-1.1832
17,Operating Income,-2859000,-19092000,-7348000,-7296000,-9206000,-9791000,-11331000,-14996000
18,Operating Income ratio,-5.3842,-26.7021,-8.7165,-6.6569,-6.2797,-2.9814,-2.3191,-1.4586
19,Total Other Income Expenses (Gains),-833000,894000,-1572000,1984000,-2541000,-3184000,3240000,926000
20,Income Before Tax,-3692000,-18198000,-8920000,-5312000,-11747000,-12975000,-8091000,-14070000
21,Income Before Tax Ratio,-6.9529,-25.4517,-10.5813,-4.8467,-8.0130,-3.9510,-1.6560,-1.3685
22,Income Tax expense (Gain),- -,- -,2000,1000,6000,23000,-246000,-945000
23,Net Income,-3692000,-18198000,-8922000,-5313000,-11753000,-12998000,-7845000,-13125000
24,Net Income ratio,-6.9529,-25.4517,-10.5836,-4.8476,-8.0171,-3.9580,-1.6056,-1.2766
25,EPS,-704.00,-2204.22,-616.00,-232.00,-115.57,-7.78,-0.43,-0.48
26,EPS Diluted,-704.00,-2204.22,-616.00,-232.00,-115.57,-7.78,-0.43,-0.48
27,Weighted Average Shares Outstanding,5152,8256,14408,23041,101694,1671499,18152590,27106000
28,Weighted Average Shares Outstanding Diluted,5152,8256,14408,23041,101694,1671499,18152590,27106000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,62000,1311000,3514000,3717000,4341000,11017000,3828000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,5887000
33,Cash and Short-Term Investments,- -,62000,1311000,3514000,3717000,4341000,11017000,9715000
34,Net Receivables,- -,633000,251000,868000,1085000,1150000,1542000,2209000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,44000,44000,93000,104000,29000,- -,- -
37,Total Current Assets,- -,739000,1606000,4475000,4906000,5520000,12559000,11924000
38,PP&E,- -,60000,70000,165000,143000,707000,687000,570000
39,Goodwill,- -,523000,523000,523000,523000,6877000,5387000,10998000
40,Intangible Assets,- -,1266000,1015000,764000,796000,4607000,4201000,7013000
41,Intangible Assets,- -,1789000,1538000,1287000,1319000,11484000,9588000,18011000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,13000,- -,- -,126000,139000,149000
45,Total Non-Current Assets,- -,1849000,1621000,1452000,1462000,12317000,10414000,18730000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2588000,3227000,5927000,6368000,17837000,22973000,30654000
48,Accounts Payable,- -,90000,44000,178000,103000,237000,274000,1219000
49,Short-Term Debt,- -,319000,63000,- -,- -,7339000,298000,365000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,105000,151000,424000,495000,562000,441000,514000
52,Other Current Liabilities,- -,767000,696000,969000,1000000,5368000,3721000,3327000
53,Total Current Liabilities,- -,1281000,954000,1571000,1598000,13506000,4734000,5425000
54,Long-Term Debt,- -,- -,- -,- -,- -,324000,365000,197000
55,Deferred Revenue,- -,- -,55000,286000,249000,82000,41000,18000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,1040000,793000,645000
57,Other Non-Current Liabilities,- -,24000,1046000,929000,811000,108000,824000,182000
58,Total Non-Current Liabilities,- -,24000,1101000,1215000,1060000,1554000,2023000,1042000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,508000,663000,562000
61,Total Liabilities,- -,1305000,2055000,2786000,2658000,15060000,6757000,6467000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,6000,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,-23750000,-32672000,-37936000,-49689000,-62687000,-70532000,-83657000
