,https://roic.ai/company/SQFT,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,16473907,23978845,32452112,33374142,32344013,28641111,24351792,19231109
2,COGS,5749279,8515151,10135345,10723464,10886719,10410574,8818283,5397498
3,Gross Profit,10724628,15463694,22316767,22650678,21457294,18230537,15533509,13833611
4,Gross Profit Ratio,0.6510,0.6449,0.6877,0.6787,0.6634,0.6365,0.6379,0.7193
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,4578517,4672783,5065579,5200592,4532703,5268315,5751754,6225510
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4578517,4672783,5065579,5200592,4532703,5268315,5751754,6225510
9,Other Expenses,5383266,7784917,10256185,9710265,9101605,7364688,6274321,- -
10,Operating Expenses,9961783,12457700,15321764,14910857,13634308,12633003,12026075,6225510
11,COGS and Expenses,15711062,20972851,25457109,25634321,24521027,23043577,20844358,18414197
12,Interest Income ,85806,150008,85723,30287,55909,141306,- -,- -
13,Interest Expense (Gain),5595329,10774660,13531337,12954079,13041016,10649646,8833703,4542712
14,Depreciation and Amortization,6049385,7950563,10256185,9710265,9101605,7364688,6274321,5397498
15,EBITDA,8412534,15079222,18188897,19388609,26045482,18015391,7805003,5188300
16,EBITDA ratio,0.5107,0.6289,0.5605,0.5809,0.8053,0.6290,0.3205,0.2698
17,Operating Income,-187155,3005994,6995003,7739821,7822986,5597534,3507434,7608101
18,Operating Income ratio,-0.0114,0.1254,0.2155,0.2319,0.2419,0.1954,0.1440,0.3956
19,Total Other Income Expenses (Gains),141350,-9459824,-12352226,-10373220,-2851696,-4213337,-9397948,-12360011
20,Income Before Tax,-45805,-6453830,-5357223,-2633399,4971290,1384197,-5890514,-4751910
21,Income Before Tax Ratio,-0.0028,-0.2691,-0.1651,-0.0789,0.1537,0.0483,-0.2419,-0.2471
22,Income Tax expense (Gain),813503,172691,213860,208681,518567,611263,370884,47620
23,Net Income,-4045683,-3818692,-5812485,-3484416,3384294,-610206,-7673905,-4799530
24,Net Income ratio,-0.2456,-0.1593,-0.1791,-0.1044,0.1046,-0.0213,-0.3151,-0.2496
25,EPS,-0.24,-0.22,-0.34,-0.20,0.19,-0.03,-0.85,-0.53
26,EPS Diluted,-0.24,-0.22,-0.34,-0.20,0.19,-0.03,-0.85,-0.53
27,Weighted Average Shares Outstanding,16798232,17139479,17301129,17590778,17681358,17725914,9023914,9023914
28,Weighted Average Shares Outstanding Diluted,16798232,17139479,17301129,17590778,17866352,17914078,9023914,9023914
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1080657/000156459016015051/0001564590-16-015051-index.htm,https://www.sec.gov/Archives/edgar/data/1080657/000156459017006783/0001564590-17-006783-index.htm,https://www.sec.gov/Archives/edgar/data/1080657/000156459018006319/0001564590-18-006319-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1080657/000119312520167360/0001193125-20-167360-index.htm,https://www.sec.gov/Archives/edgar/data/1080657/000143774921007660/0001437749-21-007660-index.htm,https://www.sec.gov/Archives/edgar/data/1080657/000143774922007590/0001437749-22-007590-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,5636002,6626423,3116147,8310575,9776215,10391275,11540917,14702089
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,1514483
33,Cash and Short-Term Investments,5636002,6626423,3116147,8310575,9776215,10391275,11540917,16216572
34,Net Receivables,- -,- -,- -,- -,6045269,4333382,- -,401927
35,Inventory,29107675,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,9525355,11901098,6191739,1892066,5122701,41891587,42499176,- -
37,Total Current Assets,44269032,18527521,9307886,10202641,20944185,56616244,54040093,16618499
38,PP&E,169090028,231086179,240522209,222186540,- -,561375,- -,74643
39,Goodwill,2423000,2423000,2423000,2423000,2423000,2423000,2423000,2423000
40,Intangible Assets,617432,536533,455632,374733,9320267,5534228,4110139,82483
41,Intangible Assets,3040432,2959533,2878632,2797733,11743267,7957228,6533139,2505483
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,4225446,5359458,5290350,19309951,200362588,155649561,124995384,- -
45,Total Non-Current Assets,176355906,239405170,248691191,244294224,212105855,164168164,131528523,2580126
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,147158390
47,Total Assets,220624938,257932691,257999077,254496865,233050040,220784408,185568616,161196763
48,Accounts Payable,5185250,7458761,6066068,7142720,5751245,5673815,5126199,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,94664266,87399866
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2443729,3465224,3490914,3013993,4169751,2987601,-92115580,- -
53,Total Current Liabilities,7628979,10923985,9556982,10156713,9920996,8661416,7674885,87399866
54,Long-Term Debt,123899298,144690570,158886111,160322737,149714176,154631684,127529782,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,17560328,37154479,33806354,31975247,17273825,870120,241368,8314277
58,Total Non-Current Liabilities,141459626,181845049,192692465,192297984,166988001,155501804,127771150,8314277
