,https://roic.ai/company/UBER,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,3845000000,7932000000,11270000000,14147000000,11139000000,17455000000
2,COGS,2228000000,4160000000,5623000000,9510000000,5154000000,9351000000
3,Gross Profit,1617000000,3772000000,5647000000,4637000000,5985000000,8104000000
4,Gross Profit Ratio,0.4205,0.4755,0.5011,0.3278,0.5373,0.4643
5,Research and Development Exp.,864000000,1201000000,1505000000,4836000000,2205000000,2054000000
6,General and Administrative Exp.,981000000,2263000000,2082000000,3299000000,2666000000,2316000000
7,Selling and Marketing Exp.,1594000000,2524000000,3151000000,4626000000,3583000000,4789000000
8,"Selling, General and Administrative Exp.",2575000000,4787000000,5233000000,7925000000,6249000000,7105000000
9,Other Expenses,1201000000,1864000000,1942000000,2774000000,2394000000,2779000000
10,Operating Expenses,4640000000,7852000000,8680000000,15535000000,10848000000,11938000000
11,COGS and Expenses,6868000000,12012000000,14303000000,22299000000,16002000000,21289000000
12,Interest Income ,22000000,71000000,104000000,234000000,55000000,37000000
13,Interest Expense (Gain),334000000,479000000,648000000,559000000,458000000,483000000
14,Depreciation and Amortization,347000000,510000000,426000000,472000000,575000000,902000000
15,EBITDA,339000000,-3586000000,2354000000,-7430000000,-5927000000,397000000
16,EBITDA ratio,0.0882,-0.4521,0.2089,-0.5252,-0.5321,0.0227
17,Operating Income,-3023000000,-4080000000,-3033000000,-8596000000,-4863000000,-3834000000
18,Operating Income ratio,-0.7862,-0.5144,-0.2691,-0.6076,-0.4366,-0.2197
19,Total Other Income Expenses (Gains),-195000000,-495000000,4345000000,163000000,-2083000000,2809000000
20,Income Before Tax,-3218000000,-4575000000,1312000000,-8433000000,-6946000000,-1025000000
21,Income Before Tax Ratio,-0.8369,-0.5768,0.1164,-0.5961,-0.6236,-0.0587
22,Income Tax expense (Gain),28000000,-542000000,283000000,45000000,-192000000,-492000000
23,Net Income,-370000000,-4033000000,997000000,-8506000000,-6768000000,-496000000
24,Net Income ratio,-0.0962,-0.5084,0.0885,-0.6013,-0.6076,-0.0284
