,https://roic.ai/company/HEAR,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,743344,607106,607037,79167,233649,562902,186176000,162747000,173978000,149135000,287437000,234663000,360093000,366354000
2,COGS,811845,638763,505576,35524,120142,292329,135509000,122056000,131368000,98132000,178738000,155950000,226305000,237971000
3,Gross Profit,-68501,-31657,101461,43643,113507,270573,50667000,40691000,42610000,51003000,108699000,78713000,133788000,128383000
4,Gross Profit Ratio,-0.0922,-0.0521,0.1671,0.5513,0.4858,0.4807,0.2721,0.2500,0.2449,0.3420,0.3782,0.3354,0.3715,0.3504
5,Research and Development Exp.,740582,114798,229400,619378,1340054,2056364,9400000,11556000,8259000,5587000,5611000,7856000,12265000,17490000
6,General and Administrative Exp.,- -,- -,446857,572325,3247698,4602344,17159000,21484000,19580000,15700000,16658000,21796000,25577000,31579000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,33442000,31829000,28572000,24385000,32389000,38634000,46779000,58883000
8,"Selling, General and Administrative Exp.",- -,- -,446857,572325,3247698,4602344,50601000,53313000,48152000,40085000,49047000,60430000,72356000,90462000
9,Other Expenses,1340649,839971,- -,- -,- -,1280273,3744000,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,2081231,954769,676257,1191703,4587752,7938981,63745000,64869000,56411000,45672000,54658000,68286000,84621000,107952000
11,COGS and Expenses,2893076,1593532,1181833,1227227,4707894,8231310,199254000,186925000,187779000,143804000,233396000,224236000,310926000,345923000
12,Interest Income ,- -,- -,- -,- -,15027,8508,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,308499,- -,4559,7209000,5099000,7447000,7916000,5335000,929000,467000,383000
14,Depreciation and Amortization,113215,69620,71993,62957,180900,256670,6866000,7916000,9194000,4422000,4257000,5198000,5248000,5313000
15,EBITDA,-2036517,-916806,-851204,-1113002,-4281282,-7409195,-7683000,-67499000,-70928000,9683000,50519000,17834000,58172000,25845000
