,https://roic.ai/company/CNFN,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,9526,199214,1030000,3800000,3870000,1460000,2360000,5800000,9650000,16460030,21396950,23753450,24104620,- -,864920,- -
2,COGS,- -,- -,- -,- -,2360000,250000,260000,1070000,2060000,4111760,6494340,8230420,9066900,- -,864830,- -
3,Gross Profit,- -,199214,- -,- -,1510000,1210000,2100000,4730000,7590000,12348270,14902610,15523030,15037720,- -,90,- -
4,Gross Profit Ratio,- -,1.0000,- -,- -,0.3902,0.8288,0.8898,0.8155,0.7865,0.7502,0.6965,0.6535,0.6239,- -,0.0001,- -
5,Research and Development Exp.,- -,- -,- -,- -,10000,420000,500000,930000,1430000,2485490,4629420,4023880,4414110,- -,1263808,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,2520631,6224070,8998512,8343849,7349754,8298748,- -,-3507
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,3829175,6170653,7360397,3606875,4378588,4301712,- -,- -
8,"Selling, General and Administrative Exp.",- -,2563348,4047516,8754657,5767368,2459831,3310883,3583869,6349806,12394723,16358909,11950724,11728342,12600460,2244304,1199410
9,Other Expenses,- -,- -,- -,- -,-10000,-1102,17667,3034,-4785,657361,-1,-1,2,4165586,-1263808,-1202917
10,Operating Expenses,- -,2563348,4047516,8754657,5767368,2878729,3828550,4516903,7775021,15537574,20988328,15974603,16142454,16766046,2244304,-3507
11,COGS and Expenses,- -,2563348,4050000,8760000,5770000,2650000,3220000,5420000,9840000,19681560,27482670,26405020,25315380,1291870,6876680,-3507
12,Interest Income ,- -,- -,18253,- -,- -,- -,- -,1729,14745,18185,88561,20833,748,- -,131,19
13,Interest Expense (Gain),- -,521,20000,-30000,-120000,-130000,-320000,-170000,-30000,20482,207798,-1200010,-1214480,120,13993,- -
14,Depreciation and Amortization,- -,58635,199395,412619,313526,202582,20342,35804,110000,1321610,1338667,761276,707081,604258,38191,1809
15,EBITDA,2555,-2305499,-2780605,-4607381,-1816474,-687418,-1479658,355804,170000,-1911168,-4717575,-4290314,-2931889,-687610,8497557,5316
16,EBITDA ratio,0.2682,-11.5730,-2.6996,-1.2125,-0.4694,-0.4708,-0.6270,0.0613,0.0176,-0.1161,-0.2205,-0.1806,-0.1216,-Infinity,9.8247,Infinity
17,Operating Income,- -,-2364134,-3017007,-4959294,-1893791,-627502,-878115,380937,-184637,-3221532,-6085715,-2651577,-1104726,-8837015,-6011761,-1229658
18,Operating Income ratio,- -,-11.8673,-2.9291,-1.3051,-0.4894,-0.4298,-0.3721,0.0657,-0.0191,-0.1957,-0.2844,-0.1116,-0.0458,-Infinity,-6.9507,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,17007,-30706,-116209,-702498,-291885,-160937,-25363,-31728,-178325,-1200003,-1319764,7545255,-13859,1149236
20,Income Before Tax,- -,- -,-3000000,-4990000,-2010000,-1330000,-1170000,220000,-210000,-3253260,-6264040,-3851580,-2424490,-1291760,-6025620,-80422
21,Income Before Tax Ratio,- -,- -,-2.9126,-1.3132,-0.5194,-0.9110,-0.4958,0.0379,-0.0218,-0.1976,-0.2928,-0.1621,-0.1006,-Infinity,-6.9667,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79823,- -
23,Net Income,2555,-2364655,-3000000,-4990000,-2010000,-760000,-1180000,490000,90000,-3253260,-6264040,-3851580,-2424490,-11417440,8365550,-80422
24,Net Income ratio,0.2682,-11.8699,-2.9126,-1.3132,-0.5194,-0.5205,-0.5000,0.0845,0.0093,-0.1976,-0.2928,-0.1621,-0.1006,-Infinity,9.6721,-Infinity
25,EPS,0.00,-1.95,-2.40,-3.15,-1.35,-0.60,-0.60,0.15,0.00,-0.75,-1.50,-0.90,-0.60,-2.55,1.50,-0.30
26,EPS Diluted,0.00,-1.95,-2.40,-3.15,-1.35,-0.60,-0.60,0.15,0.00,-0.75,-1.50,-0.90,-0.60,-2.55,1.50,-0.30
27,Weighted Average Shares Outstanding,1249936,1249936,1408296,1681379,1847503,2100159,2491763,3495966,3801504,4056333,4243997,4341965,4340021,4404024,5599040,6784061
28,Weighted Average Shares Outstanding Diluted,1249936,1249936,1408296,1681379,1847503,2100159,2491763,3964510,4898385,4056333,4243997,4341965,4340021,4404024,5599040,6784061
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1352952/000143774909000316/0001437749-09-000316-index.html,https://www.sec.gov/Archives/edgar/data/1352952/000143774910000805/0001437749-10-000805-index.html,- -,https://www.sec.gov/Archives/edgar/data/1352952/000143774912003000/0001437749-12-003000-index.html,https://www.sec.gov/Archives/edgar/data/1352952/000143774913002417/0001437749-13-002417-index.html,https://www.sec.gov/Archives/edgar/data/1352952/000143774914011539/0001437749-14-011539-index.htm,https://www.sec.gov/Archives/edgar/data/1352952/000143774915005451/0001437749-15-005451-index.htm,https://www.sec.gov/Archives/edgar/data/1352952/000143774916027968/0001437749-16-027968-index.html,https://www.sec.gov/Archives/edgar/data/1352952/000143774917005089/0001437749-17-005089-index.html,https://www.sec.gov/Archives/edgar/data/1352952/000143774918005587/0001437749-18-005587-index.html,https://www.sec.gov/Archives/edgar/data/1352952/000143774919007308/0001437749-19-007308-index.htm,https://www.sec.gov/Archives/edgar/data/1352952/000143774920013150/0001437749-20-013150-index.htm,https://www.sec.gov/Archives/edgar/data/1352952/000109690621000648/0001096906-21-000648-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,414270,951317,252921,128167,91603,104750,231926,1157315,1130667,908095,1680127,166883,27295,107727,160115
32,Short-Term Investments,- -,- -,- -,20411,20548,21114,120,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,414270,951317,273332,148715,112717,104870,231926,1157315,1130667,908095,1680127,166883,27295,107727,160115
34,Net Receivables,- -,11623,50499,177752,154928,238542,423045,673818,1041671,1749566,1833007,2229610,2692636,2081551,72649,9000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39017
36,Other Current Assets,- -,2575,248253,86254,59872,12601,54582,42783,85026,204268,239921,448187,598343,304760,4136,34500
37,Total Current Assets,- -,428468,1250069,537338,363515,363860,582497,948527,2284012,3084501,2981023,4357924,3457862,2413606,184512,242632
38,PP&E,- -,- -,21380,17527,6890,17434,57689,52297,756696,1424858,1956864,2933126,69405,52035,3020,7845
39,Goodwill,- -,- -,580547,685547,64000,38000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,82911,226483,140075,73041,3911,- -,- -,962963,296296,- -,- -,3925523,- -,- -,- -
41,Intangible Assets,- -,82911,807030,825622,137041,41911,- -,- -,962963,296296,- -,- -,3925523,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,45817,24584,3351,88000,- -,170738,161441,102574,123124,108211,- -,-200000
45,Total Non-Current Assets,- -,82911,828410,843149,189748,83929,61040,140297,1719659,1891892,2118305,3035700,4118052,160246,3020,7845
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,511379,2078479,1380487,553263,447789,643537,1088824,4003671,4976393,5099328,7393624,7575914,2573852,187532,250477
48,Accounts Payable,- -,249430,214578,442565,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,946846
49,Short-Term Debt,- -,- -,- -,- -,- -,531667,416509,299325,- -,- -,4635000,2545813,4280006,3399240,- -,188249
