,https://roic.ai/company/WBT,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,1486200000,1541800000,1581300000,1570100000,1456600000,1445400000,1590100000,1593900000,1153000000,1546900000
2,COGS,997600000,1030900000,1073300000,1068400000,923800000,908500000,1020900000,1027000000,743000000,987300000
3,Gross Profit,488600000,510900000,508000000,501700000,532800000,536900000,569200000,566900000,410000000,559600000
4,Gross Profit Ratio,0.3288,0.3314,0.3213,0.3195,0.3658,0.3715,0.3580,0.3557,0.3556,0.3618
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,291600000,290100000,278200000,309700000,348800000,285000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",278500000,289700000,299600000,291600000,290100000,278200000,309700000,344200000,285300000,337600000
9,Other Expenses,33100000,30600000,32200000,32300000,31200000,31200000,37000000,43300000,-300000,39400000
10,Operating Expenses,311600000,320300000,331800000,323900000,321300000,309400000,346700000,387500000,285000000,377000000
11,COGS and Expenses,1309200000,1351200000,1405100000,1392300000,1245100000,1217900000,1367600000,1414500000,1028000000,1364300000
12,Interest Income ,3500000,17200000,15300000,15800000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,1000000,- -,1400000,85300000,86900000,89000000,92600000,81400000,74900000
14,Depreciation and Amortization,53600000,51400000,53000000,51000000,48500000,47900000,55000000,61100000,21000000,63100000
15,EBITDA,233100000,253800000,240200000,248800000,238600000,253600000,233000000,229400000,89400000,237200000
16,EBITDA ratio,0.1568,0.1646,0.1519,0.1585,0.1638,0.1755,0.1465,0.1439,0.0775,0.1533
17,Operating Income,174800000,187700000,172500000,159900000,199200000,219100000,216800000,173900000,63100000,181600000
18,Operating Income ratio,0.1176,0.1217,0.1091,0.1018,0.1368,0.1516,0.1363,0.1091,0.0547,0.1174
19,Total Other Income Expenses (Gains),4700000,16900000,14700000,36400000,-94400000,-100300000,-127800000,-98200000,-76100000,-82400000
20,Income Before Tax,179500000,204600000,187200000,196300000,104800000,118800000,89000000,75700000,-13000000,99200000
21,Income Before Tax Ratio,0.1208,0.1327,0.1184,0.1250,0.0719,0.0822,0.0560,0.0475,-0.0113,0.0641
22,Income Tax expense (Gain),47500000,55300000,25900000,39300000,25300000,-15200000,10800000,19800000,-6000000,28900000
23,Net Income,132000000,146100000,161300000,157100000,79500000,134000000,78200000,55900000,-7000000,70300000
24,Net Income ratio,0.0888,0.0948,0.1020,0.1001,0.0546,0.0927,0.0492,0.0351,-0.0061,0.0454
25,EPS,0.96,1.07,0.61,1.15,0.58,0.96,0.54,0.40,-0.05,0.49
26,EPS Diluted,0.96,1.07,0.61,1.15,0.57,0.95,0.53,0.39,-0.05,0.49
27,Weighted Average Shares Outstanding,136920805,136920805,136920805,136920805,137906284,138995541,140023635,140953496,141491326,142089570
28,Weighted Average Shares Outstanding Diluted,136920805,136920805,136920805,136920805,139714120,140707092,141388785,141567785,141491326,143134460
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1650962/000165096216000059/0001650962-16-000059-index.html,https://www.sec.gov/Archives/edgar/data/1650962/000165096217000014/0001650962-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1650962/000165096218000028/0001650962-18-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1650962/000165096219000054/0001650962-19-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1650962/000165096220000040/0001650962-20-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1650962/000165096221000039/0001650962-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1650962/000165096222000037/0001650962-22-000037-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,9600000,16500000,32000000,53800000,128400000,70400000,130700000,125000000,134200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,32000000,- -,- -,- -
33,Cash and Short-Term Investments,- -,9600000,16500000,32000000,53800000,128400000,102400000,130700000,125000000,134200000
34,Net Receivables,- -,73300000,71000000,63800000,81700000,83700000,112500000,183600000,165000000,220500000
35,Inventory,- -,143700000,163200000,145900000,145600000,152300000,190600000,186400000,180000000,294400000
36,Other Current Assets,- -,44800000,38800000,10900000,27100000,19300000,35000000,28200000,52000000,59000000
37,Total Current Assets,- -,271400000,289500000,252600000,308200000,383700000,440500000,528900000,522000000,708100000
38,PP&E,- -,140300000,134300000,116400000,109100000,112200000,119000000,167400000,129000000,179800000
39,Goodwill,- -,873500000,872800000,845800000,845300000,846100000,935600000,933100000,942000000,936300000
40,Intangible Assets,- -,623700000,584500000,519600000,484400000,461400000,546700000,507700000,469000000,420800000
41,Intangible Assets,- -,1497200000,1457300000,1365400000,1329700000,1307500000,1482300000,1440800000,1411000000,1357100000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,9300000,17200000,19600000,22100000,37000000,33200000,28200000,- -,32600000
45,Total Non-Current Assets,- -,1646800000,1608800000,1501400000,1460900000,1456700000,1634500000,1636400000,1540000000,1569500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1918200000,1898300000,1754000000,1769100000,1840400000,2075000000,2165300000,2062000000,2277600000
48,Accounts Payable,- -,143000000,161600000,121700000,108400000,103600000,151000000,104400000,86000000,130600000
49,Short-Term Debt,- -,2700000,500000,400000,1600000,700000,16100000,11200000,10700000,900000
50,Tax Payable,- -,3400000,5200000,7300000,2500000,6100000,10200000,11200000,5600000,- -
51,Deferred Revenue,- -,7000000,7700000,6700000,11800000,6800000,5800000,6200000,76000000,- -
52,Other Current Liabilities,- -,202700000,198800000,192500000,191300000,179000000,205800000,209500000,108300000,241600000
53,Total Current Liabilities,- -,355400000,368600000,321300000,313100000,290100000,378700000,331300000,281000000,373100000
54,Long-Term Debt,- -,- -,- -,- -,1278700000,1232200000,1333800000,1401300000,1000000,1423300000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,232700000,218000000,167900000,137800000,92300000,104300000,81900000,- -,64200000
57,Other Non-Current Liabilities,- -,61700000,60300000,56100000,83000000,115400000,71800000,97800000,1586000000,58600000
58,Total Non-Current Liabilities,- -,294400000,278300000,224000000,1499500000,1439900000,1509900000,1581000000,1587000000,1546100000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,4400000,4100000,2700000,1600000,700000,2800000,40400000,48600000,35300000
61,Total Liabilities,- -,649800000,646900000,545300000,1812600000,1730000000,1888600000,1912300000,1306000000,1919200000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,1400000,1400000,1400000,1400000,1000000,1400000
64,Retained Earnings,- -,- -,- -,- -,70500000,204500000,268400000,324500000,316000000,387000000
65,Other Comprehensive Income/Loss,- -,1200000,-20700000,-44500000,-43400000,-32000000,-41600000,-41500000,-19500000,-24600000
66,Other Total Stockholders Equity,- -,1556700000,1538600000,1253700000,-72000000,-63500000,-41800000,-31400000,-24500000,- -
67,Total Stockholders Equity,- -,1268400000,1251400000,1208700000,-43500000,110400000,186400000,253000000,273000000,358400000
68,Total Liabilities And Stockholders Equity,- -,1918200000,1898300000,1754000000,1769100000,1840400000,2075000000,2165300000,1579000000,2277600000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,483000000,- -
70,Total Liabilities & Equity,- -,1918200000,1898300000,1754000000,1769100000,1840400000,2075000000,2165300000,2062000000,2277600000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1650962/000165096216000059/0001650962-16-000059-index.html,https://www.sec.gov/Archives/edgar/data/1650962/000165096217000014/0001650962-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1650962/000165096218000028/0001650962-18-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1650962/000165096219000054/0001650962-19-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1650962/000165096220000040/0001650962-20-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1650962/000165096221000039/0001650962-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1650962/000165096222000037/0001650962-22-000037-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,132000000,146100000,161300000,157100000,79500000,134000000,78200000,55900000,-7000000,70300000
74,Depreciation and Amortization,53600000,51400000,53000000,51000000,48500000,47900000,55000000,61100000,21000000,63100000
75,Deferred Income Tax,-8200000,-9600000,-17500000,-30000000,-9900000,-63300000,-12400000,-19800000,-8000000,-8900000
76,Stock Based Compensation,- -,- -,- -,- -,6300000,11100000,7000000,7300000,4000000,15000000
77,Change in Working Capital,-21100000,- -,4900000,10400000,63800000,98500000,-31800000,135800000,43400000,-89100000
78,Accounts Receivable,10000000,-3200000,-300000,-7500000,-8300000,10800000,-590400000,-351400000,21000000,-57900000
79,Inventory,-3800000,-8800000,-23800000,4700000,-3600000,-1800000,-25500000,5000000,10000000,-116200000
80,Accounts Payable,9900000,17000000,21200000,-25600000,-11100000,-7900000,39300000,-46800000,-21600000,42900000
81,Other Working Capital,-84000000,-84000000,-79100000,-68700000,-4900000,93600000,61800000,197600000,241000000,- -
82,Other Non-Cash Items,8200000,14000000,-1500000,-45500000,-66200000,-90400000,-544500000,-510000000,-38400000,5700000
83,Cash Provided by Operating Activities,164500000,201900000,200200000,143000000,122000000,137800000,-448500000,-269700000,15000000,56100000
84,CAPEX,-17500000,-33600000,-25300000,-13200000,-16000000,-21900000,-24200000,-33900000,- -,-25900000
85,Acquisitions Net,- -,-11500000,- -,72900000,- -,- -,-215600000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-35000000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,10700000,32000000,- -,- -
88,Other Investing Activites,-17700000,-31400000,-25300000,-600000,-4400000,18500000,577600000,281800000,-4200000,-25900000
89,Cash Used for Investing Activites,-17700000,-42900000,-25300000,59100000,-20400000,-3400000,313500000,279900000,-24200000,-25900000
90,Debt Repayment,-400000,-2900000,-3400000,-700000,-186800000,-208100000,-398200000,-363400000,-218000000,-256200000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-1362000000,- -,- -,- -,- -,- -
94,Other Financing Activites,-150100000,-168100000,-163600000,-182400000,1469900000,156400000,500500000,410000000,216700000,234800000
95,Cash Used/Provided by Financing Activities,-150500000,-171000000,-167000000,-183100000,-78900000,-51700000,102300000,46600000,-1300000,-21400000
96,Effect of Forex Changes on Cash,1000000,-600000,-1000000,-3500000,-900000,-8100000,-2900000,700000,5200000,500000
97,Net Change In Cash,-2700000,-12600000,6900000,15500000,21800000,74600000,-35600000,57500000,-5000000,9300000
98,Cash at the End of Period,22200000,9600000,16500000,32000000,53800000,128400000,73200000,130700000,- -,134700000
99,Cash at the Beginning of Period,24900000,22200000,9600000,16500000,32000000,53800000,108800000,73200000,- -,125400000
100,Free Cash Flow,147000000,168300000,174900000,129800000,106000000,115900000,-472700000,-303600000,15000000,30200000
