,https://roic.ai/company/RARE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,133000,2612000,51495000,103714000,271030000,351406000
2,COGS,- -,- -,- -,- -,- -,- -,1000,1146000,9008000,6129000,16008000
3,Gross Profit,- -,- -,- -,- -,- -,- -,2611000,50349000,94706000,264901000,335398000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,0.9996,0.9777,0.9131,0.9774,0.9544
5,Research and Development Exp.,4717000,12641000,27829000,45967000,114737000,183204000,231644000,293998000,357355000,412084000,497153000
6,General and Administrative Exp.,1844000,3344000,4451000,10811000,33001000,64936000,99909000,127724000,161524000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1844000,3344000,4451000,10811000,33001000,64936000,99909000,127724000,161524000,182933000,219982000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,6561000,15985000,32280000,56778000,147738000,248140000,331553000,421722000,518879000,595017000,717135000
11,COGS and Expenses,6561000,15985000,32280000,56778000,147738000,248140000,331554000,422868000,527887000,601146000,733143000
12,Interest Income ,4000,1000,216000,608000,2320000,3789000,4074000,9542000,13238000,7038000,1928000
13,Interest Expense (Gain),270000,- -,- -,- -,- -,- -,- -,- -,1135000,33291000,29422000
14,Depreciation and Amortization,34000,313000,444000,684000,1384000,3424000,5825000,19538000,8539000,12261000,13239000
15,EBITDA,-6545000,-16021000,-34626000,-56094000,-146354000,-242415000,-312513000,-177559000,-389770000,-139807000,-410320000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1822.6692,-119.6451,-3.4481,-3.7581,-0.5158,-1.1677
17,Operating Income,-6561000,-15985000,-32280000,-56778000,-147738000,-248007000,-328942000,-371373000,-424173000,-330116000,-381737000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1864.7143,-125.9349,-7.2118,-4.0898,-1.2180,-1.0863
19,Total Other Income Expenses (Gains),-288000,-349000,-2790000,-3024000,2120000,2168000,10604000,174276000,24729000,144757000,-71244000
20,Income Before Tax,-6849000,-16334000,-35070000,-59802000,-145618000,-245839000,-318338000,-197097000,-399444000,-185359000,-452981000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1848.4135,-121.8752,-3.8275,-3.8514,-0.6839,-1.2891
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,35000,-16199000,514000,3283000,1207000,1044000
23,Net Income,-6849000,-16334000,-35070000,-59802000,-145618000,-245874000,-302139000,-197611000,-402727000,-186566000,-454025000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1848.6767,-115.6734,-3.8375,-3.8831,-0.6884,-1.2920
25,EPS,-4.62,-2.04,-14.87,-2.25,-3.96,-6.21,-7.12,-3.97,-7.12,-3.07,-6.70
26,EPS Diluted,-4.62,-2.04,-14.87,-2.25,-3.96,-6.21,-7.12,-3.97,-7.12,-3.07,-6.70
27,Weighted Average Shares Outstanding,1617383,9935836,3382489,28755758,36782603,39586908,42453135,49775223,56576885,60845550,67795540
28,Weighted Average Shares Outstanding Diluted,1617383,9935836,3382489,28755758,36782603,39586908,42453135,49775223,56576885,60845550,67795540
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1515673/000156459014000963/0001564590-14-000963-index.htm,https://www.sec.gov/Archives/edgar/data/1515673/000156459015002066/0001564590-15-002066-index.htm,https://www.sec.gov/Archives/edgar/data/1515673/000156459016013430/0001564590-16-013430-index.htm,https://www.sec.gov/Archives/edgar/data/1515673/000156459017001714/0001564590-17-001714-index.htm,https://www.sec.gov/Archives/edgar/data/1515673/000156459018002535/0001564590-18-002535-index.htm,https://www.sec.gov/Archives/edgar/data/1515673/000156459019003324/0001564590-19-003324-index.htm,https://www.sec.gov/Archives/edgar/data/1515673/000156459020004667/0001564590-20-004667-index.htm,https://www.sec.gov/Archives/edgar/data/1515673/000156459021005610/0001564590-21-005610-index.htm,https://www.sec.gov/Archives/edgar/data/1515673/000095017022001284/0000950170-22-001284-index.htm
