,https://roic.ai/company/SQNS,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,22744000,19556000,68544000,93714000,22254000,13712000,22602000,32532000,45579000,48263000,40250000,30864000,50916000,50879000
2,COGS,7690000,8193000,33612000,46414000,11957000,8821000,15781000,19451000,25596000,27122000,24362000,18485000,27466000,23690000
3,Gross Profit,15054000,11363000,34932000,47300000,10297000,4891000,6821000,13081000,19983000,21141000,15888000,12379000,23450000,27189000
4,Gross Profit Ratio,0.6619,0.5810,0.5096,0.5047,0.4627,0.3567,0.3018,0.4021,0.4384,0.4380,0.3947,0.4011,0.4606,0.5344
5,Research and Development Exp.,12030000,13857000,18024000,24935000,28408000,28357000,28634000,25305000,26334000,25202000,27909000,23799000,29360000,26414000
6,General and Administrative Exp.,3546000,3410000,3980000,8327000,8096000,7528000,6969000,5428000,6267000,6679000,10085000,8570000,9369000,10045000
7,Selling and Marketing Exp.,8277000,9242000,13620000,12963000,6562000,4449000,5278000,5985000,7126000,8785000,9411000,7968000,7912000,9049000
8,"Selling, General and Administrative Exp.",11823000,12652000,17600000,21290000,14658000,11977000,12247000,11413000,13393000,15464000,19496000,16538000,17281000,19094000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1495000,- -
10,Operating Expenses,23853000,26509000,35624000,46225000,43066000,40334000,40881000,36718000,39727000,40666000,47405000,40337000,48136000,45508000
11,COGS and Expenses,31543000,34702000,69236000,92639000,55023000,49155000,56662000,56169000,65323000,67788000,71767000,58822000,75602000,69198000
12,Interest Income ,333000,131000,311000,81000,241000,143000,125000,26000,48000,60000,71000,50000,26000,- -
13,Interest Expense (Gain),674000,912000,1190000,470000,104000,109000,145000,1542000,3734000,4672000,5447000,9643000,13873000,- -
14,Depreciation and Amortization,3277000,3645000,3914000,5902000,6200000,6336000,5300000,5275000,5295000,5575000,6163000,8405000,9773000,10572000
15,EBITDA,-4255000,-12254000,2562000,6314000,-26486000,-28999000,-28517000,-20268000,-15474000,-15613000,-25582000,-19432000,-29894000,-9079000
16,EBITDA ratio,-0.1871,-0.6266,0.0374,0.0674,-1.1902,-2.1149,-1.2617,-0.6230,-0.3395,-0.3235,-0.6356,-0.6296,-0.5871,-0.1784
17,Operating Income,-8799000,-15146000,-692000,1075000,-32769000,-35443000,-34060000,-23637000,-19744000,-19525000,-31517000,-27958000,-24686000,-18319000
18,Operating Income ratio,-0.3869,-0.7745,-0.0101,0.0115,-1.4725,-2.5848,-1.5069,-0.7266,-0.4332,-0.4046,-0.7830,-0.9058,-0.4848,-0.3601
19,Total Other Income Expenses (Gains),593000,-1665000,-1850000,-1133000,-21000,-1000,98000,-3448000,-4759000,-6335000,-5675000,-9522000,-28854000,-1332000
20,Income Before Tax,-8206000,-16811000,-2542000,-58000,-32790000,-35444000,-33962000,-27085000,-24503000,-25860000,-37192000,-37480000,-53540000,-19651000
21,Income Before Tax Ratio,-0.3608,-0.8596,-0.0371,-0.0006,-1.4734,-2.5849,-1.5026,-0.8326,-0.5376,-0.5358,-0.9240,-1.2144,-1.0515,-0.3862
22,Income Tax expense (Gain),70000,61000,150000,371000,234000,142000,162000,317000,284000,300000,-968000,-783000,936000,625000
23,Net Income,-8276000,-16872000,-2692000,-429000,-33024000,-35586000,-34124000,-27402000,-24787000,-26160000,-36224000,-36697000,-54476000,-20276000
24,Net Income ratio,-0.3639,-0.8628,-0.0393,-0.0046,-1.4840,-2.5952,-1.5098,-0.8423,-0.5438,-0.5420,-0.9000,-1.1890,-1.0699,-0.3985
25,EPS,-0.96,-2.43,-0.31,-0.04,-3.80,-3.12,-2.32,-1.84,-1.56,-1.36,-1.56,-1.52,-1.94,-0.72
26,EPS Diluted,-0.96,-2.43,-0.31,-0.04,-3.80,-3.12,-2.32,-1.84,-1.56,-1.36,-1.56,-1.52,-1.94,-0.72
27,Weighted Average Shares Outstanding,8630407,6930800,8630407,8152670,8670057,11364092,14785429,14786226,15951360,19417101,23441751,23752130,28108247,28108247
28,Weighted Average Shares Outstanding Diluted,8630407,7291184,8630407,8152670,8670057,11364092,14785429,14786226,15951360,19417101,23441751,23752130,28108247,28108247
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1383395/000119312512143524/0001193125-12-143524-index.html,https://www.sec.gov/Archives/edgar/data/1383395/000119312513133726/0001193125-13-133726-index.html,https://www.sec.gov/Archives/edgar/data/1383395/000119312514122528/d699038d20f.htm,https://www.sec.gov/Archives/edgar/data/1383395/000119312515139015/d912528d20f.htm,https://www.sec.gov/Archives/edgar/data/1383395/000119312516569245/d142066d20f.htm,https://www.sec.gov/Archives/edgar/data/1383395/000138339517000003/0001383395-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1383395/000138339518000015/sequanscommunications-form.htm,https://www.sec.gov/Archives/edgar/data/1383395/000138339519000028/sequanscommunications-form.htm,https://www.sec.gov/Archives/edgar/data/1383395/000138339520000011/0001383395-20-000011-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,15849000,7792000,9739000,57220000,28751000,37244000,12329000,8288000,20202000,2948000,12086000,14098000,7574000,4835000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,160000,393000,345000,347000,- -,- -,- -,- -
33,Cash and Short-Term Investments,15849000,7792000,9739000,57220000,28751000,37244000,12489000,8681000,20547000,3295000,12086000,14098000,7574000,4835000
34,Net Receivables,8639000,10354000,17525000,14804000,10271000,14000000,11639000,19903000,17657000,24862000,19597000,13707000,26310000,27526000
35,Inventory,2041000,1937000,8768000,11660000,7443000,6582000,9199000,4065000,8693000,7376000,8243000,6664000,6225000,6433000
36,Other Current Assets,1114000,1836000,3333000,2571000,3074000,2832000,2988000,3170000,3172000,4214000,3237000,2556000,11862000,2108000
37,Total Current Assets,27643000,21919000,39365000,86255000,49539000,60658000,36315000,35819000,50069000,39747000,43163000,37025000,51971000,40902000
38,PP&E,4225000,4448000,5291000,9334000,9187000,6622000,8743000,7116000,6659000,6992000,6271000,8858000,9187000,7862000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,2031000,1585000,3144000,4233000,4184000,4679000,3440000,5255000,7707000,9562000,12409000,16696000,25312000,- -
41,Intangible Assets,2031000,1585000,3144000,4233000,4184000,4679000,3440000,5255000,7707000,9562000,12409000,16696000,25312000,38132000
42,Investments,443000,463000,432000,677000,931000,1098000,597000,321000,310000,353000,337000,335000,386000,357000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,249000,398000,1485000,531000,4561000,471000,320000,345000,332000,402000,394000,401000,466000,2311000
45,Total Non-Current Assets,6948000,6894000,10352000,14775000,18863000,12870000,13100000,13037000,15008000,17309000,19411000,26290000,35351000,48662000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,34591000,28813000,49717000,101030000,68402000,73528000,49415000,48856000,65077000,57056000,62574000,63315000,87322000,89564000
48,Accounts Payable,3413000,3384000,15508000,8580000,6038000,7252000,11231000,9498000,18358000,13023000,9412000,8834000,15701000,13916000
49,Short-Term Debt,- -,- -,- -,- -,515000,435000,2133000,12563000,7923000,8912000,11748000,17629000,24199000,10765000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,2059000,2444000,2248000,1586000,1124000,778000,917000,4078000,725000,833000,1031000,6161000,13235000,16899000
52,Other Current Liabilities,3048000,8354000,9800000,5921000,4277000,4793000,4767000,4933000,4461000,5170000,5006000,5440000,9490000,9656000
53,Total Current Liabilities,8520000,14182000,27556000,16087000,11954000,13258000,19048000,31072000,31467000,27938000,27197000,38064000,62625000,51236000
54,Long-Term Debt,10138000,12461000,624000,- -,287000,604000,3653000,13782000,21285000,21743000,37122000,36053000,39449000,39746000
55,Deferred Revenue,382000,500000,654000,385000,287000,604000,360000,587000,2137000,1643000,894000,510000,2473000,9568000
56,Deferred Tax Liabilities,- -,- -,- -,55000,85000,37000,2000,10000,22000,52000,691000,429000,19000,138000
57,Other Non-Current Liabilities,741000,777000,184000,259000,318000,96000,1237000,4653000,1306000,1532000,1689000,17820000,19882000,13182000
58,Total Non-Current Liabilities,11261000,13738000,1462000,699000,977000,1341000,5252000,19032000,24750000,24970000,40396000,54812000,61823000,62634000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,112000,- -,- -,- -,365000,501000,211000,12000,- -,- -,- -,15676000,5776000,4620000
61,Total Liabilities,19781000,27920000,29018000,16786000,12931000,14599000,24300000,50104000,56217000,52908000,67593000,92876000,124448000,113870000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,590000,606000,710000,912000,912000,1567000,1568000,1568000,1923000,2031000,2384000,2403000,3269000,3687000
64,Retained Earnings,-34698000,-51570000,-54262000,-54691000,-87715000,-123239000,-157363000,-184766000,-209553000,-235712000,-272036000,-308733000,-363209000,-383485000
65,Other Comprehensive Income/Loss,-3023000,-4262000,-6860000,-10151000,-14139000,-18519000,-20392000,-23715000,-25543000,-23924000,-26617000,-30653000,46254000,57198000
66,Other Total Stockholders Equity,51941000,56119000,81111000,148174000,156413000,199120000,201302000,205665000,242033000,261753000,291250000,307422000,276560000,298294000
67,Total Stockholders Equity,14810000,893000,20699000,84244000,55471000,58929000,25115000,-1248000,8860000,4148000,-5019000,-29561000,-37126000,-24306000
68,Total Liabilities And Stockholders Equity,34591000,28813000,49717000,101030000,68402000,73528000,49415000,48856000,65077000,57056000,62574000,63315000,87322000,89564000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,34591000,28813000,49717000,101030000,68402000,73528000,49415000,48856000,65077000,57056000,62574000,63315000,87322000,89564000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1383395/000119312512143524/0001193125-12-143524-index.html,https://www.sec.gov/Archives/edgar/data/1383395/000119312513133726/0001193125-13-133726-index.html,https://www.sec.gov/Archives/edgar/data/1383395/000119312514122528/d699038d20f.htm,https://www.sec.gov/Archives/edgar/data/1383395/000119312515139015/d912528d20f.htm,https://www.sec.gov/Archives/edgar/data/1383395/000119312516569245/d142066d20f.htm,https://www.sec.gov/Archives/edgar/data/1383395/000138339517000003/0001383395-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1383395/000138339518000015/sequanscommunications-form.htm,https://www.sec.gov/Archives/edgar/data/1383395/000138339519000028/sequanscommunications-form.htm,https://www.sec.gov/Archives/edgar/data/1383395/000138339520000011/0001383395-20-000011-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-8276000,-16872000,-2692000,-429000,-33024000,-35586000,-34124000,-27402000,-24787000,-26160000,-36224000,-36697000,-54476000,-20276000
74,Depreciation and Amortization,3277000,3645000,3914000,5902000,6200000,6336000,5300000,5275000,5295000,5575000,6163000,8405000,9773000,10572000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,933000,1175000,1131000,4174000,3189000,2165000,1276000,867000,1122000,1638000,1812000,1797000,2985000,5135000
77,Change in Working Capital,-4131000,-1203000,-1925000,-7680000,266000,2720000,2906000,1340000,-2373000,-15306000,-1313000,23314000,-7393000,-6261000
78,Accounts Receivable,-2268000,-2252000,-9256000,5144000,3925000,462000,-1619000,-9091000,705000,-7084000,4003000,6546000,-8703000,1421000
79,Inventory,-1318000,104000,-7212000,-2870000,4217000,861000,-2617000,5134000,-4628000,1317000,-867000,1579000,439000,-208000
