,https://roic.ai/company/EDIT,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,1629000,6053000,13728000,31937000,20531000,90732000,25544000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,1629000,- -,- -,- -,- -,90732,- -
4,Gross Profit Ratio,- -,- -,1.0000,- -,- -,- -,- -,0.0010,- -
5,Research and Development Exp.,- -,5073000,18846000,56979000,83159000,90654000,96898000,157996000,142507000
6,General and Administrative Exp.,- -,7650000,18095000,46262000,50502000,55010000,64555000,67576000,76183000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,7650000,18095000,46262000,50502000,55010000,64555000,67576000,76183000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,12723000,36941000,103241000,133661000,145664000,161453000,225572000,218690000
11,COGS and Expenses,- -,12723000,36941000,103241000,133661000,145664000,161453000,225572000,218690000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,2605000,2342000
13,Interest Expense (Gain),- -,34000,143000,-62000,978000,-3445000,-7313000,- -,- -
14,Depreciation and Amortization,- -,157000,471000,1202000,2683000,3254000,2830000,3959000,5053000
15,EBITDA,- -,-13494000,-72680000,-96090000,-116663000,-110145000,-138229000,-112017000,-187449000
16,EBITDA ratio,- -,-Infinity,-44.6163,-15.8748,-8.4982,-3.4488,-6.7327,-1.2346,-7.3383
17,Operating Income,- -,-12723000,-35312000,-97188000,-119933000,-113727000,-140922000,-134840000,-193146000
18,Operating Income ratio,- -,-Infinity,-21.6771,-16.0562,-8.7364,-3.5610,-6.8639,-1.4861,-7.5613
19,Total Other Income Expenses (Gains),- -,-962000,-37588000,5000,-391000,3773000,7176000,18864000,644000
20,Income Before Tax,- -,-13685000,-72900000,-97183000,-120324000,-109954000,-133746000,-115976000,-192502000
21,Income Before Tax Ratio,- -,-Infinity,-44.7514,-16.0553,-8.7649,-3.4428,-6.5143,-1.2782,-7.5361
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-13994000,-73294000,-97230000,-120324000,-109954000,-133746000,-115976000,-192502000
24,Net Income ratio,- -,-Infinity,-44.9932,-16.0631,-8.7649,-3.4428,-6.5143,-1.2782,-7.5361
25,EPS,- -,-3.16,-2.05,-3.02,-2.98,-2.33,-2.68,-1.98,-2.85
26,EPS Diluted,- -,-3.16,-2.05,-3.02,-2.98,-2.33,-2.68,-1.98,-2.85
27,Weighted Average Shares Outstanding,- -,4038660,35699538,32219717,40323631,47097735,49983329,58609389,67619388
28,Weighted Average Shares Outstanding Diluted,- -,4038660,35699538,32219717,40323631,47097735,49983329,58609389,67619388
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1650664/000155837016004455/0001558370-16-004455-index.htm,https://www.sec.gov/Archives/edgar/data/1650664/000155837017001340/0001558370-17-001340-index.htm,https://www.sec.gov/Archives/edgar/data/1650664/000155837018001721/0001558370-18-001721-index.htm,https://www.sec.gov/Archives/edgar/data/1650664/000155837019001364/0001558370-19-001364-index.htm,https://www.sec.gov/Archives/edgar/data/1650664/000155837020001476/0001558370-20-001476-index.htm,https://www.sec.gov/Archives/edgar/data/1650664/000155837021001915/0001558370-21-001915-index.htm,https://www.sec.gov/Archives/edgar/data/1650664/000155837022001950/0001558370-22-001950-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,2012000,10623000,143180000,185323000,146630000,134776000,238183000,139682000,203519000
32,Short-Term Investments,- -,- -,- -,- -,182509000,234179000,218957000,262428000,296326000
33,Cash and Short-Term Investments,2012000,10623000,143180000,185323000,329139000,368955000,457140000,402110000,499845000
34,Net Receivables,- -,- -,1019000,88000,679000,30000,418000,6048000,267000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,77000,93000,786000,1772000,2381000,5791000,6286000,10929000,7198000
