,https://roic.ai/company/PRSI,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4005719,2629563,5152330,2021353,3403703,6844000,405000,1931000,33185000,37778000,32821000,32680000,36282000,42462000,46565000,50963000,56811000,58566000,54334000,57099000,59881000,42839000,14668000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27331000,27223000,29299000,33465000,38635000,48764000,47016000,47246000,41031000,- -,44466000,37333000,17911000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5490000,5457000,6983000,8997000,7930000,2199000,9795000,11320000,13303000,- -,15415000,5506000,-3243000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1673,0.1670,0.1925,0.2119,0.1703,0.0431,0.1724,0.1933,0.2448,- -,0.2574,0.1285,-0.2211
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,504026,256934,458575,543052,498743,472000,441000,566000,- -,649000,581000,606000,572000,595000,642000,651000,641000,712000,635000,- -,766000,747000,796000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",504026,256934,458575,543052,498743,472000,441000,566000,- -,649000,581000,606000,572000,595000,642000,651000,641000,712000,635000,- -,766000,747000,796000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,-34057000,1605000,5141000,4747000,3467000,2163000,2257000,2375000,2705000,2855000,2860000,38000000,2309000,2192000,2079000
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,-34057000,2254000,5722000,5353000,4039000,2758000,2899000,3026000,3346000,3567000,3495000,38000000,3075000,2939000,2875000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,-3916000,-4275000,-34057000,2254000,33053000,32576000,33338000,36223000,41534000,51790000,50362000,50813000,44526000,- -,47541000,40272000,20786000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,91000,105000,162000,486000,385000,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,3135000,3079000,3194000,3077000,2956000,2843000,5557000,8093000,7911000,7906000,7998000,7813000,7456000,7423000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,4172000,4463000,4457000,4747000,3467000,2163000,2257000,2375000,2705000,2855000,2944000,2274000,2071000,1997000,1847000
15,EBITDA,3430994,2249652,4311942,-3075589,2370424,5551000,-4302000,-3307000,1648000,4379000,5724000,5040000,11160000,5352000,5654000,-3045000,7902000,3237000,11291000,19903000,13439000,4586000,1896000
16,EBITDA ratio,0.8565,0.8555,0.8369,-1.5215,0.6964,0.8111,-10.6222,-1.7126,0.0497,0.1159,0.1744,0.1542,0.3076,0.1260,0.1214,-0.0597,0.1391,0.0553,0.2078,0.3486,0.2244,0.1071,0.1293
17,Operating Income,4005719,2629563,5152330,2021353,3403703,6844000,4321000,6206000,67242000,32666000,-232000,104000,2944000,6239000,5031000,-827000,6449000,2357000,9808000,19349000,12340000,2567000,-6118000
18,Operating Income ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,10.6691,3.2139,2.0263,0.8647,-0.0071,0.0032,0.0811,0.1469,0.1080,-0.0162,0.1135,0.0402,0.1805,0.3389,0.2061,0.0599,-0.4171
