,https://roic.ai/company/CCU,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,287057680434,290404449722,316542647050,343561796341,345890492266,384064208599,419002225574,492300207214,546087856192,628284364912,781789468000,776544195000,838258327000,969550671000,1075689894000,1197226510000,1297966299000,1498371715000,1558897708000,1698360794000,1783282337000,1822540697000,1857593678000,2484712280000
2,COGS,100048472208,104874008467,113909560150,168536681396,170621759085,189203923567,201834446059,235830072685,260027687492,295281873620,369739160000,365098371000,383812866000,450563274000,493087247000,536696634000,604536815000,685075251000,741819916000,798738655000,860011392000,908318190000,984035922000,1291559797000
3,Gross Profit,187009208226,185530441254,202633086900,175025114945,175268733180,194860285032,217167779515,256470134529,286060168701,333002491292,412050308000,411445824000,454445461000,518987397000,582602647000,660529876000,693429484000,813296464000,817077792000,899622139000,923270945000,914222507000,873557756000,1193152483000
4,Gross Profit Ratio,0.6515,0.6389,0.6401,0.5094,0.5067,0.5074,0.5183,0.5210,0.5238,0.5300,0.5271,0.5298,0.5421,0.5353,0.5416,0.5517,0.5342,0.5428,0.5241,0.5297,0.5177,0.5016,0.4703,0.4802
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78220615000,172539654000,199468329000,85387566000,93289698000,110014716000,128135799000,155322295000,142514649000,152376458000,136975243000,138811668000,161390779000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,195370246000,129079325000,150071122000,186588731000,221701175000,240848630000,277599722000,270835822000,290227129000,314391183000,327543973000,337101549000,438601936000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,273590861000,301618979000,349539451000,271976297000,314990873000,350863346000,405735521000,426158117000,432741778000,466767641000,464519216000,475913217000,599992715000
9,Other Expenses,142413958986,146913712438,163136807250,131372768793,137674352521,148997621616,158688890158,189966014897,204711926371,231618526767,290984615000,2835039000,- -,- -,135022711000,162463202000,187745174000,208955904000,195412109000,238168506000,215970274000,241479749000,230349566000,284087358000
10,Operating Expenses,142413958986,146913712438,163136807250,131372768793,137674352521,148997621616,158688890158,189966014897,204711926371,231618526767,290984615000,276425900000,301618979000,349539451000,406999008000,477454075000,538608520000,614691425000,621570226000,670910284000,682737915000,705998965000,706262783000,884080073000
11,COGS and Expenses,242462431194,251787720905,277046367400,299909450188,308296111607,338201545184,360523336218,425796087582,464739613862,526900400388,660723775000,641524271000,685431845000,800102725000,900086255000,1014150709000,1143145335000,1299766676000,1363390142000,1469648939000,1542749307000,1614317155000,1690298705000,2175639870000
12,Interest Income ,11875908765,- -,4579278800,3428288155,1635446697,2529131981,110555556,800205975,2566560155,1181772913,570662000,2075957000,2380886000,7076849000,7692672000,8254170000,12136591000,7845743000,5680068000,5050952000,15794456000,13117641000,3451143000,14263669000
