,https://roic.ai/company/ANPC,2017,2018,2019,2020
0,INCOME STATEMENT, , , , 
1,Revenue,5686000,10250000,10845000,20509000
2,COGS,3954000,5672000,6047000,7628000
3,Gross Profit,1732000,4578000,4798000,12881000
4,Gross Profit Ratio,0.3046,0.4466,0.4424,0.6281
5,Research and Development Exp.,11405000,10106000,9839000,11576000
6,General and Administrative Exp.,24938000,28847000,70781000,74757000
7,Selling and Marketing Exp.,6490000,9827000,13633000,19674000
8,"Selling, General and Administrative Exp.",31428000,38674000,84414000,94431000
9,Other Expenses,-178000,-593000,-373000,- -
10,Operating Expenses,42655000,48187000,93880000,106007000
11,COGS and Expenses,46609000,53859000,99927000,113635000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),338000,925000,2609000,1143000
14,Depreciation and Amortization,2286000,3144000,2664000,3096000
15,EBITDA,-36443000,-38193000,-96005000,-76324000
16,EBITDA ratio,-6.4093,-3.7261,-8.8525,-3.7215
17,Operating Income,-40923000,-43609000,-89082000,-94556000
18,Operating Income ratio,-7.1972,-4.2545,-8.2141,-4.6105
19,Total Other Income Expenses (Gains),1612000,1114000,-12757000,13903000
20,Income Before Tax,-39311000,-42495000,-101839000,-80653000
21,Income Before Tax Ratio,-6.9136,-4.1459,-9.3904,-3.9326
22,Income Tax expense (Gain),9000,-199000,-218000,-88000
23,Net Income,-39076000,-42063000,-101060000,-80475000
24,Net Income ratio,-6.8723,-4.1037,-9.3186,-3.9239
25,EPS,-3.49,-3.75,-10.24,-7.19
26,EPS Diluted,-3.49,-3.75,-10.24,-7.19
27,Weighted Average Shares Outstanding,11201360,11201360,9868000,11190079
28,Weighted Average Shares Outstanding Diluted,11201360,11201360,9868000,11190079
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1786511/000110465920062613/0001104659-20-062613-index.htm,- -
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,11412000,12887000,6125000,3016000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,11412000,12887000,6125000,3016000
34,Net Receivables,2270000,3018000,1850000,9069000
35,Inventory,240000,62000,313000,312000
36,Other Current Assets,4027000,4885000,13883000,8891000
37,Total Current Assets,17949000,20852000,22171000,21288000
38,PP&E,18681000,18141000,18868000,19267000
39,Goodwill,2223000,2223000,2223000,2223000
40,Intangible Assets,18017000,6628000,6394000,5762000
41,Intangible Assets,20240000,8851000,8617000,7985000
42,Investments,2047000,3456000,2326000,883000
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,1231000,1462000,1000000,464000
45,Total Non-Current Assets,42199000,31910000,30811000,28599000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,60148000,52762000,52982000,49887000
48,Accounts Payable,2461000,1618000,1800000,2127000
49,Short-Term Debt,12500000,25961000,38568000,8232000
50,Tax Payable,285000,523000,100000,263000
51,Deferred Revenue,1985000,4313000,2450000,3682000
52,Other Current Liabilities,18403000,39546000,23379000,29483000
53,Total Current Liabilities,35349000,71438000,66197000,43524000
54,Long-Term Debt,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,1310000,1222000,1134000,1045000
57,Other Non-Current Liabilities,13992000,2495000,1575000,2041000
58,Total Non-Current Liabilities,15302000,3717000,2709000,3086000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -
61,Total Liabilities,50651000,75155000,68906000,46610000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,564000,569000,657000,809000
64,Retained Earnings,-132290000,-174353000,-276476000,-356951000
65,Other Comprehensive Income/Loss,-1773000,-976000,2110000,4795000
66,Other Total Stockholders Equity,143057000,152367000,257736000,354295000
67,Total Stockholders Equity,9558000,-22393000,-15973000,2948000
68,Total Liabilities And Stockholders Equity,60209000,52762000,52933000,49558000
69,Minority Interest,-61000,- -,49000,329000
70,Total Liabilities & Equity,60148000,52762000,52982000,49887000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1786511/000110465920062613/0001104659-20-062613-index.htm,- -
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-39076000,-42063000,-101060000,-80475000
74,Depreciation and Amortization,2286000,3144000,2664000,3096000
75,Deferred Income Tax,- -,- -,- -,-88000
76,Stock Based Compensation,10758000,7936000,32855000,17762000
77,Change in Working Capital,6160000,874000,6350000,2019000
78,Accounts Receivable,-1250000,-1095000,1286000,-7256000
79,Inventory,421000,178000,-555000,-44000
80,Accounts Payable,740000,-843000,182000,350000
81,Other Working Capital,1621000,2009000,-1489000,1646000
82,Other Non-Cash Items,-1769000,-1038000,10591000,-1281000
83,Cash Provided by Operating Activities,-21641000,-31147000,-48600000,-58967000
84,CAPEX,-2621000,-2847000,-3161000,-2492000
85,Acquisitions Net,-3346000,-3540000,- -,- -
