,https://roic.ai/company/LYL,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,1662406,3590217,4278729,2757229,11252,225749
2,COGS,- -,- -,- -,1691204,1261940,576995,438259
3,Gross Profit,- -,- -,- -,2587525,1495289,-565743,-212510
4,Gross Profit Ratio,- -,- -,- -,0.6047,0.5423,-50.2793,-0.9414
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,1344474,2153373,2509246,582129,362453
7,Selling and Marketing Exp.,- -,- -,8808,19769,931,- -,3343935
8,"Selling, General and Administrative Exp.",296148,983783,1353282,2173142,2510177,582129,3706388
9,Other Expenses,- -,- -,73180,30342,102152,971158,16069
10,Operating Expenses,296148,983783,1426462,2203484,2612329,1553287,3722457
11,COGS and Expenses,296148,983783,1426462,3894688,3874269,2130282,4160716
12,Interest Income ,84,163,69161,312855,636489,667898,413691
13,Interest Expense (Gain),18735,61883,- -,- -,133,3,1606887
14,Depreciation and Amortization,698,26358,19006,19895,101929,86406,76749
15,EBITDA,-297448,905910,2197304,846640,-954298,-1302895,-3464449
16,EBITDA ratio,-Infinity,0.5449,0.6120,0.1979,-0.3461,-115.7923,-15.3465
17,Operating Income,-296148,678623,2015148,384041,-2234649,-2119030,-3934967
18,Operating Income ratio,-Infinity,0.4082,0.5613,0.0898,-0.8105,-188.3247,-17.4307
19,Total Other Income Expenses (Gains),-20733,139046,163150,374877,774879,662519,-1277027
20,Income Before Tax,-316881,817669,2178298,758918,-1459770,-1456511,-5211994
21,Income Before Tax Ratio,-Infinity,0.4919,0.6067,0.1774,-0.5294,-129.4446,-23.0876
22,Income Tax expense (Gain),-66641,164817,464327,633614,- -,27413,- -
23,Net Income,-250240,652852,1713971,193131,-1056360,-1416717,-5148085
24,Net Income ratio,-Infinity,0.3927,0.4774,0.0451,-0.3831,-125.9080,-22.8045
25,EPS,-0.02,0.06,0.15,0.02,-0.09,-0.12,-0.44
26,EPS Diluted,-0.02,0.06,0.15,0.02,-0.09,-0.12,-0.44
27,Weighted Average Shares Outstanding,11666667,11666667,11666667,10771058,11421393,11421393,11650205
28,Weighted Average Shares Outstanding Diluted,11666667,11666667,11666667,10771058,11421393,11421393,11650205
