,https://roic.ai/company/USAU,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,17500000,15300000,13500000,14400000,20200000,28000000,40200000,58600000,79600000,103000000,107600000,69000000,77300000,75900000,109152000,130577000,81190000,53529000,61984000,65684000,41795000,38404000,30893000,25897000,44020000,46847000,36079000,27616000,30399000,28258000,25182000,17402000,- -,- -,- -,- -
2,COGS,6900000,7700000,7000000,7500000,10500000,16900000,23900000,38500000,64200000,92300000,96200000,53800000,57800000,53700000,80570000,95803000,56737000,39529000,46311000,49816000,29458000,29410000,19016000,18662000,33405000,35777000,27509000,22042000,24353000,24068000,20464000,14468000,- -,- -,- -,- -
3,Gross Profit,10600000,7600000,6500000,6900000,9700000,11100000,16300000,20100000,15400000,10700000,11400000,15200000,19500000,22200000,28582000,34774000,24453000,14000000,15673000,15868000,12337000,8994000,11877000,7235000,10615000,11070000,8570000,5574000,6046000,4190000,4718000,2934000,- -,- -,- -,- -
4,Gross Profit Ratio,0.6057,0.4967,0.4815,0.4792,0.4802,0.3964,0.4055,0.3430,0.1935,0.1039,0.1059,0.2203,0.2523,0.2925,0.2619,0.2663,0.3012,0.2615,0.2529,0.2416,0.2952,0.2342,0.3845,0.2794,0.2411,0.2363,0.2375,0.2018,0.1989,0.1483,0.1874,0.1686,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1100000,1400000,1391000,1673000,1839000,1539000,1284000,1300000,1136000,1243000,1267000,1531000,4265000,1894000,- -,- -,- -,- -,191000,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8200000,7700000,11800000,11100000,13701000,17600000,21532000,17204000,11985000,10653000,9194000,9605000,8837000,11064000,13365000,13404000,13064000,9415000,8367000,6939000,5958000,4701000,5786280,5026788,4409123,8367256
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5700000,6500000,6400000,5200000,5200000,9200000,11400000,14800000,16000000,11500000,8200000,7700000,11800000,11100000,13701000,17600000,21532000,17204000,11985000,10653000,9194000,9605000,8837000,11064000,13365000,13404000,13064000,9415000,8367000,6939000,5958000,4701000,5786280,5026788,4409123,8367256
9,Other Expenses,200000,200000,200000,200000,1500000,300000,500000,700000,800000,900000,700000,600000,800000,1100000,1307000,300000,5856000,11535000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-191000,- -,2476289,2584417,1278372,4019838
10,Operating Expenses,5900000,6700000,6600000,5400000,6700000,9500000,11900000,15500000,16800000,12400000,8900000,9300000,13700000,13600000,16399000,19573000,29227000,30278000,13269000,11953000,10330000,10848000,10104000,12595000,17630000,15298000,13064000,9415000,8367000,6939000,5958000,4701000,8262569,7611205,5687495,12387094
11,COGS and Expenses,12800000,14400000,13600000,12900000,17200000,26400000,35800000,54000000,81000000,104700000,105100000,63100000,71500000,67300000,96969000,115376000,85964000,69807000,59580000,61769000,39788000,40258000,29120000,31257000,51035000,51075000,40573000,31457000,32720000,31007000,26422000,19169000,8262569,7611205,5687495,12387094
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,12000,- -,- -,22000,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000,54000,286000,386000,311000,306000,1001000,199000,136000,116,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,500000,700000,800000,900000,700000,600000,800000,1100000,1307000,1785000,10450000,3925000,1847000,1113000,787000,383000,312000,456000,1193000,1039000,660000,443000,300000,127000,131000,87000,- -,6956,10730,22886
15,EBITDA,7300000,1500000,300000,2200000,3700000,2000000,5000000,5300000,-600000,-1100000,3100000,6700000,6800000,10100000,13981000,16056000,3560000,-16242000,4370000,5230000,5225000,1603000,2953000,-4675000,-5885000,-3304000,-2208000,-3866000,-2003000,-2698000,-888000,-1692000,-8262569,-7604249,-5676765,-12364208
16,EBITDA ratio,0.4171,0.0980,0.0222,0.1528,0.1832,0.0714,0.1244,0.0904,-0.0075,-0.0107,0.0288,0.0971,0.0880,0.1331,0.1281,0.1230,0.0438,-0.3034,0.0705,0.0796,0.1250,0.0417,0.0956,-0.1805,-0.1337,-0.0705,-0.0612,-0.1400,-0.0659,-0.0955,-0.0353,-0.0972,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,4700000,900000,-100000,1500000,3000000,1600000,4400000,4600000,-1400000,-1700000,2500000,5900000,5800000,8600000,12183000,13416000,-5974000,-20083000,2404000,3915000,2007000,-1854000,1773000,-5360000,-7015000,-4228000,-6881000,-4279000,-2321000,-2749000,-1240000,-1767000,-8262569,-7611205,- -,-12387094
18,Operating Income ratio,0.2686,0.0588,-0.0074,0.1042,0.1485,0.0571,0.1095,0.0785,-0.0176,-0.0165,0.0232,0.0855,0.0750,0.1133,0.1116,0.1027,-0.0736,-0.3752,0.0388,0.0596,0.0480,-0.0483,0.0574,-0.2070,-0.1594,-0.0903,-0.1907,-0.1549,-0.0764,-0.0973,-0.0492,-0.1015,-Infinity,-Infinity,- -,-Infinity
19,Total Other Income Expenses (Gains),2600000,600000,400000,700000,700000,400000,100000,- -,-100000,-300000,-100000,200000,200000,400000,491000,855000,-916000,-84000,119000,202000,2431000,3074000,868000,223000,-117000,-401000,3627000,-341000,-288000,-1077000,22000,-148000,-116,- -,- -,- -
20,Income Before Tax,7300000,1500000,- -,2200000,3700000,2000000,4500000,4600000,-1500000,-2000000,2400000,6100000,6000000,9000000,12674000,14271000,-6890000,-20167000,2523000,4117000,4438000,1220000,2641000,-5137000,-7132000,-4629000,-3254000,-4620000,-2609000,-3826000,-1218000,-1915000,-8262685,-7611205,-5687495,-12387094
21,Income Before Tax Ratio,0.4171,0.0980,- -,0.1528,0.1832,0.0714,0.1119,0.0785,-0.0188,-0.0194,0.0223,0.0884,0.0776,0.1186,0.1161,0.1093,-0.0849,-0.3767,0.0407,0.0627,0.1062,0.0318,0.0855,-0.1984,-0.1620,-0.0988,-0.0902,-0.1673,-0.0858,-0.1354,-0.0484,-0.1100,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),3100000,500000,- -,700000,1200000,600000,1500000,1600000,-600000,-700000,900000,2300000,2300000,3400000,4828000,5676000,1211000,-4563000,252000,-2598000,1666000,450000,1033000,-2002000,3611000,5000,5000,5000,- -,3000,3000,- -,-435345,435345,-438145,- -
23,Net Income,4200000,1000000,300000,1500000,2500000,1400000,3000000,3000000,-800000,-1300000,1500000,3800000,3700000,5600000,7846000,8595000,-8101000,-15604000,2271000,6715000,2772000,770000,1608000,-3135000,-10743000,-4634000,-3259000,-4625000,-2609000,-3829000,-1221000,-1915000,-13658495,-8046550,-5249350,-12387094
24,Net Income ratio,0.2400,0.0654,0.0222,0.1042,0.1238,0.0500,0.0746,0.0512,-0.0101,-0.0126,0.0139,0.0551,0.0479,0.0738,0.0719,0.0658,-0.0998,-0.2915,0.0366,0.1022,0.0663,0.0200,0.0521,-0.1211,-0.2440,-0.0989,-0.0903,-0.1675,-0.0858,-0.1355,-0.0485,-0.1100,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,18.40,4.00,1.60,7.20,12.80,10.40,64.80,60.00,-14.40,-26.40,91.20,264.00,302.40,494.40,712.80,727.20,-684.00,-1324.80,194.40,561.60,237.60,64.80,129.60,-252.00,-871.20,-374.40,-223.20,-312.00,-156.00,-264.00,-116.40,-27.00,-11.40,-4.40,-3.17,-3.80
26,EPS Diluted,18.40,4.00,1.60,7.20,12.80,10.40,64.80,60.00,-14.40,-26.40,91.20,261.60,285.60,432.00,583.20,633.60,-684.00,-1324.80,180.00,532.80,223.20,64.80,129.60,-252.00,-871.20,-374.40,-223.20,-312.00,-156.00,-264.00,-116.40,-27.00,-11.40,-4.40,-3.17,-3.80
27,Weighted Average Shares Outstanding,24562,24575,23288,23401,14597,14784,15816,15858,15850,15791,16447,14394,12235,11327,11007,11819,11844,11778,11682,11957,11667,11883,12407,12318,12348,12393,14758,14808,16665,21154,10458,91013,1337226,1847155,2316610,4712755
28,Weighted Average Shares Outstanding Diluted,24562,24575,23288,23401,14597,14784,15816,15858,15850,15791,16447,14526,12955,12963,13453,13565,11844,11778,12617,12603,12419,11883,12407,12318,12348,12393,14758,14808,16665,21154,10458,91013,1337226,1847155,2316610,4712755
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/27093/0001001746-96-000034-index.html,https://www.sec.gov/Archives/edgar/data/27093/000100174697000042/0001001746-97-000042-index.html,https://www.sec.gov/Archives/edgar/data/27093/000100174698000057/0001001746-98-000057-index.html,- -,https://www.sec.gov/Archives/edgar/data/27093/000100174600000046/0001001746-00-000046-index.html,https://www.sec.gov/Archives/edgar/data/27093/000100174601500022/0001001746-01-500022-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/27093/000100174607000036/0001001746-07-000036-index.html,https://www.sec.gov/Archives/edgar/data/27093/000100174608000017/0001001746-08-000017-index.html,https://www.sec.gov/Archives/edgar/data/27093/000100174609000009/0001001746-09-000009-index.html,https://www.sec.gov/Archives/edgar/data/27093/000117152010000444/0001171520-10-000444-index.html,https://www.sec.gov/Archives/edgar/data/27093/000100174611000011/0001001746-11-000011-index.html,https://www.sec.gov/Archives/edgar/data/27093/000117152012000646/0001171520-12-000646-index.html,https://www.sec.gov/Archives/edgar/data/27093/000117152013000489/0001171520-13-000489-index.html,https://www.sec.gov/Archives/edgar/data/27093/000117152014000525/0001171520-14-000525-index.html,https://www.sec.gov/Archives/edgar/data/27093/000117152015000463/eps6337.htm,https://www.sec.gov/Archives/edgar/data/27093/000117152016001006/eps6897.htm,https://www.sec.gov/Archives/edgar/data/27093/000149315217008303/0001493152-17-008303-index.html,https://www.sec.gov/Archives/edgar/data/27093/000149315218010661/0001493152-18-010661-index.html,https://www.sec.gov/Archives/edgar/data/27093/000149315219011194/form10-k.htm,https://www.sec.gov/Archives/edgar/data/27093/000149315220013170/0001493152-20-013170-index.htm,https://www.sec.gov/Archives/edgar/data/27093/000149315221018081/0001493152-21-018081-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8500000,6800000,7500000,8100000,13650000,10236000,3656000,2500000,6806000,9281000,14044000,14138000,17642000,12525000,2507000,345000,3275000,324000,258000,327000,56000,155000,7646279,2197181,2749957,13645405
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8500000,6800000,7500000,8100000,13650000,10236000,3656000,2500000,6806000,9281000,14044000,14138000,17642000,12525000,2507000,345000,3275000,324000,258000,327000,56000,155000,7646279,2197181,2749957,13645405
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12100000,8500000,10100000,12000000,16241000,17641000,12177000,9430000,8846000,8397000,6430000,6254000,4047000,3381000,5344000,4630000,2605000,3160000,3663000,2171000,2746000,1816000,- -,- -,219072,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,4400000,2900000,3300000,4651000,5925000,5435000,2855000,2537000,2369000,2189000,2121000,1977000,2201000,6872000,5462000,2932000,2903000,2291000,2089000,1336000,945000,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,600000,500000,500000,585000,888000,532000,834000,815000,3388000,1445000,1380000,1199000,426000,87000,127000,115000,81000,7000,69000,123000,442000,632038,613261,212718,430360
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23700000,20300000,21000000,23900000,35127000,34690000,21800000,15619000,19004000,23435000,24108000,23893000,24865000,18533000,14810000,10564000,8927000,6468000,6219000,4656000,4261000,3358000,8278317,2810442,3181747,14075765
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2200000,2300000,3400000,3500000,5007000,13226000,9210000,4564000,2858000,2028000,847000,784000,686000,1100000,1117000,963000,698000,425000,219000,121000,51000,16000,- -,4251881,6296930,16529084
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9957000,11144000,- -,- -,- -,- -,- -,- -,- -,754000,1242000,1453000,1083000,1083000,1083000,1083000,1083000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7043000,- -,- -,- -,- -,- -,- -,- -,1504000,867000,1940000,297000,133000,- -,365000,326000,274000,4176952,4176952,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000000,11144000,- -,- -,- -,- -,- -,- -,1504000,1621000,3182000,1750000,1216000,1083000,1448000,1409000,1357000,4176952,4176952,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,630000,1176000,1123000,480000,3282000,- -,- -,- -,- -,- -,- -,- -,- -,438145,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,100000,- -,17000,365000,408000,24000,50000,54000,105000,105000,79000,136000,105000,111000,55000,56000,51000,50000,30000,34000,92928,-3837505,355556,718509
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2200000,2200000,3500000,3500000,5024000,30591000,20762000,4588000,2908000,2712000,2128000,2012000,1245000,6022000,2843000,4256000,2503000,1697000,1353000,1619000,1490000,1407000,4708025,4591328,6652486,17247593
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25900000,22500000,24500000,27400000,40151000,65281000,42562000,20207000,21912000,26147000,26236000,25905000,26110000,24555000,17653000,14820000,11430000,8165000,7572000,6275000,5751000,4765000,12986342,7401770,9834233,31323358
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5900000,4100000,4700000,4300000,9538000,7219000,6600000,3208000,3862000,2528000,2057000,1597000,1789000,1386000,3523000,2945000,1017000,948000,1438000,880000,737000,1002000,262652,154842,157840,619038
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2978000,- -,- -,- -,- -,- -,- -,- -,- -,1000000,2154000,121000,1876000,2970000,2817000,1856000,1670000,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72000,72000,72000,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1100000,1800000,2100000,2878000,3960000,1687000,2978000,1646000,1438000,653000,976000,702000,1689000,1738000,2340000,1099000,1084000,929000,210000,87000,30000,23429,5367,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6900000,5200000,6500000,6400000,12416000,14157000,8287000,6186000,5508000,3966000,2710000,2573000,2491000,3075000,6261000,7439000,2237000,3908000,5337000,3979000,2752000,2774000,286081,160209,157840,619038
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,3800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,1000000,1000000,900000,841000,948000,647000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,4133000,- -,-1000,- -,- -,- -,- -,- -,381000,- -,- -,1667000,1267000,250000,179000,107000,35000,- -,88746,168392,204615
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,1000000,1000000,1000000,841000,13081000,4447000,-1000,- -,- -,- -,- -,- -,381000,- -,- -,1667000,1267000,250000,179000,107000,35000,- -,88746,168392,204615
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7800000,6200000,7500000,7400000,13257000,27238000,12734000,6185000,5508000,3966000,2710000,2573000,2491000,3456000,6261000,7439000,3904000,5175000,5587000,4158000,2859000,2809000,286081,248955,326232,823653
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1857000,4045000,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8278000,8492000,8494000,8497000,8527000,8361000,8487000,8688000,8869000,8869000,8918000,8929000,10703000,1755000,2411000,2776000,2000,1000,17591,19861,2903,7065
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10800000,10800000,12100000,14800000,17635000,25403000,16830000,930000,3201000,9254000,10133000,8848000,8342000,5207000,-5535000,-10170000,-13428000,-18053000,-20662000,-24491000,-25711000,-27626000,-18228552,-26275102,-31587952,-43975046
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4900000,-5500000,-6200000,-2600000,-3878000,-5363000,-8816000,-8887000,-9951000,-11052000,-11822000,-12205000,-12492000,-12886000,-13418000,9000000,-11886000,-11916000,-840000,-967000,-26000000,-1094000,- -,-6956,-17686,-40572
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12200000,11000000,11100000,7800000,4859000,9511000,13320000,13482000,14627000,15618000,16728000,18001000,18900000,19909000,21427000,-378000,22137000,31204000,21076000,22942000,50556000,30675000,30911222,33415012,41110736,74508258
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18100000,16300000,17000000,20000000,26894000,38043000,29828000,14022000,16404000,22181000,23526000,23332000,23619000,21099000,11392000,7381000,7526000,2990000,1985000,2117000,2892000,1956000,12700261,7152815,9508001,30499705
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25900000,22500000,24500000,27400000,40151000,65281000,42562000,20207000,21912000,26147000,26236000,25905000,26110000,24555000,17653000,14820000,11430000,8165000,7572000,6275000,5751000,4765000,12986342,7401770,9834233,31323358
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25900000,22500000,24500000,27400000,40151000,65281000,42562000,20207000,21912000,26147000,26236000,25905000,26110000,24555000,17653000,14820000,11430000,8165000,7572000,6275000,5751000,4765000,12986342,7401770,9834233,31323358
