,https://roic.ai/company/DE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4060600000,3516300000,4134500000,5364800000,6233900000,7847600000,7034200000,6930700000,7693800000,8966900000,10118200000,11127700000,12617200000,13625800000,11521700000,12963600000,13292900000,13947000000,15534600000,19986100000,21930500000,22147800000,24082200000,28292900000,23016200000,25872500000,31841700000,35963200000,37621000000,35815700000,28609300000,26363500000,29737700000,37354700000,39281000000,35259000000,43582000000
2,COGS,3160800000,3034400000,3450100000,4179100000,4832100000,5258200000,4715900000,4681800000,5154500000,5788700000,6694300000,7148800000,8209500000,8991300000,7900500000,8607400000,9852400000,10111800000,11288800000,14217800000,16117800000,15362000000,16252800000,21006800000,17654600000,18554200000,22793800000,25912600000,26551600000,25590800000,20983200000,19174600000,21132100000,27115300000,28449000000,25112000000,30311000000
3,Gross Profit,899800000,481900000,684400000,1185700000,1401800000,2589400000,2318300000,2248900000,2539300000,3178200000,3423900000,3978900000,4407700000,4634500000,3621200000,4356200000,3440500000,3835200000,4245800000,5768300000,5812700000,6785800000,7829400000,7286100000,5361600000,7318300000,9047900000,10050600000,11069400000,10224900000,7626100000,7188900000,8605600000,10239400000,10832000000,10147000000,13271000000
4,Gross Profit Ratio,0.2216,0.1370,0.1655,0.2210,0.2249,0.3300,0.3296,0.3245,0.3300,0.3544,0.3384,0.3576,0.3493,0.3401,0.3143,0.3360,0.2588,0.2750,0.2733,0.2886,0.2651,0.3064,0.3251,0.2575,0.2329,0.2829,0.2842,0.2795,0.2942,0.2855,0.2666,0.2727,0.2894,0.2741,0.2758,0.2878,0.3045
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,412300000,444400000,458400000,542100000,590100000,527800000,577300000,611600000,677300000,725800000,816800000,943100000,977000000,1052400000,1226200000,1433600000,1477300000,1452000000,1425100000,1389100000,1367700000,1657600000,1783000000,1644000000,1587000000
6,General and Administrative Exp.,730500000,766600000,734100000,711200000,1249000000,1396300000,1524400000,1571600000,1593200000,1760500000,1828000000,2080400000,1874700000,1888400000,1957000000,1885400000,2109500000,- -,2068700000,2450900000,2218600000,2868700000,3185900000,2960200000,2780600000,2968700000,3361700000,3662000000,3809500000,3608400000,3056300000,2951700000,3066600000,3425500000,3551000000,3677000000,3435000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",730500000,766600000,734100000,711200000,1249000000,1396300000,1524400000,1571600000,1593200000,1760500000,1828000000,2080400000,1874700000,1888400000,1957000000,1885400000,2109500000,2067600000,2068700000,2450900000,2218600000,2868700000,3185900000,2960200000,2780600000,2968700000,3361700000,3662000000,3809500000,3608400000,3056300000,2951700000,3253600000,3630500000,3694000000,3677000000,3435000000
9,Other Expenses,194500000,202600000,185700000,187500000,192900000,203800000,209200000,250400000,257200000,256700000,283100000,311400000,365600000,418000000,513300000,647900000,- -,- -,- -,- -,- -,- -,- -,280000000,273000000,282000000,248000000,235000000,315000000,384000000,390000000,640000000,-187000000,-149000000,-143000000,969000000,753000000
