,https://roic.ai/company/SNMP,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,8710000,18656000,18387000,25957000,36917000,75869000,163239000,123126000,108692000,144639000,68041000,44077000,77272000,68428000,70685000,88149000,83610000,76649000,56993000,51482000
2,COGS,- -,- -,- -,4175000,7234000,18929000,43518000,36173000,36450000,33034000,29216000,22914000,25699000,24551000,28954000,26147000,47271000,44885000,38722000,20559000
3,Gross Profit,- -,18656000,18387000,21782000,29683000,56940000,119721000,86953000,72242000,111605000,38825000,21163000,51573000,43877000,41731000,62002000,36339000,31764000,18271000,30923000
4,Gross Profit Ratio,- -,1.0000,1.0000,0.8392,0.8040,0.7505,0.7334,0.7062,0.6646,0.7716,0.5706,0.4801,0.6674,0.6412,0.5904,0.7034,0.4346,0.4144,0.3206,0.6007
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,4573000,9109000,14412000,18506000,20351000,16599000,16060000,22214000,16499000,26109000,24842000,26028000,25591000,18961000,20898000,10103000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",92000,- -,- -,4184000,4573000,9109000,14412000,18506000,20351000,16599000,16060000,22214000,16499000,26109000,24842000,26028000,25591000,18961000,20898000,10103000
9,Other Expenses,- -,3684000,3719000,5576000,9227000,26836000,86317000,80294000,86845000,23177000,21565000,19491000,18137000,17501000,34926000,35603000,497000,526000,567000,9843000
10,Operating Expenses,- -,3684000,3719000,9760000,13800000,35945000,100729000,98800000,107196000,39776000,37625000,41705000,34636000,43610000,59768000,61631000,26088000,19487000,21465000,19946000
11,COGS and Expenses,92000,3684000,3719000,13935000,21034000,54874000,144247000,134973000,143646000,72810000,66841000,64619000,60335000,68161000,88722000,87778000,73359000,64372000,60187000,40505000
12,Interest Income ,- -,- -,- -,- -,468000,465000,350000,2000,768000,2000,1158000,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,1961000,3028000,3000,221000,6930000,12167000,16305000,12721000,10118000,6891000,3150000,2076000,4207000,5093000,8341000,10961000,39789000,95871000,112969000
14,Depreciation and Amortization,- -,- -,- -,4176000,7492000,23614000,78971000,76286000,- -,- -,- -,- -,- -,16054000,35656000,34830000,25987000,25333000,22873000,20998000
15,EBITDA,414000,6948000,5127000,16120000,23702000,44785000,98406000,83568000,-264189000,29704000,-79652000,-25393000,11579000,-116740000,59980000,40131000,52829000,117955000,7000,-20577000
16,EBITDA ratio,0.0475,0.3724,0.2788,0.6210,0.6420,0.5903,0.6028,0.6787,-2.4306,0.2054,-1.1706,-0.5761,0.1498,-1.7060,0.8486,0.4553,0.6319,1.5389,0.0001,-0.3997
17,Operating Income,8618000,14972000,14668000,11944000,15742000,20683000,18581000,-11847000,-265342000,29453000,-80964000,-22903000,11290000,-123482000,-25902000,-167000,10251000,12277000,-3194000,-155417000
18,Operating Income ratio,0.9894,0.8025,0.7977,0.4601,0.4264,0.2726,0.1138,-0.0962,-2.4412,0.2036,-1.1899,-0.5196,0.1461,-1.8046,-0.3664,-0.0019,0.1226,0.1602,-0.0560,-3.0189
19,Total Other Income Expenses (Gains),- -,- -,- -,-156000,-282000,-601000,-318000,19127000,-11568000,-9867000,-5579000,-2954000,-1787000,-13519000,45133000,-2873000,5630000,-63217000,-115543000,-5000
