,https://roic.ai/company/CRNC,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,211136000,244729000,276984000,303315000,329646000,387182000
2,COGS,60566000,68534000,82964000,99343000,107851000,101074000
3,Gross Profit,150570000,176195000,194020000,203972000,221795000,286108000
4,Gross Profit Ratio,0.7131,0.7200,0.7005,0.6725,0.6728,0.7389
5,Research and Development Exp.,53568000,56755000,80957000,93061000,88899000,112070000
6,General and Administrative Exp.,14371000,17485000,19873000,25926000,49386000,56979000
7,Selling and Marketing Exp.,26582000,29909000,30553000,36261000,33398000,38683000
8,"Selling, General and Administrative Exp.",40953000,47394000,50426000,62187000,82784000,95662000
9,Other Expenses,6329000,5763000,8840000,12524000,12544000,12690000
10,Operating Expenses,100850000,109912000,140223000,167772000,184227000,220422000
11,COGS and Expenses,161416000,178446000,223187000,267115000,292078000,321496000
12,Interest Income ,- -,- -,- -,- -,585000,109000
13,Interest Expense (Gain),- -,- -,- -,- -,22737000,13997000
14,Depreciation and Amortization,19755000,19669000,25765000,28844000,30041000,29661000
15,EBITDA,67013000,82871000,62563000,40028000,26638000,91927000
16,EBITDA ratio,0.3174,0.3386,0.2259,0.1320,0.0808,0.2374
17,Operating Income,47793000,63685000,36852000,10852000,19331000,60594000
18,Operating Income ratio,0.2264,0.2602,0.1330,0.0358,0.0586,0.1565
19,Total Other Income Expenses (Gains),-535000,-483000,-54000,332000,-45471000,-12325000
20,Income Before Tax,47258000,63202000,36798000,11184000,-26140000,48269000
21,Income Before Tax Ratio,0.2238,0.2583,0.1329,0.0369,-0.0793,0.1247
22,Income Tax expense (Gain),12319000,15926000,30917000,-89084000,-5509000,2376000
23,Net Income,34939000,47276000,5881000,100268000,-20631000,45893000
24,Net Income ratio,0.1655,0.1932,0.0212,0.3306,-0.0626,0.1185
25,EPS,0.96,1.30,0.16,2.81,-0.57,1.22
26,EPS Diluted,0.96,1.30,0.16,2.81,-0.57,1.17
27,Weighted Average Shares Outstanding,36385336,36385336,36385336,36391445,36428000,37752000
28,Weighted Average Shares Outstanding Diluted,36385336,36385336,36385336,36391445,36428000,39289000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1768267/000156459019046399/0001564590-19-046399-index.html,https://www.sec.gov/Archives/edgar/data/1768267/000156459020054595/0001564590-20-054595-index.htm,https://www.sec.gov/Archives/edgar/data/1768267/000156459021057931/0001564590-21-057931-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,136067000,128428000
32,Short-Term Investments,- -,- -,- -,- -,11662000,30435000
33,Cash and Short-Term Investments,- -,- -,- -,- -,147729000,158863000
