,https://roic.ai/company/SAND,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,3148000,29967000,55943000,59836000,56494000,52663000,62371000,68275000,73150000,89434000,93025000,114860000
2,COGS,- -,- -,- -,1263000,13301000,26248000,39123000,42296000,48878000,40488000,44901000,45031000,56131000,47170000,52549000
3,Gross Profit,- -,- -,- -,1885000,16666000,29695000,20713000,14198000,3785000,21883000,23374000,28119000,33303000,45855000,62311000
4,Gross Profit Ratio,- -,- -,- -,0.5988,0.5561,0.5308,0.3462,0.2513,0.0719,0.3509,0.3424,0.3844,0.3724,0.4929,0.5425
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,2511000,4420000,7133000,13556000,6795000,5478000,4800000,6628000,6897000,8274000,8335000,10198000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,2511000,4420000,7133000,13556000,6795000,5478000,4800000,6628000,6897000,8274000,8335000,10198000
9,Other Expenses,- -,- -,315244,- -,- -,1349000,2235000,902000,4558000,5295000,4672000,4356000,5910000,5533000,7770000
10,Operating Expenses,- -,- -,315244,2511000,4420000,8482000,15791000,7697000,10036000,10095000,11300000,11253000,14184000,13868000,17968000
11,COGS and Expenses,8958,64123,315244,3774000,17721000,34730000,54914000,49993000,58914000,50583000,56201000,56284000,70315000,61038000,70517000
12,Interest Income ,- -,- -,29534,96000,26000,- -,1112000,1596000,1610000,2598000,722000,76000,756000,315000,481000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,1283000,1321000,1693000,4100000,2187000,1661000,3503000,2107000,2135000
14,Depreciation and Amortization,- -,- -,957,347000,- -,102000,176000,189000,212000,231000,108000,- -,- -,- -,36177000
15,EBITDA,-8958,-64123,-210034,1193000,13473000,25279000,-86775000,10776000,-32039000,34116000,16909000,10365000,26511000,26383000,83165000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,0.3790,0.4496,0.4519,-1.4502,0.1907,-0.6084,0.5470,0.2477,0.1417,0.2964,0.2836,0.7241
17,Operating Income,-8958,-64123,-315244,-626000,13547000,25177000,4922000,6501000,-6251000,11788000,12074000,16866000,19119000,31987000,44343000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-0.1989,0.4521,0.4500,0.0823,0.1151,-0.1187,0.1890,0.1768,0.2306,0.2138,0.3439,0.3861
19,Total Other Income Expenses (Gains),- -,- -,-66261,1472000,-74000,- -,-94033000,2765000,-27693000,17997000,2540000,-8162000,3889000,-7711000,510000
20,Income Before Tax,- -,- -,-381505,846000,13473000,25177000,-89111000,9266000,-33944000,29785000,14614000,8704000,23008000,24276000,44853000
21,Income Before Tax Ratio,- -,- -,-Infinity,0.2687,0.4496,0.4500,-1.4893,0.1640,-0.6446,0.4775,0.2140,0.1190,0.2573,0.2610,0.3905
22,Income Tax expense (Gain),- -,- -,-48111,-1553000,984000,3250000,-14482000,-2249000,9112000,4531000,4077000,2832000,6611000,10459000,17231000
23,Net Income,-8958,-59849,-333394,2399000,12489000,21927000,-73752000,11515000,-43056000,25254000,10537000,5872000,16397000,13817000,27622000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,0.7621,0.4168,0.3920,-1.2326,0.2038,-0.8176,0.4049,0.1543,0.0803,0.1833,0.1485,0.2405
25,EPS,-0.02,-0.05,-0.08,0.05,0.20,0.29,-0.78,0.10,-0.36,0.18,0.06,0.03,0.09,0.07,0.14
26,EPS Diluted,-0.02,-0.05,-0.08,0.05,0.15,0.25,-0.78,0.09,-0.36,0.17,0.06,0.03,0.09,0.07,0.14
27,Weighted Average Shares Outstanding,448000,1493976,3416324,50510894,64892174,75191865,94607833,112852945,119622450,144159678,167265059,183381187,177619824,187507754,193974313
28,Weighted Average Shares Outstanding Diluted,448000,1493976,3416324,55018095,76238874,86379483,94607833,121398498,119622450,149961923,174703186,190985786,190220013,196907840,197823480
