,https://roic.ai/company/HLT,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,8068000000,8783000000,9276000000,9735000000,10502000000,11272000000,11663000000,9140000000,8906000000,9452000000,4307000000,5788000000
2,COGS,6280000000,6808000000,7112000000,7282000000,7710000000,8195000000,8494000000,6931000000,6655000000,7017000000,3724000000,4133000000
3,Gross Profit,1788000000,1975000000,2164000000,2453000000,2792000000,3077000000,3169000000,2209000000,2251000000,2435000000,583000000,1655000000
4,Gross Profit Ratio,0.2216,0.2249,0.2333,0.2520,0.2659,0.2730,0.2717,0.2417,0.2528,0.2576,0.1354,0.2859
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,637000000,416000000,460000000,748000000,491000000,611000000,616000000,434000000,443000000,441000000,311000000,405000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",637000000,416000000,460000000,748000000,491000000,611000000,616000000,434000000,443000000,441000000,311000000,405000000
9,Other Expenses,574000000,564000000,550000000,603000000,628000000,692000000,686000000,403000000,376000000,418000000,391000000,233000000
10,Operating Expenses,1211000000,980000000,1010000000,1351000000,1119000000,1303000000,1302000000,837000000,819000000,859000000,702000000,638000000
11,COGS and Expenses,7491000000,7788000000,8122000000,8633000000,8829000000,9498000000,9796000000,7768000000,7474000000,7876000000,4426000000,4771000000
12,Interest Income ,9000000,11000000,15000000,9000000,10000000,19000000,12000000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),946000000,643000000,569000000,620000000,618000000,575000000,587000000,408000000,371000000,414000000,429000000,397000000
14,Depreciation and Amortization,574000000,564000000,550000000,603000000,628000000,692000000,686000000,347000000,325000000,346000000,331000000,188000000
15,EBITDA,1956000000,1401000000,1685000000,1876000000,2384000000,2751000000,2512000000,1680000000,1769000000,1999000000,-159000000,1148000000
16,EBITDA ratio,0.2424,0.1595,0.1817,0.1927,0.2270,0.2441,0.2154,0.1838,0.1986,0.2115,-0.0369,0.1983
17,Operating Income,553000000,975000000,1100000000,1102000000,1673000000,2071000000,1861000000,1372000000,1432000000,1657000000,-418000000,1010000000
18,Operating Income ratio,0.0685,0.1110,0.1186,0.1132,0.1593,0.1837,0.1596,0.1501,0.1608,0.1753,-0.0971,0.1745
19,Total Other Income Expenses (Gains),-134000000,-779000000,-527000000,-404000000,-526000000,-575000000,-606000000,-442000000,-354000000,-413000000,-506000000,-450000000
20,Income Before Tax,419000000,196000000,573000000,698000000,1147000000,1496000000,1255000000,930000000,1078000000,1244000000,-924000000,560000000
21,Income Before Tax Ratio,0.0519,0.0223,0.0618,0.0717,0.1092,0.1327,0.1076,0.1018,0.1210,0.1316,-0.2145,0.0968
22,Income Tax expense (Gain),308000000,-59000000,214000000,238000000,465000000,80000000,891000000,-334000000,309000000,358000000,-204000000,153000000
23,Net Income,128000000,253000000,352000000,415000000,673000000,1404000000,348000000,1259000000,764000000,881000000,-715000000,410000000
24,Net Income ratio,0.0159,0.0288,0.0379,0.0426,0.0641,0.1246,0.0298,0.1377,0.0858,0.0932,-0.1660,0.0708
25,EPS,0.39,0.81,0.87,1.35,2.04,4.26,1.06,3.88,2.53,3.07,-2.58,1.47
26,EPS Diluted,0.39,0.81,0.87,1.35,2.04,4.26,1.05,3.85,2.50,3.04,-2.58,1.46
27,Weighted Average Shares Outstanding,328204793,306999693,328204793,307407100,328333005,328666338,329032574,324000000,302000000,287000000,277000000,279000000
28,Weighted Average Shares Outstanding Diluted,328204793,306999693,328204793,307407100,328666338,329666337,330032673,327000000,305000000,290000000,279000000,281000000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1585689/000158568915000032/0001585689-15-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568916000161/0001585689-16-000161-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568917000038/0001585689-17-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568918000033/0001585689-18-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568919000034/0001585689-19-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568920000013/0001585689-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568921000016/0001585689-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568922000013/0001585689-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,781000000,755000000,594000000,566000000,609000000,1418000000,570000000,403000000,538000000,3218000000,1427000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,781000000,755000000,594000000,566000000,609000000,1418000000,570000000,403000000,538000000,3218000000,1427000000
34,Net Receivables,- -,741000000,838000000,852000000,1104000000,1102000000,1156000000,1034000000,1170000000,1261000000,771000000,1068000000
35,Inventory,- -,552000000,415000000,396000000,404000000,442000000,541000000,- -,- -,- -,- -,- -
36,Other Current Assets,- -,959000000,819000000,541000000,425000000,432000000,442000000,382000000,410000000,294000000,213000000,376000000
37,Total Current Assets,- -,3033000000,2827000000,2383000000,2499000000,2585000000,3557000000,1986000000,1983000000,2093000000,4202000000,2871000000
38,PP&E,- -,9117000000,9197000000,9058000000,7483000000,9119000000,8930000000,353000000,367000000,1247000000,1118000000,999000000
39,Goodwill,- -,6175000000,6197000000,6220000000,6154000000,5887000000,5822000000,5190000000,5160000000,5159000000,5095000000,5071000000
40,Intangible Assets,- -,7476000000,7373000000,7216000000,6943000000,6654000000,6374000000,6232000000,6156000000,6078000000,5823000000,5835000000
41,Intangible Assets,- -,13651000000,13570000000,13436000000,13097000000,12541000000,12196000000,11422000000,11316000000,11237000000,10918000000,10906000000
42,Investments,- -,334000000,291000000,260000000,170000000,138000000,114000000,- -,- -,- -,- -,- -
43,Tax Assets,- -,112000000,104000000,193000000,155000000,78000000,117000000,113000000,90000000,100000000,194000000,213000000
44,Other Non-Current Assets,- -,1065000000,1077000000,1232000000,2721000000,1255000000,1297000000,434000000,239000000,280000000,323000000,452000000
45,Total Non-Current Assets,- -,24279000000,24239000000,24179000000,23626000000,23131000000,22654000000,12322000000,12012000000,12864000000,12553000000,12570000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,27312000000,27066000000,26562000000,26125000000,25716000000,26211000000,14308000000,13995000000,14957000000,16755000000,15441000000
48,Accounts Payable,- -,294000000,286000000,319000000,299000000,331000000,381000000,282000000,283000000,303000000,224000000,274000000
49,Short-Term Debt,- -,384000000,407000000,52000000,137000000,228000000,171000000,46000000,16000000,170000000,226000000,194000000
