,https://roic.ai/company/AL-PA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,332719000,645853000,858675000,1050493000,1222840000,1419055000,1516380000,1679702000,2016904000,2015439000,2088389000
2,COGS,- -,157169000,346638000,448780000,529475000,633397000,707941000,766269000,892011000,702810000,780691000,1344958000
3,Gross Profit,- -,175550000,299215000,409895000,521018000,589443000,711114000,750111000,787691000,1314094000,1234748000,743431000
4,Gross Profit Ratio,- -,0.5276,0.4633,0.4774,0.4960,0.4820,0.5011,0.4947,0.4689,0.6515,0.6126,0.3560
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,39342000,88141000,92826000,98470000,93983000,99934000,111127000,114847000,144398000,113312000,26516000
7,Selling and Marketing Exp.,- -,44559000,- -,- -,- -,- -,- -,- -,- -,- -,- -,125279000
8,"Selling, General and Administrative Exp.",- -,83901000,88141000,92826000,98470000,93983000,99934000,111127000,114847000,144398000,113312000,151795000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,83901000,88141000,92826000,98470000,93983000,99934000,111127000,114847000,144398000,113312000,151795000
11,COGS and Expenses,- -,241070000,434779000,541606000,627945000,727380000,807875000,877396000,1006858000,847208000,894003000,1496753000
12,Interest Income ,- -,4022000,9893000,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,9481000,16994000,23627000,27772000,30507000,30942000,29454000,32706000,-434011000,474758000,50620000
14,Depreciation and Amortization,- -,112307000,216219000,280037000,336657000,397760000,452682000,508352000,581985000,702810000,780691000,882562000
15,EBITDA,- -,204629000,437186000,597106000,759205000,821220000,1063862000,1147336000,1254829000,1004484000,1902127000,1474198000
16,EBITDA ratio,- -,0.6150,0.6769,0.6954,0.7227,0.6716,0.7497,0.7566,0.7471,0.4980,0.9438,0.7059
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,-8808000,-7101000,-23627000,-27772000,-102507000,-30942000,-29454000,-32706000,-434011000,-474758000,- -
20,Income Before Tax,- -,82841000,203973000,293442000,394776000,392953000,580238000,609530000,640138000,735685000,646678000,541016000
21,Income Before Tax Ratio,- -,0.2490,0.3158,0.3417,0.3758,0.3213,0.4089,0.4020,0.3811,0.3648,0.3209,0.2591
22,Income Tax expense (Gain),- -,29609000,72054000,103031000,138778000,139562000,205313000,-146622000,129303000,148564000,130414000,104384000
23,Net Income,- -,53232000,131919000,190411000,255998000,253391000,374925000,756152000,510835000,587121000,516264000,436632000
24,Net Income ratio,- -,0.1600,0.2043,0.2217,0.2437,0.2072,0.2642,0.4987,0.3041,0.2911,0.2562,0.2091
25,EPS,- -,0.32,0.78,1.13,1.52,1.50,2.22,4.48,3.03,3.48,3.06,2.59
26,EPS Diluted,- -,0.32,0.78,1.13,1.52,1.50,2.22,4.48,3.03,3.48,3.06,2.59
27,Weighted Average Shares Outstanding,- -,168857992,168857992,168857992,168857992,168857992,168857992,168857992,168857992,168857992,168857992,168857992
28,Weighted Average Shares Outstanding Diluted,- -,168857992,168857992,168857992,168857992,168857992,168857992,168857992,168857992,168857992,168857992,168857992
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1487712/000155837019000845/0001558370-19-000845-index.htm,https://www.sec.gov/Archives/edgar/data/1487712/000155837020000836/0001558370-20-000836-index.htm,https://www.sec.gov/Archives/edgar/data/1487712/000155837021001372/0001558370-21-001372-index.htm,https://www.sec.gov/Archives/edgar/data/1487712/000162828022003016/0001628280-22-003016-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,328821000,281805000,230089000,270173000,282819000,156675000,274802000,292204000,300127000,317488000,1734155000,1086500000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,328821000,281805000,230089000,270173000,282819000,156675000,274802000,292204000,300127000,317488000,1734155000,1086500000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,48676000,96157000,106307000,87308000,7469000,16528000,16000000,16078000,22871000,- -,23612000,21792000
37,Total Current Assets,377497000,377962000,336396000,357481000,290288000,173203000,290802000,308282000,322998000,317488000,1757767000,1108292000
38,PP&E,1813176000,4642965000,6816581000,8688158000,10098407000,11884510000,13332601000,14843026000,17516370000,- -,22180469000,24407896000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,8875000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,76734000,143666000,200647000,286965000,386089000,297385000,352213000,462856000,642440000,- -,1276939000,1452534000
45,Total Non-Current Assets,1898785000,4786631000,7017228000,8975123000,10484496000,12181895000,13684814000,15305882000,18158810000,- -,23457408000,25860430000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,21391667000,- -,- -
47,Total Assets,2276282000,5164593000,7353624000,9332604000,10774784000,12355098000,13975616000,15614164000,18481808000,21709155000,25215175000,26968722000
48,Accounts Payable,22054000,54648000,- -,- -,- -,- -,- -,- -,- -,- -,- -,611757000
49,Short-Term Debt,120000000,358000000,420000000,808000000,569000000,720000000,766000000,847000000,602000000,20000000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,8038000,26017000,- -,- -,- -,- -,- -,- -,- -,- -,- -,138816000
52,Other Current Liabilities,-120000000,-358000000,-329831000,-676777000,-378048000,-504017000,-509225000,-537818000,-219868000,- -,492473000,- -
53,Total Current Liabilities,30092000,80665000,90169000,131223000,190952000,215983000,256775000,309182000,382132000,20000000,492473000,750573000
54,Long-Term Debt,911981000,2602799000,4384732000,5853317000,6714362000,7712421000,8713874000,9698785000,11538905000,- -,16518338000,17022480000
55,Deferred Revenue,8038000,26017000,41137000,61520000,75877000,91485000,99385000,104820000,119526000,- -,142915000,- -
56,Deferred Tax Liabilities,- -,20692000,92742000,193263000,323359000,461967000,667060000,517795000,643767000,- -,916404000,1013270000
57,Other Non-Current Liabilities,101236000,258137000,412223000,569847000,698172000,853330000,856335000,856140000,990578000,- -,1072704000,1173831000
58,Total Non-Current Liabilities,1021255000,2907645000,4930834000,6677947000,7811770000,9119203000,10336654000,11177540000,13292776000,- -,18650361000,19209581000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,16065611000,- -,- -
