,https://roic.ai/company/BJ,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , 
1,Revenue,12467553000,12350537000,12754589000,13007347000,13190707000,15430017000,16667302000
2,COGS,10476519000,10223017000,10513492000,10646452000,10763926000,12451061000,13588612000
3,Gross Profit,1991034000,2127520000,2241097000,2360895000,2426781000,2978956000,3078690000
4,Gross Profit Ratio,0.1597,0.1723,0.1757,0.1815,0.1840,0.1931,0.1847
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1804238000,1911501000,2020825000,2057442000,2061282000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1804238000,1911501000,2020825000,2057442000,2061282000,- -,2446465000
9,Other Expenses,-0,0,-0,0,13300000,2336564000,- -
10,Operating Expenses,1804238000,1911501000,2020825000,2057442000,2074582000,2336564000,2446465000
11,COGS and Expenses,12280757000,12134518000,12534317000,12703894000,12838508000,14787625000,16035077000
12,Interest Income ,- -,182000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-150093000,-143351000,-196724000,164535000,108230000,70885000,59444000
14,Depreciation and Amortization,177483000,178325000,164061000,162223000,157000000,167454000,- -
15,EBITDA,63543000,107166000,21311000,465845000,508618000,796194000,617323000
16,EBITDA ratio,0.0051,0.0087,0.0017,0.0358,0.0386,0.0516,0.0370
17,Operating Income,186796000,216019000,220272000,303453000,352199000,642392000,617323000
18,Operating Income ratio,0.0150,0.0175,0.0173,0.0233,0.0267,0.0416,0.0370
19,Total Other Income Expenses (Gains),-150093000,-143351000,-196724000,-164535000,-108230000,-84385000,-59444000
20,Income Before Tax,36703000,72668000,23548000,138918000,243969000,558007000,557879000
21,Income Before Tax Ratio,0.0029,0.0059,0.0018,0.0107,0.0185,0.0362,0.0335
22,Income Tax expense (Gain),12049000,27968000,3673000,11826000,56212000,136825000,131227000
23,Net Income,24104000,44224000,50301000,127261000,187176000,421030000,426652000
24,Net Income ratio,0.0019,0.0036,0.0039,0.0098,0.0142,0.0273,0.0256
25,EPS,0.19,0.35,0.40,1.09,1.37,3.09,3.15
26,EPS Diluted,0.18,0.34,0.38,1.05,1.35,3.03,3.09
27,Weighted Average Shares Outstanding,126053000,126053000,126053000,116599000,136174000,136111000,135386000
28,Weighted Average Shares Outstanding Diluted,130792000,130792000,130792000,121135000,139109000,138876000,138045000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1531152/000153115219000010/0001531152-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1531152/000153115220000014/0001531152-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1531152/000143774921006555/0001437749-21-006555-index.htm,https://www.sec.gov/Archives/edgar/data/1531152/000153115222000007/0001531152-22-000007-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,31964000,34954000,27146000,30204000,43518000,45436000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,31964000,34954000,27146000,30204000,43518000,45436000
34,Net Receivables,- -,166249000,190756000,194300000,206353000,172719000,173951000
35,Inventory,- -,1031844000,1019138000,1052306000,1081502000,1205695000,1242935000
36,Other Current Assets,- -,34338000,91756000,63454000,41961000,48649000,54734000
37,Total Current Assets,- -,1264395000,1336604000,1337206000,1360020000,1470581000,1517056000
38,PP&E,- -,763643000,758750000,748778000,2820267000,2856552000,3101902000
39,Goodwill,- -,924134000,924134000,924134000,924134000,924134000,924134000
40,Intangible Assets,- -,253159000,224876000,200870000,146985000,135123000,124640000
41,Intangible Assets,- -,1177293000,1149010000,1125004000,1071119000,1059257000,1048774000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,92900000,57074000,36937000,46200000,5737000,5507000
44,Other Non-Current Assets,- -,-66012000,-27582000,-8640000,-27826000,19403000,23240000
45,Total Non-Current Assets,- -,1967824000,1937252000,1902079000,3909760000,3940949000,4179423000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3232219000,3273856000,3239285000,5269780000,5411530000,5696479000
48,Accounts Payable,- -,720632000,751948000,816880000,786412000,988074000,1112783000
49,Short-Term Debt,- -,20000000,219750000,254377000,467128000,391513000,2511704000
50,Tax Payable,- -,10058000,16151000,29908000,39104000,44591000,- -
51,Deferred Revenue,- -,- -,- -,134415000,143969000,173698000,- -
52,Other Current Liabilities,- -,459709000,497889000,372016000,403907000,477927000,- -
53,Total Current Liabilities,- -,1200341000,1469587000,1577688000,1801416000,2031212000,3624487000
54,Long-Term Debt,- -,2000118000,2499221000,1575295000,1352538000,2849133000,748568000
55,Deferred Revenue,- -,- -,- -,- -,- -,12579000,- -
56,Deferred Tax Liabilities,- -,- -,- -,36937000,46200000,65689000,52850000
57,Other Non-Current Liabilities,- -,370826000,324467000,251449000,2123970000,133590000,- -
58,Total Non-Current Liabilities,- -,2370944000,2823688000,1863681000,3522708000,3060991000,801418000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,2197717000
60,Capital Lease Obligations,- -,53826000,50953000,42467000,2125771000,2134471000,- -
61,Total Liabilities,- -,3571285000,4293275000,3441369000,5324124000,5092203000,5020786000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,9016000,11309000,1381000,1407000,1434000,1454000
64,Retained Earnings,- -,-356760000,-1036012000,-915113000,-716369000,-295339000,131313000
65,Other Comprehensive Income/Loss,- -,2281000,2401000,-11315000,-26586000,-20528000,1305000
66,Other Total Stockholders Equity,- -,-1748000,-7555000,722963000,687204000,633760000,514036000
67,Total Stockholders Equity,- -,-347211000,-1029857000,-202084000,-54344000,319327000,648108000
68,Total Liabilities And Stockholders Equity,- -,3224074000,3263418000,3239285000,5269780000,5411530000,5668894000
69,Minority Interest,- -,8145000,10438000,- -,- -,- -,27585000
70,Total Liabilities & Equity,- -,3232219000,3273856000,3239285000,5269780000,5411530000,5696479000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1531152/000153115219000010/0001531152-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1531152/000153115220000014/0001531152-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1531152/000143774921006555/0001437749-21-006555-index.htm,https://www.sec.gov/Archives/edgar/data/1531152/000153115222000007/0001531152-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,24104000,44224000,50301000,127261000,187176000,421030000,426652000
74,Depreciation and Amortization,177483000,178325000,164061000,162223000,157000000,167454000,- -
75,Deferred Income Tax,-21428000,-23530000,-35623000,-12314000,10246000,-9197000,- -
76,Stock Based Compensation,2265000,11828000,9102000,57677000,18796000,32150000,- -
77,Change in Working Capital,-36290000,- -,-197037000,-107499000,-200914000,-119235000,-1546800000
78,Accounts Receivable,-2253000,26533000,-24507000,-3976000,-12053000,33634000,- -
79,Inventory,-23660000,30010000,12706000,-33168000,-29196000,-124193000,- -
80,Accounts Payable,12454000,-29277000,36081000,68884000,-20868000,201663000,- -
81,Other Working Capital,64054000,64054000,-132983000,-240482000,-441396000,-560631000,-2107431000
82,Other Non-Cash Items,13227000,86581000,219281000,199755000,182839000,376344000,1951803000
83,Cash Provided by Operating Activities,159361000,297428000,210085000,427103000,355143000,868546000,831655000
84,CAPEX,-112363000,-114756000,-137466000,-145913000,-196901000,-218333000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,21606000,25893000,-304511000
89,Cash Used for Investing Activites,-112363000,-114756000,-137466000,-145913000,-175295000,-192440000,-304511000
90,Debt Repayment,-1888769000,-1352696000,-1498094000,-2527491000,-1516441000,-1578281000,- -
91,Common Stock Issued,- -,- -,- -,690970000,- -,- -,- -
92,Common Stock Repurchased,-950000,-1427000,-1969000,-19109000,-67305000,-106203000,- -
93,Dividends Paid,-25000,-25000,-735518000,-25000,-25000,-25000,- -
94,Other Financing Activites,1843508000,1166030000,2165952000,1566657000,1406981000,1021717000,-525226000
95,Cash Used/Provided by Financing Activities,-46236000,-188118000,-69629000,-288998000,-176790000,-662792000,-525226000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,762000,-5446000,2990000,-7808000,3058000,13314000,1918000
98,Cash at the End of Period,37410000,31964000,34954000,27146000,30204000,43518000,- -
99,Cash at the Beginning of Period,36648000,37410000,31964000,34954000,27146000,30204000,43518000
100,Free Cash Flow,46998000,182672000,72619000,281190000,158242000,650213000,831655000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1531152/000153115219000010/0001531152-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1531152/000153115220000014/0001531152-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1531152/000143774921006555/0001437749-21-006555-index.htm,https://www.sec.gov/Archives/edgar/data/1531152/000153115222000007/0001531152-22-000007-index.htm
102,false,,,,,,,
