,https://roic.ai/company/CYRN,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,700000,1730000,3130000,900000,400000,4300000,19115000,15318000,3438000,329000,1523000,3925000,7234000,11250000,14092000,15189000,18161000,23016000,23910000,32248000,31925000,27762000,30983000,30799000,35900000,38391000,36388000,31187000
2,COGS,110000,330000,460000,170000,-100000,1500000,5855000,14605000,1675000,581000,637000,700000,901000,1411000,1828000,2260000,2918000,4091000,4350000,7201000,8123000,8323000,10042000,11899000,14540000,15557000,14786000,15277000
3,Gross Profit,590000,1400000,2670000,730000,500000,2800000,13260000,713000,1763000,-252000,886000,3225000,6333000,9839000,12264000,12929000,15243000,18925000,19560000,25047000,23802000,19439000,20941000,18900000,21360000,22834000,21602000,15910000
4,Gross Profit Ratio,0.8429,0.8092,0.8530,0.8111,1.2500,0.6512,0.6937,0.0465,0.5128,-0.7660,0.5817,0.8217,0.8754,0.8746,0.8703,0.8512,0.8393,0.8223,0.8181,0.7767,0.7456,0.7002,0.6759,0.6137,0.5950,0.5948,0.5937,0.5101
5,Research and Development Exp.,200000,460000,1480000,1110000,1100000,2900000,10357000,7278000,2246000,1476000,1467000,1524000,1763000,2187000,3152000,2958000,3397000,5410000,6281000,9156000,11222000,8930000,8656000,9825000,16116000,15801000,16083000,17624000
6,General and Administrative Exp.,1240000,1200000,2430000,3030000,2600000,12100000,40206000,24732000,3764000,3183000,5612000,4357000,4985000,6042000,3189000,3063000,3911000,4721000,6639000,10388000,8047000,6326000,6645000,7286000,8343000,10877000,9583000,9283000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3992000,4212000,4575000,5486000,5860000,10886000,11802000,8718000,10814000,15551000,16202000,13825000,11678000,10808000
8,"Selling, General and Administrative Exp.",1240000,1200000,2430000,3030000,2600000,12100000,40206000,24732000,3764000,3183000,5612000,4357000,4985000,6042000,7181000,7275000,8486000,10207000,12499000,21274000,19849000,15044000,17459000,22837000,24545000,24702000,21261000,20091000
9,Other Expenses,- -,- -,- -,-10000,700000,8800000,7558000,28444000,1301000,247000,30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
