,https://roic.ai/company/NBTX,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,1360314,74153,184938,967500,265543,1558101,251968,116000,68000,50000,10000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,5212691,4312015,6025677,8075723,13901898,16915243,16336844,9535000,30411000,24330000,30378000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,18640000,14271000,19434000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,18640000,14271000,19434000
9,Other Expenses,14547,914966,2338680,2511555,3505291,6497551,9182166,-245000,-2204000,-2071000,-2637000
10,Operating Expenses,5227238,5226981,8364357,10587278,17407189,23412794,25519010,9290000,46847000,36530000,47175000
11,COGS and Expenses,5227238,5226981,8364357,10587278,17407189,23412794,25519010,9290000,46847000,36530000,47175000
12,Interest Income ,11525,- -,59058,196648,183218,59492,33026,1172000,105000,4676000,6170000
13,Interest Expense (Gain),30768,77005,24570,55726,59517,102203,108367,1449000,4793000,333000,590000
14,Depreciation and Amortization,197616,146533,233929,307560,456080,482794,403852,619000,1767000,1754000,- -
15,EBITDA,-5018195,-5028469,-7886421,-9113968,-16487487,-21205089,-25631010,-28277000,-44352000,-31494000,-46408000
16,EBITDA ratio,-3.6890,-67.8121,-42.6436,-9.4201,-62.0897,-13.6096,-101.7233,-243.7672,-652.2353,-629.8800,-4640.8000
17,Operating Income,-5227238,-5152827,-8179418,-9619777,-17141647,-21854693,-25267041,-30067000,-46779000,-36428000,-52579000
18,Operating Income ratio,-3.8427,-69.4891,-44.2279,-9.9429,-64.5532,-14.0265,-100.2788,-259.1983,-687.9265,-728.5600,-5257.9000
19,Total Other Income Expenses (Gains),-19341,-99180,34498,142522,138563,64607,-876187,-278000,-4133000,2814000,5580000
20,Income Before Tax,-5246579,-5252007,-8144920,-9477255,-17003084,-21790086,-26143228,-30345000,-50912000,-33614000,-46999000
21,Income Before Tax Ratio,-3.8569,-70.8266,-44.0414,-9.7956,-64.0314,-13.9850,-103.7561,-261.5948,-748.7059,-672.2800,-4699.9000
22,Income Tax expense (Gain),- -,78889,- -,79271,- -,90425,20,- -,3000,9000,5000
23,Net Income,-5246579,-5330896,-8144920,-9556525,-17003084,-21880511,-26143249,-30345000,-50915000,-33590000,-47003000
24,Net Income ratio,-3.8569,-71.8905,-44.0414,-9.8775,-64.0314,-14.0431,-103.7562,-261.5948,-748.7500,-671.8000,-4700.3000
25,EPS,-3.42,-0.65,-0.76,-0.74,-1.20,-1.43,-1.50,-1.55,-2.35,-1.38,-1.35
26,EPS Diluted,-3.42,-0.65,-0.76,-0.74,-1.20,-1.43,-1.50,-1.55,-2.35,-1.38,-1.35
27,Weighted Average Shares Outstanding,1535476,8224408,10753842,12868856,14139173,15278010,17482488,19633373,21631514,24385827,34817037
28,Weighted Average Shares Outstanding Diluted,1535476,8224408,10753842,12868856,14139173,15278010,17482488,19633373,21631514,24385827,34817037
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,898523,12361473,5001565,32986475,17003225,21057998,47212493,36203000,35094000,119151000,83921000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,898523,12361473,5001565,32986475,17003225,21057998,47212493,36203000,35094000,119151000,83921000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,8363000,3880000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1434331,1177953,1892157,2518185,5944714,5832303,5896183,6448000,2670000,2217000,9139000
37,Total Current Assets,2332854,13539426,6893722,35504660,22947939,26890301,53108676,42651000,46127000,125248000,93060000
38,PP&E,510787,416126,467728,1291810,2431549,2431848,2990255,2884000,9386000,8256000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,6515,- -,9073,9941,7525,4453,135968,102000,163000,21000,- -
41,Intangible Assets,6515,- -,9073,9941,7525,4453,135968,102000,163000,21000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,131000,105000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,63162,68602,68145,247353,1031182,1076141,1231792,558000,398000,400000,8709000
