,https://roic.ai/company/PTON,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,218600000,435000000,915000000,1825900000,4021900000
2,COGS,144700000,245400000,531400000,989100000,2569800000
3,Gross Profit,73900000,189600000,383600000,836800000,1452100000
4,Gross Profit Ratio,0.3381,0.4359,0.4192,0.4583,0.3610
5,Research and Development Exp.,13000000,23400000,54800000,89000000,247800000
6,General and Administrative Exp.,45600000,62400000,207000000,351600000,662400000
7,Selling and Marketing Exp.,86000000,151400000,324000000,477000000,729700000
8,"Selling, General and Administrative Exp.",131600000,213800000,531000000,828600000,1392100000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,144600000,237200000,585800000,917600000,1639900000
11,COGS and Expenses,289300000,482600000,1117200000,1906700000,4209700000
12,Interest Income ,- -,- -,- -,16200000,7900000
13,Interest Expense (Gain),- -,300000,- -,- -,14800000
14,Depreciation and Amortization,3700000,6600000,21700000,40200000,63800000
15,EBITDA,-67400000,-40900000,-174000000,-28100000,-119600000
16,EBITDA ratio,-0.3083,-0.0940,-0.1902,-0.0154,-0.0297
17,Operating Income,-70700000,-47500000,-202300000,-80800000,-187800000
18,Operating Income ratio,-0.3234,-0.1092,-0.2211,-0.0443,-0.0467
19,Total Other Income Expenses (Gains),-400000,-300000,6700000,12400000,-10400000
20,Income Before Tax,-71100000,-47800000,-195600000,-68400000,-198200000
21,Income Before Tax Ratio,-0.3253,-0.1099,-0.2138,-0.0375,-0.0493
22,Income Tax expense (Gain),- -,100000,-100000,3300000,-9200000
23,Net Income,-71100000,-47900000,-195600000,-71600000,-189000000
24,Net Income ratio,-0.3253,-0.1101,-0.2138,-0.0392,-0.0470
25,EPS,-0.70,-0.21,-0.84,-0.32,-0.64
26,EPS Diluted,-0.70,-0.21,-0.84,-0.32,-0.64
27,Weighted Average Shares Outstanding,233552393,233552393,233552393,220952237,293892643
28,Weighted Average Shares Outstanding Diluted,233552393,233552393,233552393,220952237,293892643
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1639825/000163982520000122/0001639825-20-000122-index.htm,https://www.sec.gov/Archives/edgar/data/1639825/000163982521000256/0001639825-21-000256-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,150600000,162100000,1035500000,1134800000
32,Short-Term Investments,- -,- -,216000000,719500000,472000000
