,https://roic.ai/company/ECOR,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,254138,811457,992953,2390279,3495832,5451192
2,COGS,123731,518532,578743,1156957,1737539,1385003
3,Gross Profit,130407,292925,414210,1233322,1758293,4066189
4,Gross Profit Ratio,0.5131,0.3610,0.4171,0.5160,0.5030,0.7459
5,Research and Development Exp.,7971342,7830868,12466172,9902254,4201279,2535864
6,General and Administrative Exp.,- -,- -,42501562,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,42501562,35422301,21840919,21573431
9,Other Expenses,7169305,18106647,- -,- -,- -,- -
10,Operating Expenses,15140647,25937515,54967734,45324555,26042198,24109295
11,COGS and Expenses,15264378,26456047,55546477,46481512,27779737,25494298
12,Interest Income ,- -,99027,1006332,- -,84327,10678
13,Interest Expense (Gain),771245,7123171,- -,970594,84327,10678
14,Depreciation and Amortization,53425,32306,66663,249583,399242,381509
15,EBITDA,-14912669,-28636945,-55751366,-43910007,-24198371,-17677053
16,EBITDA ratio,-58.6794,-35.2908,-56.1470,-18.3702,-6.9221,-3.2428
17,Operating Income,-15010240,-25644590,-54553524,-46088525,-24748511,-20043106
18,Operating Income ratio,-59.0633,-31.6031,-54.9407,-19.2817,-7.0794,-3.6768
19,Total Other Income Expenses (Gains),-771245,-10384190,-1209500,958341,66571,1973866
20,Income Before Tax,-15781485,-36028780,-55763024,-45130184,-24681940,-18069240
21,Income Before Tax Ratio,-62.0981,-44.4001,-56.1588,-18.8807,-7.0604,-3.3147
22,Income Tax expense (Gain),- -,- -,2431,17699,-1170890,-851170
23,Net Income,-15737339,-35792422,-55820460,-45147883,-23511050,-17218070
24,Net Income ratio,-61.9244,-44.1088,-56.2166,-18.8881,-6.7255,-3.1586
25,EPS,-0.10,-0.12,-1.19,-1.54,-0.60,-0.29
26,EPS Diluted,-0.10,-0.12,-1.19,-1.54,-0.60,-0.29
27,Weighted Average Shares Outstanding,150566206,308297737,29261943,29379975,38998698,59177718
28,Weighted Average Shares Outstanding Diluted,150566206,308297737,29261943,29379975,38998698,59177718
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1560258/000156459019009725/0001564590-19-009725-index.htm,https://www.sec.gov/Archives/edgar/data/1560258/000156459020014245/0001564590-20-014245-index.htm,https://www.sec.gov/Archives/edgar/data/1560258/000121390021014871/0001213900-21-014871-index.htm,https://www.sec.gov/Archives/edgar/data/1560258/000119380522000499/0001193805-22-000499-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,416336,13224194,7600284,13563791,4241937,34688880
32,Short-Term Investments,- -,23950566,60963087,10495350,18386160,- -
33,Cash and Short-Term Investments,416336,37174760,68563371,24059141,22628097,34688880
34,Net Receivables,24710,103209,267599,496140,270546,438243
35,Inventory,48471,327787,1949402,890992,841617,1360594
36,Other Current Assets,16422,1427650,1918164,1087111,1323407,1053572
37,Total Current Assets,505939,39033406,72698536,26533384,25063667,37541289
38,PP&E,48426,168646,380904,1775877,761304,759848
39,Goodwill,- -,- -,- -,- -,- -,- -
