,https://roic.ai/company/RIOT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1123269,745427,650575,804101,859921,1140209,848896,821442,504819,370229,281599,62128,140688,262654,198086,106115,269657,7845332,6837000,12081000,213243000
2,COGS,161160,662817,518493,475676,508612,756706,615632,581676,205388,358094,16345,592,21193,71470,30586,3058,25186,5819925,6097000,6251000,82093000
3,Gross Profit,962109,82610,132082,328425,351309,383503,233264,239766,299431,12135,265254,61536,119495,191184,167500,103057,244471,2025407,740000,5830000,131150000
4,Gross Profit Ratio,0.8565,0.1108,0.2030,0.4084,0.4085,0.3363,0.2748,0.2919,0.5931,0.0328,0.9420,0.9905,0.8494,0.7279,0.8456,0.9712,0.9066,0.2582,0.1082,0.4826,0.6150
5,Research and Development Exp.,160943,622460,540292,561141,850137,1412282,2667203,6025275,8713697,6019373,5666221,3838375,6706174,4034580,2159137,862784,20033,- -,- -,- -,- -
6,General and Administrative Exp.,- -,387202,877562,1113142,1384858,1973006,4011753,4433422,6630908,7510718,5575221,5184823,5516504,6559640,6757074,5569303,7309096,20857078,9159000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,387202,877562,1113142,1384858,1973006,4011753,4433422,6630908,7510718,5575221,5184823,5516504,6559640,6757074,5569303,7309096,20857078,9159000,- -,87429000
9,Other Expenses,604168,- -,- -,426458,18542,-50000,- -,-47960,- -,- -,- -,- -,- -,- -,- -,- -,890889,5267372,119000,14745000,- -
10,Operating Expenses,765111,1009662,1417854,2100741,2253537,3335288,6678956,10410737,15344605,13530091,11241442,9023198,12222678,10594220,8916211,6432087,8220018,26124450,9278000,14745000,87429000
11,COGS and Expenses,926271,1672479,1936347,2576417,2762149,4091994,7294588,10992413,15549993,13888185,11257787,9023790,12243871,10665690,8946797,6435145,8245204,31944375,15375000,20996000,235602000
12,Interest Income ,- -,7522,3437,4564,43555,88912,451802,746093,189429,61696,16424,- -,- -,- -,- -,126296,104886,- -,- -,85000,- -
13,Interest Expense (Gain),84814,134411,353342,323824,255116,245958,241608,228548,200136,194482,196933,248629,96125,116180,98964,30408,4806637,122973,122000,- -,-296000
14,Depreciation and Amortization,103196,170293,293735,673015,249927,244663,298852,319578,174256,423766,428336,430228,326534,288751,253818,239330,890889,5267372,119000,4861000,- -
15,EBITDA,300194,-924845,-1070100,-1094737,-1608746,-2618210,-5660066,-9020193,-15143173,-12719471,-9588532,-8533358,-11725996,-10038155,-8404783,-4003099,-15757347,-53316428,-19941000,-7813000,-8476000
16,EBITDA ratio,0.2673,-1.2407,-1.6449,-1.3614,-1.8708,-2.2963,-6.6676,-10.9809,-29.9972,-34.3557,-34.0503,-137.3512,-83.3475,-38.2182,-42.4300,-37.7242,-58.4348,-6.7959,-2.9166,-0.6467,-0.0397
17,Operating Income,196998,-927052,-1285772,-1772316,-1902228,-2951785,-6445692,-10170971,-15549993,-13449562,-10976188,-8961662,-12103183,-10403036,-8748711,-6307133,-13150843,-59365521,-10082000,-19317000,-22359000
18,Operating Income ratio,0.1754,-1.2437,-1.9764,-2.2041,-2.2121,-2.5888,-7.5930,-12.3818,-30.8031,-36.3277,-38.9781,-144.2451,-86.0285,-39.6074,-44.1662,-59.4368,-48.7688,-7.5670,-1.4746,-1.5990,-0.1049
19,Total Other Income Expenses (Gains),-84814,-302497,-431405,-319260,- -,50000,34972,133067,43135,244629,942896,-250553,-45472,-40050,-8854,2034296,-4886125,-1642139,-10364000,6650000,14179000
20,Income Before Tax,112184,-1229549,-1717177,-2091576,- -,- -,- -,- -,- -,- -,- -,-9212215,-12148655,-10443086,-8757565,-4272837,-18036968,-61007660,-20446000,-12667000,-8180000
21,Income Before Tax Ratio,0.0999,-1.6495,-2.6395,-2.6011,- -,- -,- -,- -,- -,- -,- -,-148.2780,-86.3517,-39.7599,-44.2109,-40.2661,-66.8886,-7.7763,-2.9905,-1.0485,-0.0384
22,Income Tax expense (Gain),11000,-5298,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1609000,-699000,-143000,- -,-254000
23,Net Income,101184,-1224251,-1717177,-2091576,-2113789,-3108831,-6200526,-9568319,-15517565,-13337719,-10213801,-9212215,-12148655,-10443086,-8757565,-4272837,-19845873,-58007773,-20039000,-12674000,-7926000
24,Net Income ratio,0.0901,-1.6423,-2.6395,-2.6011,-2.4581,-2.7265,-7.3042,-11.6482,-30.7389,-36.0256,-36.2707,-148.2780,-86.3517,-39.7599,-44.2109,-40.2661,-73.5967,-7.3939,-2.9310,-1.0491,-0.0372
25,EPS,2.40,-31.20,-45.60,-45.60,-36.00,-43.20,-57.60,-74.40,-112.80,-81.60,-60.96,-14.72,-5.76,-2.88,-2.24,-1.05,-3.30,-4.33,-1.02,-0.30,-0.08
26,EPS Diluted,2.40,-31.20,-45.60,-45.60,-36.00,-43.20,-57.60,-74.40,-112.80,-81.60,-60.96,-14.72,-5.76,-2.88,-2.24,-1.05,-3.30,-4.33,-1.02,-0.30,-0.08
27,Weighted Average Shares Outstanding,38750,38350,38499,45566,59952,72501,109076,129887,138205,163532,167348,624603,2118612,3579084,3873753,4065406,6019817,13403846,19597977,41976704,96064036
28,Weighted Average Shares Outstanding Diluted,38750,38350,38499,45566,59952,72501,109076,129887,138205,163532,167348,624603,2118612,3579084,3873753,4065406,6019817,13403846,19597977,41976704,96064036
