,https://roic.ai/company/ZEAL,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,59921000,56262000,25319000,87357000,142284000,223565000,6574000,153773000,187677000,234778000,139775000,37977000,41333000,353314000,292567000
2,COGS,- -,- -,- -,- -,112000,15933000,872000,13776000,22267000,31459000,14629000,180238000,415000,90565000,118814000
3,Gross Profit,59921000,56262000,- -,- -,142172000,207632000,5702000,139997000,165410000,203319000,125146000,-142261000,40918000,262749000,173753000
4,Gross Profit Ratio,1.0000,1.0000,- -,- -,0.9992,0.9287,0.8674,0.9104,0.8814,0.8660,0.8953,-3.7460,0.9900,0.7437,0.5939
5,Research and Development Exp.,105144000,85763000,93093000,151278000,126938000,182759000,164467000,180036000,214959000,268159000,324667000,438215000,561423000,604081000,588453000
6,General and Administrative Exp.,17544000,15308000,16122000,39732000,34905000,27611000,34155000,39826000,44606000,52503000,47470000,78001000,67881000,202770000,260987000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,285256000,375269000
8,"Selling, General and Administrative Exp.",17544000,15308000,16122000,39732000,34905000,27611000,34155000,39826000,44606000,52503000,47470000,78001000,67881000,488026000,636256000
9,Other Expenses,-240000,-120000,-3971000,5043000,-28435000,-35135000,-7302000,-6328000,-12828000,-1697000,-607000,-630000,-444000,-602000,-759000
10,Operating Expenses,122448000,100951000,105244000,196053000,133408000,175235000,191320000,213534000,246737000,318965000,371530000,515586000,628860000,1091505000,1223950000
11,COGS and Expenses,122448000,100951000,105244000,196053000,133520000,191168000,192192000,227310000,269004000,350424000,386159000,695824000,629275000,1182070000,1342764000
12,Interest Income ,- -,- -,4319000,4125000,6564000,5627000,3044000,719000,139000,592000,2048000,4263000,5413000,895000,44000
13,Interest Expense (Gain),- -,- -,104000,63000,1951000,186000,81000,2017000,32705000,32157000,18913000,15080000,3205000,2895000,4091000
14,Depreciation and Amortization,- -,- -,3686000,- -,4129000,5319000,5911000,5932000,6215000,5410000,4757000,4508000,13682000,42692000,40249000
15,EBITDA,-55000000,-33732000,-71920000,-104571000,19457000,41877000,-177684000,-64541000,-80912000,-121843000,-254101000,644644000,-559790000,-794066000,-982600000
16,EBITDA ratio,-0.9179,-0.5996,-2.8406,-1.1971,0.1367,0.1873,-27.0283,-0.4197,-0.4311,-0.5190,-1.8179,16.9746,-13.5434,-2.2475,-3.3585
17,Operating Income,-62527000,-44689000,-79925000,-108696000,8764000,32397000,-185618000,-73537000,-81327000,-115646000,-246384000,652390000,-587942000,-792361000,-1052370000
18,Operating Income ratio,-1.0435,-0.7943,-3.1567,-1.2443,0.0616,0.1449,-28.2352,-0.4782,-0.4333,-0.4926,-1.7627,17.1786,-14.2245,-2.2427,-3.5970
19,Total Other Income Expenses (Gains),7527000,10957000,4215000,4062000,4613000,3975000,1942000,1047000,-38505000,-43764000,-31387000,-27334000,11265000,-47292000,25430000
20,Income Before Tax,-55000000,-33732000,-75710000,-104634000,13377000,36372000,-183676000,-72490000,-119832000,-159410000,-277771000,625056000,-576677000,-839653000,-1026940000
21,Income Before Tax Ratio,-0.9179,-0.5996,-2.9902,-1.1978,0.0940,0.1627,-27.9398,-0.4714,-0.6385,-0.6790,-1.9873,16.4588,-13.9520,-2.3765,-3.5101
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,-7500000,-5875000,-5500000,-5500000,43774000,-5136000,7076000,-8791000
23,Net Income,-55000000,-33732000,-75710000,-104634000,13377000,36372000,-183676000,-64990000,-113957000,-153910000,-272271000,581282000,-571541000,-846729000,-1018149000
24,Net Income ratio,-0.9179,-0.5996,-2.9902,-1.1978,0.0940,0.1627,-27.9398,-0.4226,-0.6072,-0.6556,-1.9479,15.3062,-13.8277,-2.3965,-3.4801
25,EPS,-3.21,-1.97,-4.41,-5.92,0.60,1.61,-8.10,-2.87,-4.82,-6.33,-9.77,18.94,-16.91,-22.07,-26.54
26,EPS Diluted,-3.21,-1.97,-4.41,-5.92,0.60,1.60,-8.10,-2.87,-4.82,-6.33,-9.77,18.94,-16.91,-22.07,-26.54
27,Weighted Average Shares Outstanding,17682069,17682069,17682069,22870523,22887312,22628824,22628824,22628824,23639434,24309717,27854048,30690725,33802486,38369700,38369700
28,Weighted Average Shares Outstanding Diluted,17682069,17682069,17682069,22870523,22887312,22732500,22628824,22628824,23639434,24309717,27854048,30696404,33802486,38369700,38369700
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,246299000,209681000,144617000,383305000,278342000,358922000,286178000,538273000,418796000,323330000,588718000,860635000,1081060000,860772000,1129103000
32,Short-Term Investments,4464000,2397000,1034000,52997000,149358000,126940000,24383000,- -,- -,- -,75111000,298611000,299448000,297345000,299042000
33,Cash and Short-Term Investments,250763000,212078000,145651000,436302000,427700000,485862000,310561000,538273000,418796000,323330000,663829000,1159246000,1380508000,1158117000,1428145000
34,Net Receivables,- -,- -,- -,- -,20334000,7515000,10078000,34954000,173108000,22389000,32111000,7837000,15787000,12695000,110389000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45700000,118436000
36,Other Current Assets,710000,1078000,1013000,1280000,1080000,3648000,3642000,2209000,23665000,27454000,7253000,11740000,30755000,28517000,64626000
37,Total Current Assets,251473000,213156000,146664000,437582000,449114000,497025000,324281000,575436000,615569000,373173000,703193000,1178823000,1427050000,1245029000,1721596000
