,https://roic.ai/company/COLD,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,1509598000,1481385000,1489999000,1543587000,1603635000,1783705000,1987727000,2714790000
2,COGS,- -,- -,- -,1187079000,1144365000,1144354000,1169482000,1197986000,1305448000,1436229000,2085123000
3,Gross Profit,- -,- -,- -,322519000,337020000,345645000,374105000,405649000,478257000,551498000,629667000
4,Gross Profit Ratio,- -,- -,- -,0.2136,0.2275,0.2320,0.2424,0.2530,0.2681,0.2775,0.2319
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,83822000,91222000,100238000,113807000,114760000,129310000,144738000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,83822000,91222000,100238000,113807000,114760000,129310000,144738000,182076000
9,Other Expenses,- -,- -,- -,132679000,125720000,118571000,116741000,117653000,163348000,215891000,2459853000
10,Operating Expenses,- -,- -,- -,216501000,216942000,218809000,230548000,232413000,292658000,360629000,2641929000
11,COGS and Expenses,- -,- -,- -,1403580000,1361307000,1363163000,1400030000,1430399000,1598106000,1796858000,4727052000
12,Interest Income ,- -,- -,- -,717000,724000,708000,1074000,3996000,6286000,1162000,841000
13,Interest Expense (Gain),- -,- -,- -,114223000,116710000,119552000,114898000,93312000,94408000,91481000,-99177000
14,Depreciation and Amortization,- -,- -,- -,133309000,126240000,118767000,116892000,117804000,163499000,216043000,4425000
15,EBITDA,- -,- -,- -,214915000,231411000,249130000,240575000,255482000,300912000,325137000,-126630000
16,EBITDA ratio,- -,- -,- -,0.1424,0.1562,0.1672,0.1559,0.1593,0.1687,0.1636,-0.0466
17,Operating Income,- -,- -,- -,106018000,110663000,117016000,134084000,179960000,131466000,168451000,72861000
18,Operating Income ratio,- -,- -,- -,0.0702,0.0747,0.0785,0.0869,0.1122,0.0737,0.0847,0.0268
19,Total Other Income Expenses (Gains),- -,- -,- -,-138690000,-121605000,-117803000,-125342000,-135594000,-88461000,-150823000,-104739000
20,Income Before Tax,- -,- -,- -,-32672000,-10942000,-787000,8742000,44366000,43005000,17628000,-31878000
21,Income Before Tax Ratio,- -,- -,- -,-0.0216,-0.0074,-0.0005,0.0057,0.0277,0.0241,0.0089,-0.0117
22,Income Tax expense (Gain),- -,- -,- -,9817000,9637000,5879000,9393000,-3619000,-5157000,-6927000,1569000
23,Net Income,- -,- -,- -,-42434000,-21176000,4932000,-608000,47985000,48162000,24540000,-33447000
24,Net Income ratio,- -,- -,- -,-0.0281,-0.0143,0.0033,-0.0004,0.0299,0.0270,0.0123,-0.0123
25,EPS,- -,- -,- -,-0.52,-0.73,-0.18,-0.43,0.31,0.26,0.11,-0.13
26,EPS Diluted,- -,- -,- -,-0.52,-0.73,-0.18,-0.43,0.31,0.26,0.11,-0.13
27,Weighted Average Shares Outstanding,- -,- -,- -,138037685,69758000,138037685,70022000,141415000,179598000,203255000,261865000
28,Weighted Average Shares Outstanding Diluted,- -,- -,- -,138037685,69758000,138037685,70022000,144338000,183950000,206940000,262550000
29,SEC Link,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1455863/000162828018003829/0001628280-18-003829-index.htm,https://www.sec.gov/Archives/edgar/data/1455863/000162828019001983/0001628280-19-001983-index.htm,https://www.sec.gov/Archives/edgar/data/1455863/000162828020002690/0001628280-20-002690-index.htm,https://www.sec.gov/Archives/edgar/data/1455863/000162828021003613/0001628280-21-003613-index.htm,https://www.sec.gov/Archives/edgar/data/1455863/000162828022004487/0001628280-22-004487-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,33431000,22834000,48873000,208078000,234303000,609537000,82958000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,33431000,22834000,48873000,208078000,234303000,609537000,82958000
34,Net Receivables,- -,- -,- -,- -,183367000,199751000,217876000,217139000,235398000,346931000,380014000
35,Inventory,- -,- -,- -,- -,- -,- -,10396000,7875000,9371000,21514000,- -
36,Other Current Assets,- -,- -,- -,- -,47977000,40096000,46198000,18551000,17655000,35838000,-82958000
37,Total Current Assets,- -,- -,- -,- -,264775000,262681000,323343000,451643000,496727000,1013820000,380014000
