,https://roic.ai/company/MMYT,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,38330925,68551701,83560206,124721387,196599258,228821945,255374611,299662000,336054000,447616000,675256000,486011000,511529000,163440000
2,COGS,21823844,43560968,43277708,63650910,108414344,140656774,148979551,160713000,167034000,173919000,175877000,173412000,154320000,22308000
3,Gross Profit,16507081,24990733,40282498,61070477,88184914,88165171,106395060,138949000,169020000,273697000,499379000,312599000,357209000,141132000
4,Gross Profit Ratio,0.4306,0.3646,0.4821,0.4897,0.4486,0.3853,0.4166,0.4637,0.5030,0.6115,0.7395,0.6432,0.6983,0.8635
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,13133286,14283922,21308797,41723248,64333098,46354212,48273037,56586000,62343000,96884000,138145000,137048000,150302000,105661000
7,Selling and Marketing Exp.,12215674,8732620,9674728,12488906,16984856,19690015,27884856,42724000,108966000,224424000,451818000,192080000,166603000,22741000
8,"Selling, General and Administrative Exp.",25348960,23016542,30983525,54212154,81317954,66044227,76157893,99310000,171309000,321308000,589963000,329128000,316905000,128402000
9,Other Expenses,7444894,12354289,15283261,2712925,2790154,40112622,46807772,54078000,61991000,72563000,125555000,136464000,198235000,80413000
10,Operating Expenses,32793854,35370831,46266786,56925079,84108108,106156849,122965665,153388000,233300000,393871000,715518000,465592000,515140000,208815000
11,COGS and Expenses,54617698,78931799,89544494,120575989,192522452,246813623,271945216,314101000,400334000,567790000,891395000,639004000,669460000,231123000
12,Interest Income ,860546,1309141,1620965,1601750,1987904,3783735,2441764,3168000,1586000,2841000,5189000,6459000,3332000,7182000
13,Interest Expense (Gain),1138456,1555887,1346896,3525685,919451,136622,148836,242000,3838000,8574000,422000,299000,2888000,4798000
14,Depreciation and Amortization,1107546,1558687,1569747,1910637,2790154,3752743,5692145,7955000,8756000,14535000,29838000,26817000,33682000,33010000
15,EBITDA,-16651664,-4256750,-3281168,7572072,4815394,-15104133,-15014829,-9920000,-75769000,-86866000,-188061000,-141383000,-411240000,-22338000
16,EBITDA ratio,-0.4344,-0.0621,-0.0393,0.0607,0.0245,-0.0660,-0.0588,-0.0331,-0.2255,-0.1941,-0.2785,-0.2909,-0.8039,-0.1367
17,Operating Income,-16288650,-10617630,-6009789,4061905,4005360,-18062004,-15321590,-14540000,-66827000,-135387000,-219439000,-152940000,-429410000,-67683000
18,Operating Income ratio,-0.4249,-0.1549,-0.0719,0.0326,0.0204,-0.0789,-0.0600,-0.0485,-0.1989,-0.3025,-0.3250,-0.3147,-0.8395,-0.4141
19,Total Other Income Expenses (Gains),-2611191,3244123,-188770,-1923935,-3035150,-928053,-5505454,-3683000,-21560000,25277000,-710000,-15683000,-18136000,7134000
20,Income Before Tax,-18899841,-7373507,-6198559,2137970,970210,-18990057,-20827044,-18223000,-88387000,-110110000,-220149000,-168623000,-447546000,-60549000
21,Income Before Tax Ratio,-0.4931,-0.1076,-0.0742,0.0171,0.0049,-0.0830,-0.0816,-0.0608,-0.2630,-0.2460,-0.3260,-0.3470,-0.8749,-0.3705
22,Income Tax expense (Gain),-4476,-25291,8428,-2691721,-6078146,8599023,78520,135000,155000,193000,91000,-740000,-29000,-4507000
23,Net Income,-18893190,-7346033,-6206239,4827471,7183935,-27592521,-20934330,-18252000,-88518000,-110168000,-218412000,-167759000,-447781000,-55639000
24,Net Income ratio,-0.4929,-0.1072,-0.0743,0.0387,0.0365,-0.1206,-0.0820,-0.0609,-0.2634,-0.2461,-0.3235,-0.3452,-0.8754,-0.3404
25,EPS,-0.59,-0.38,-0.18,0.17,0.20,-0.74,-0.55,-0.44,-2.12,-2.09,-2.18,-1.61,-4.26,-0.52
26,EPS Diluted,-0.59,-0.38,-0.18,0.15,0.19,-0.74,-0.55,-0.44,-2.12,-2.09,-2.18,-1.61,-4.26,-0.52
27,Weighted Average Shares Outstanding,26980680,29761580,29845580,28320901,36682240,37315434,37832246,41808897,41714518,52607986,100394080,103989421,105190507,106797245
28,Weighted Average Shares Outstanding Diluted,26980680,29761580,29845580,34950246,38234070,37315434,37832246,41808897,41714518,52607986,100394080,103989421,105190507,106797245
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1495153/000095012311082290/c22065e20vf.htm,https://www.sec.gov/Archives/edgar/data/1495153/000119312512282140/d366695d20f.htm,https://www.sec.gov/Archives/edgar/data/1495153/000119312513257629/0001193125-13-257629-index.html,https://www.sec.gov/Archives/edgar/data/1495153/000119312514228441/0001193125-14-228441-index.html,https://www.sec.gov/Archives/edgar/data/1495153/000119312515217553/0001193125-15-217553-index.html,https://www.sec.gov/Archives/edgar/data/1495153/000119312516621250/0001193125-16-621250-index.html,https://www.sec.gov/Archives/edgar/data/1495153/000119312517230315/d378697d20f.htm,https://www.sec.gov/Archives/edgar/data/1495153/000156459018015847/0001564590-18-015847-index.html,https://www.sec.gov/Archives/edgar/data/1495153/000156459019025532/mmyt-20f_20190331.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,5471639,9341526,67965368,43798230,36501478,38011775,49857000,53434000,101704000,187647000,177990000,129881000,295066000
32,Short-Term Investments,- -,8285920,13175915,- -,- -,47203717,29513593,92628000,148555000,75511000,202170000,133994000,37823000,129825000
33,Cash and Short-Term Investments,- -,13757559,22517441,67965368,43798230,83705195,67525368,142485000,201989000,177215000,389817000,311984000,167704000,424891000
34,Net Receivables,- -,5984187,12978582,12257102,26483474,32825882,30556907,29039000,28291000,35189000,73511000,54923000,57854000,25179000
35,Inventory,- -,757137,- -,- -,2367548,1522693,515663,1997000,527000,251000,596000,606000,36000,40000
36,Other Current Assets,- -,3729579,7532087,21707460,65873509,23848188,34739530,40346000,51194000,50534000,76662000,73132000,53428000,51069000
37,Total Current Assets,- -,24228462,43028110,101929930,138522761,141901958,133337468,213867000,282001000,263189000,540586000,440645000,279022000,501179000
38,PP&E,- -,3461457,3748180,3762598,7064373,9203826,8532640,8900000,10285000,15334000,13690000,13499000,35997000,22159000
39,Goodwill,- -,- -,- -,- -,2582517,13468995,13509689,13293000,13338000,996810000,994729000,936698000,607248000,- -
40,Intangible Assets,- -,1954281,2024059,2796840,5766886,21518022,25730853,22707000,21548000,173917000,152788000,132178000,114742000,- -
41,Intangible Assets,- -,1954281,2024059,2796840,8349403,34987017,39240542,36000000,34886000,1170727000,1147517000,1068876000,721990000,720907000
42,Investments,- -,7752978,1295489,- -,5254755,7164321,80752211,8498000,44160000,44165000,22651000,11045000,9253000,35813000
43,Tax Assets,- -,- -,- -,2924308,8892842,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,500982,537614,1525961,2107278,1363020,7974155,13140000,29657000,51369000,41012000,36221000,36949000,28952000
45,Total Non-Current Assets,- -,13669698,7605342,11009707,31668651,52718184,136499548,66538000,118988000,1281595000,1224870000,1129641000,804189000,807831000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,37898160,50633452,112939637,170191412,194620142,269837016,280405000,400989000,1544784000,1765456000,1570286000,1083211000,1309010000
48,Accounts Payable,- -,7523018,13987959,13159344,25437805,47083699,36129190,42246000,33164000,38903000,74814000,69204000,21018000,53581000
49,Short-Term Debt,- -,- -,- -,3916611,82083,974831,96422,121000,9171000,226000,228000,233000,333000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,3320853,6872806,9669424,10951651,21886300,35092951,48580000,49867000,43628000,64866000,70497000,33600000,33723000
52,Other Current Liabilities,- -,51063197,51805829,8599085,12582011,14198980,24754289,25537000,31874000,51645000,60064000,64636000,124920000,106890000
53,Total Current Liabilities,- -,61907068,72666594,35344464,49053550,84143810,96072852,116484000,124076000,134402000,199972000,204570000,179871000,194194000
54,Long-Term Debt,- -,522,89288,148923,177280,228668,178739,354000,195283000,523000,424000,474000,698000,201616000
55,Deferred Revenue,- -,2320399,1852679,- -,- -,- -,2353593,3147000,1407000,265000,91000,372000,1548000,453000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,383444,277096,226000,203000,159000,115000,601000,1777000,3864000
57,Other Non-Current Liabilities,- -,903630,975936,1170370,2168793,7870269,8655211,2340000,2411000,3973000,5922000,6901000,37025000,17696000
58,Total Non-Current Liabilities,- -,3224551,2917903,1319293,2346073,8482381,11464639,6067000,199304000,4920000,6552000,8348000,41048000,223629000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,75733,92732,- -,- -,82914,42952,24000,7000,- -,- -,- -,24553000,15646000
61,Total Liabilities,- -,65131619,75584497,36663757,51399623,92626191,107537491,122551000,323380000,139322000,206524000,212918000,220919000,417823000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,8714,8767,17546,18576,18797,20836,21000,21000,46000,52000,52000,52000,53000
64,Retained Earnings,- -,-36295338,-42510416,-38024060,-31827379,-60964228,-81806068,-100181000,-188217000,-298581000,-515850000,-682054000,-1147597000,-1203334000
65,Other Comprehensive Income/Loss,- -,-1533772,-2694702,-3557531,-3596860,-4897562,-6246609,-7366000,-8960000,-9145000,-12377000,-14861000,-20863000,- -
66,Other Total Stockholders Equity,- -,10582876,20240916,117839925,154121832,167142894,249616861,264784000,274765000,1712481000,2086809000,2054038000,2026645000,2090801000
67,Total Stockholders Equity,- -,-27237520,-24955435,76275880,118716169,101299901,161585020,157258000,77609000,1404801000,1558634000,1357175000,858237000,887520000
68,Total Liabilities And Stockholders Equity,- -,37894099,50629062,112939637,170115792,193926092,269122511,279809000,400989000,1544123000,1765158000,1570093000,1079156000,1305343000
69,Minority Interest,- -,4061,4390,- -,75620,694050,714505,596000,- -,661000,298000,193000,4055000,3667000
70,Total Liabilities & Equity,- -,37898160,50633452,112939637,170191412,194620142,269837016,280405000,400989000,1544784000,1765456000,1570286000,1083211000,1309010000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1495153/000095012311082290/c22065e20vf.htm,https://www.sec.gov/Archives/edgar/data/1495153/000119312512282140/d366695d20f.htm,https://www.sec.gov/Archives/edgar/data/1495153/000119312513257629/0001193125-13-257629-index.html,https://www.sec.gov/Archives/edgar/data/1495153/000119312514228441/0001193125-14-228441-index.html,https://www.sec.gov/Archives/edgar/data/1495153/000119312515217553/0001193125-15-217553-index.html,https://www.sec.gov/Archives/edgar/data/1495153/000119312516621250/0001193125-16-621250-index.html,https://www.sec.gov/Archives/edgar/data/1495153/000119312517230315/d378697d20f.htm,https://www.sec.gov/Archives/edgar/data/1495153/000156459018015847/0001564590-18-015847-index.html,https://www.sec.gov/Archives/edgar/data/1495153/000156459019025532/mmyt-20f_20190331.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-18893190,-7346033,-6206239,4827471,7183935,-27592521,-20934330,-18252000,-88518000,-110168000,-218412000,-167759000,-447781000,-55639000
74,Depreciation and Amortization,1107546,1558687,1569747,1910637,2790154,3752743,5692145,7955000,8756000,14535000,29838000,26817000,33682000,33010000
75,Deferred Income Tax,2147,5172,2838,- -,- -,8599023,78520,135000,155000,193000,91000,-740000,-29000,- -
76,Stock Based Compensation,319238,415704,6771376,527285,6894450,11667188,11096803,12308000,13685000,26795000,44860000,40033000,41631000,- -
77,Change in Working Capital,-1163495,5499339,2792374,-9830865,714978,18220530,-2172759,8817000,-20299000,-27437000,21174000,16039000,-52146000,65116000
78,Accounts Receivable,-5504303,2357064,-5441867,- -,-8795720,-2089017,-6414239,754000,-3872000,2608000,-23228000,- -,- -,- -
