,https://roic.ai/company/RKDA,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,7010000,6478000,6982000,5414000,3188000,4026000,1464000,1169000,8034000,6780000
2,COGS,909000,673000,1997000,892000,895000,283000,661000,885000,5199000,8708000
3,Gross Profit,6101000,5805000,4985000,4522000,2293000,3743000,803000,284000,2835000,-1928000
4,Gross Profit Ratio,0.8703,0.8961,0.7140,0.8352,0.7193,0.9297,0.5485,0.2429,0.3529,-0.2844
5,Research and Development Exp.,7948000,8404000,10012000,8966000,8663000,7407000,6069000,7098000,7960000,3889000
6,General and Administrative Exp.,8283000,7967000,10126000,11119000,12250000,10651000,11604000,13567000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",8283000,7967000,10126000,11119000,12250000,10651000,11604000,13567000,- -,22938000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,16467000,15479000
10,Operating Expenses,16231000,16371000,20138000,20085000,20913000,18058000,17673000,20665000,24427000,42306000
11,COGS and Expenses,17140000,17044000,22135000,20977000,21808000,18341000,18334000,21550000,29626000,51014000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),186000,626000,1394000,2658000,1319000,747000,- -,5000,47000,20000
14,Depreciation and Amortization,378000,391000,358000,294000,304000,279000,154000,194000,662000,1045000
15,EBITDA,-11593000,-12011000,-16324000,-14978000,-17976000,-14655000,-13316000,-28604000,-4070000,-13597000
16,EBITDA ratio,-1.6538,-1.8541,-2.3380,-2.7665,-5.6386,-3.6401,-9.0956,-24.4688,-0.5066,-2.0055
17,Operating Income,-10130000,-10566000,-15153000,-15563000,-18620000,-14315000,-16870000,-19381000,-12778000,-35526000
18,Operating Income ratio,-1.4451,-1.6311,-2.1703,-2.8746,-5.8407,-3.5556,-11.5232,-16.5791,-1.5905,-5.2398
19,Total Other Income Expenses (Gains),-178000,-621000,-1991000,-2367000,-979000,-1366000,3400000,-9490000,6628000,19394000
20,Income Before Tax,-10308000,-11187000,-17144000,-17930000,-19599000,-15681000,-13470000,-28871000,-6150000,-16132000
