,https://roic.ai/company/BEST,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,3065794000,5256327000,8844137000,19989562000,27960979000,35175889000,29995029000,11425836000
2,COGS,3440460000,5790708000,9376567000,19504011000,26519842000,33216863000,29756889000,11625224000
3,Gross Profit,-374666000,-534381000,-532430000,485551000,1441137000,1959026000,238140000,-199388000
4,Gross Profit Ratio,-0.1222,-0.1017,-0.0602,0.0243,0.0515,0.0557,0.0079,-0.0175
5,Research and Development Exp.,26648000,46177000,80326000,139009000,184581000,243392000,191417000,180204000
6,General and Administrative Exp.,232974000,380864000,521237000,928188000,1020671000,1109545000,1262232000,881498000
7,Selling and Marketing Exp.,132123000,188455000,370017000,694852000,893859000,931914000,477902000,260219000
8,"Selling, General and Administrative Exp.",365097000,569319000,891254000,1623040000,1914530000,2041459000,1740134000,1141717000
9,Other Expenses,-43245000,-61877000,-104047000,- -,- -,- -,- -,-58337000
10,Operating Expenses,348500000,553619000,867533000,1762049000,2099111000,2284851000,1931551000,1263584000
11,COGS and Expenses,3788960000,6344327000,10244100000,21266060000,28618953000,35501714000,31688440000,12888808000
12,Interest Income ,3977000,3727000,24386000,75056000,102821000,95440000,74727000,49658000
13,Interest Expense (Gain),7997000,10439000,21379000,47154000,75060000,79486000,174607000,142751000
14,Depreciation and Amortization,84970000,147283000,246311000,363909000,461612000,492778000,515002000,- -
15,EBITDA,-625494000,-901721000,-1095220000,-806974000,40571000,388138000,-1313775000,407856000
16,EBITDA ratio,-0.2040,-0.1715,-0.1238,-0.0404,0.0015,0.0110,-0.0438,0.0357
17,Operating Income,-723166000,-1088000000,-1399963000,-1276498000,-657974000,-325825000,-1693411000,-1462972000
18,Operating Income ratio,-0.2359,-0.2070,-0.1583,-0.0639,-0.0235,-0.0093,-0.0565,-0.1280
19,Total Other Income Expenses (Gains),4705000,28569000,37010000,59110000,161926000,125402000,32647000,202367000
20,Income Before Tax,-718461000,-1059431000,-1362953000,-1217388000,-496048000,-200423000,-1660764000,-1260605000
21,Income Before Tax Ratio,-0.2343,-0.2016,-0.1541,-0.0609,-0.0177,-0.0057,-0.0554,-0.1103
22,Income Tax expense (Gain),- -,- -,570000,9856000,11887000,18290000,22124000,3198000
23,Net Income,-718461000,-1059443000,-1363480000,-1227893000,-507988000,-202416000,-2025508000,261907000
24,Net Income ratio,-0.2343,-0.2016,-0.1542,-0.0614,-0.0182,-0.0058,-0.0675,0.0229
25,EPS,-3.42,-14.18,-14.86,-3.28,-1.31,-0.52,-5.25,0.68
26,EPS Diluted,-3.42,-14.18,-14.86,-3.28,-1.32,-0.52,-5.25,0.68
27,Weighted Average Shares Outstanding,377594399,377594399,377594399,374514399,387417812,389474616,385948857,385948857
28,Weighted Average Shares Outstanding Diluted,377594399,377594399,377594399,374514399,387417812,389474616,387492906,387492906
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1709505/000110465918023720/a18-8168_120f.htm,https://www.sec.gov/Archives/edgar/data/1709505/000110465919020857/a18-42064_120f.htm,https://www.sec.gov/Archives/edgar/data/1709505/000110465920048182/best-20191231x20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,291064000,2927581000,1240431000,1630444000,1994683000,1383317000,3565732000
32,Short-Term Investments,- -,- -,62000000,2353663000,1007329000,1057598000,268647000,147359000
33,Cash and Short-Term Investments,- -,291064000,2989581000,3594094000,2637773000,3052281000,1651964000,3713091000
34,Net Receivables,- -,364098000,515956000,1092849000,1857771000,2126753000,1755123000,1222311000
35,Inventory,- -,37888000,82083000,156974000,151031000,140006000,44133000,25622000
36,Other Current Assets,- -,606747000,1171447000,3112408000,3183172000,4369409000,5916491000,1849563000
37,Total Current Assets,- -,1299797000,4759067000,7956325000,7829747000,9688449000,9367711000,6810587000
38,PP&E,- -,625535000,947505000,1307470000,2064657000,7318183000,7942610000,2662164000
39,Goodwill,- -,239564000,247203000,448584000,469076000,490986000,295758000,54135000
40,Intangible Assets,- -,5366000,13516000,158556000,143810000,121587000,12198000,55684000
41,Intangible Assets,- -,244930000,260719000,607140000,612886000,612573000,307956000,109819000
42,Investments,- -,10288000,24081000,37167000,214339000,230855000,221426000,219171000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,106028000,304481000,970427000,1644653000,1642796000,2031120000,1509179000
45,Total Non-Current Assets,- -,986781000,1536786000,2922204000,4536535000,9804407000,10503112000,4500333000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2286578000,6295853000,10878529000,12366282000,19492856000,19870823000,11310920000
48,Accounts Payable,- -,1094445000,1575793000,2388393000,2851557000,3391383000,4144948000,1326200000
49,Short-Term Debt,- -,340456000,471215000,1223611000,1785751000,3692050000,4318639000,2605358000
50,Tax Payable,- -,- -,467000,629000,5767000,7358000,14550000,587000
51,Deferred Revenue,- -,509601000,676319000,910383000,1219230000,1489510000,1526051000,298353000
52,Other Current Liabilities,- -,779265000,1226969000,1854804000,2256981000,1996725000,2644611000,1588976000
53,Total Current Liabilities,- -,2723767000,3950296000,6377191000,8113519000,10569668000,12634249000,5818887000
54,Long-Term Debt,- -,430000,7535000,1828000,745000,4844914000,5336386000,3250908000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,31688000,25356000,25806000,- -,- -
57,Other Non-Current Liabilities,- -,7589466000,15846127000,75327000,86504000,137184000,175584000,24261000
58,Total Non-Current Liabilities,- -,7589896000,15853662000,108843000,112605000,5007904000,5511970000,3275169000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,2886000,20750000,9055000,3596000,4521321000,4031913000,1979063000
61,Total Liabilities,- -,10313663000,19803958000,6486034000,8226124000,15577572000,18146219000,9094056000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,4116000,4116000,24786000,25988000,25988000,25988000,25988000
64,Retained Earnings,- -,-8047996000,-13658321000,-14886214000,-15419256000,-15621672000,-17710964000,-17471716000
65,Other Comprehensive Income/Loss,- -,16795000,146100000,12333000,123923000,163196000,159715000,107546000
66,Other Total Stockholders Equity,- -,- -,- -,19240912000,19407460000,19353400000,19275880000,19409142000
67,Total Stockholders Equity,- -,-8027085000,-13508105000,4391817000,4138115000,3920912000,1750619000,2070960000
68,Total Liabilities And Stockholders Equity,- -,2286578000,6295853000,10877851000,12364239000,19498484000,19896838000,11165016000
69,Minority Interest,- -,- -,- -,678000,2043000,-5628000,-26015000,145904000
70,Total Liabilities & Equity,- -,2286578000,6295853000,10878529000,12366282000,19492856000,19870823000,11310920000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1709505/000110465918023720/a18-8168_120f.htm,https://www.sec.gov/Archives/edgar/data/1709505/000110465919020857/a18-42064_120f.htm,https://www.sec.gov/Archives/edgar/data/1709505/000110465920048182/best-20191231x20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-718461000,-1059443000,-1363480000,-1227893000,-507988000,-202416000,-2025508000,261907000
74,Depreciation and Amortization,84970000,147283000,246311000,363909000,461612000,492778000,515002000,- -
75,Deferred Income Tax,- -,- -,- -,-1680000,-6332000,450000,-828000,- -
76,Stock Based Compensation,- -,- -,- -,298963000,109107000,98504000,129651000,- -
77,Change in Working Capital,289624000,551379000,292718000,661439000,566501000,-420850000,-439869000,- -
78,Accounts Receivable,-75482000,-143898000,-110972000,-268272000,-415318000,-283114000,52904000,- -
79,Inventory,-8867000,-17502000,-48880000,-21324000,10485000,13198000,3631000,- -
80,Accounts Payable,273351000,441576000,481348000,619421000,636015000,643709000,918502000,- -
81,Other Working Capital,174730000,251278000,1287000,324828000,283794000,270280000,40491000,- -
82,Other Non-Cash Items,14922000,48601000,35657000,22298000,14304000,884367000,1590317000,-3112976000
83,Cash Provided by Operating Activities,-328945000,-312180000,-788794000,117036000,637204000,852833000,-231235000,-2851069000
84,CAPEX,-215426000,-426051000,-745599000,-1498821000,-2635449000,-2352584000,-2659453000,- -
85,Acquisitions Net,-120699000,-135794000,-39517000,-313958000,-45012000,-29111000,-12628000,- -
86,Purchases of Investments,- -,-10300000,-1534668000,-5072328000,-4443900000,-2557361000,-282026000,- -
87,Sales/Maturities of Investments,- -,- -,1458918000,2678724000,5729611000,2509477000,1090411000,- -
88,Other Investing Activites,13839000,6785000,8087000,-26370000,162310000,512386000,988674000,4541048000
89,Cash Used for Investing Activites,-319322000,-557305000,-843844000,-4205923000,-1230953000,-1912482000,-872933000,4541048000
90,Debt Repayment,-73083000,-323883000,-602446000,-1202940000,-2856643000,-3385588000,-2625987000,- -
91,Common Stock Issued,- -,- -,- -,3130197000,- -,- -,- -,- -
92,Common Stock Repurchased,-93019000,- -,-831535000,-98330000,- -,- -,-211352000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,948151000,1229220000,5544479000,591561000,3413792000,5397400000,4385523000,-532750000
95,Cash Used/Provided by Financing Activities,782049000,905337000,4110498000,2420488000,557149000,2011812000,1548184000,-532750000
96,Effect of Forex Changes on Cash,3706000,35436000,158657000,-18751000,53179000,5644000,-192110000,-56215000
97,Net Change In Cash,137488000,71288000,2636517000,-1687150000,16579000,957807000,251906000,1101014000
98,Cash at the End of Period,219776000,291064000,2927581000,1240431000,2999408000,3957215000,4209121000,5310135000
99,Cash at the Beginning of Period,82288000,219776000,291064000,2927581000,2982829000,2999408000,3957215000,4209121000
100,Free Cash Flow,-544371000,-738231000,-1534393000,-1381785000,-1998245000,-1499751000,-2890688000,-2851069000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1709505/000110465918023720/a18-8168_120f.htm,https://www.sec.gov/Archives/edgar/data/1709505/000110465919020857/a18-42064_120f.htm,https://www.sec.gov/Archives/edgar/data/1709505/000110465920048182/best-20191231x20f.htm,- -,- -
102,Forex Rate,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
