,https://roic.ai/company/CIFR,2020,2021
0,INCOME STATEMENT, , 
1,Revenue,- -,- -
2,COGS,- -,- -
3,Gross Profit,- -,- -
4,Gross Profit Ratio,- -,- -
5,Research and Development Exp.,- -,- -
6,General and Administrative Exp.,- -,72146944000
7,Selling and Marketing Exp.,- -,- -
8,"Selling, General and Administrative Exp.",- -,72146944000
9,Other Expenses,- -,- -
10,Operating Expenses,- -,72146944000
11,COGS and Expenses,- -,72151811000
12,Interest Income ,- -,4331000
13,Interest Expense (Gain),- -,-26912000
14,Depreciation and Amortization,- -,4867000
15,EBITDA,- -,-72147697000
16,EBITDA ratio,- -,-Infinity
17,Operating Income,-153657,-72152564000
18,Operating Income ratio,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),27342,- -
20,Income Before Tax,-126315,-72152564000
21,Income Before Tax Ratio,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -
23,Net Income,-126315,-72152564000
24,Net Income ratio,-Infinity,-Infinity
25,EPS,-0.01,-331.51
26,EPS Diluted,-0.01,-331.51
27,Weighted Average Shares Outstanding,10156368,217644991
28,Weighted Average Shares Outstanding Diluted,10156368,217644991
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1819989/000121390021009990/0001213900-21-009990-index.htm,https://www.sec.gov/Archives/edgar/data/1819989/000095017022002861/0000950170-22-002861-index.htm
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,1276364,209841257
32,Short-Term Investments,- -,- -
33,Cash and Short-Term Investments,1276364,209841257
34,Net Receivables,- -,- -
35,Inventory,- -,- -
36,Other Current Assets,297371,13818825
37,Total Current Assets,1573735,223660082
38,PP&E,- -,119980580
39,Goodwill,- -,- -
40,Intangible Assets,- -,- -
41,Intangible Assets,- -,- -
42,Investments,- -,- -
43,Tax Assets,- -,- -
44,Other Non-Current Assets,170027342,10526556
45,Total Non-Current Assets,170027342,130507136
46,Other Assets,- -,- -
47,Total Assets,171601077,354167218
48,Accounts Payable,129,241764
49,Short-Term Debt,- -,- -
50,Tax Payable,- -,- -
51,Deferred Revenue,- -,- -
52,Other Current Liabilities,129259,257487
53,Total Current Liabilities,129388,499251
54,Long-Term Debt,- -,- -
55,Deferred Revenue,- -,- -
56,Deferred Tax Liabilities,- -,- -
57,Other Non-Current Liabilities,- -,136800
58,Total Non-Current Liabilities,- -,136800
59,Other Liabilities,- -,- -
60,Capital Lease Obligations,- -,- -
61,Total Liabilities,129388,636051
62,Preferred Stock,- -,- -
63,Common Stock,166476509,252132
64,Retained Earnings,-126315,-72156044
65,Other Comprehensive Income/Loss,- -,- -
66,Other Total Stockholders Equity,5121495,- -
67,Total Stockholders Equity,171471689,353531167
68,Total Liabilities And Stockholders Equity,171601077,354167218
69,Minority Interest,- -,- -
70,Total Liabilities & Equity,171601077,354167218
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1819989/000121390021009990/0001213900-21-009990-index.htm,https://www.sec.gov/Archives/edgar/data/1819989/000095017022002861/0000950170-22-002861-index.htm
72,CASH FLOW STATEMENT, , 
73,Net Income,- -,-72152564000
74,Depreciation and Amortization,- -,4867000
75,Deferred Income Tax,- -,- -
76,Stock Based Compensation,- -,63765473000
77,Change in Working Capital,- -,- -
78,Accounts Receivable,- -,- -
79,Inventory,- -,- -
80,Accounts Payable,- -,221775000
81,Other Working Capital,- -,223161
82,Other Non-Cash Items,- -,-23283709000
83,Cash Provided by Operating Activities,- -,-31665933000
84,CAPEX,- -,-5109426000
85,Acquisitions Net,- -,- -
86,Purchases of Investments,- -,- -
87,Sales/Maturities of Investments,- -,- -
88,Other Investing Activites,- -,-115030564000
89,Cash Used for Investing Activites,- -,-120139990000
90,Debt Repayment,- -,- -
91,Common Stock Issued,- -,5000
92,Common Stock Repurchased,- -,-23245913000
93,Dividends Paid,- -,- -
94,Other Financing Activites,- -,384893088000
95,Cash Used/Provided by Financing Activities,- -,361647180000
96,Effect of Forex Changes on Cash,- -,- -
97,Net Change In Cash,- -,209841257000
98,Cash at the End of Period,- -,209841257000
99,Cash at the Beginning of Period,- -,- -
100,Free Cash Flow,- -,-36775359000
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1819989/000095017022002861/0000950170-22-002861-index.htm
102,false,,
