,https://roic.ai/company/DYAI,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,17134741,12523398,315712,592886,758420,1295451,1681076,1601921,- -
2,COGS,- -,- -,- -,- -,9723648,8175927,124012,516162,680197,1027278,1459701,1424931,1944438
3,Gross Profit,- -,- -,- -,- -,7411093,4347471,191700,76724,78223,268173,221375,176990,-1944438
4,Gross Profit Ratio,- -,- -,- -,- -,0.4325,0.3471,0.6072,0.1294,0.1031,0.2070,0.1317,0.1105,-Infinity
5,Research and Development Exp.,- -,- -,- -,- -,1001094,2187559,- -,885602,2203095,3317164,3956317,3868121,2403831
6,General and Administrative Exp.,- -,- -,- -,- -,4992688,6113658,3837955,4562115,5030354,4522676,5519922,6084799,6697617
7,Selling and Marketing Exp.,- -,- -,- -,- -,944121,1243801,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,5936809,7357459,3837955,4562115,5030354,4522676,5519922,6084799,6697617
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,436916,220715,- -,- -,187388,- -
10,Operating Expenses,- -,- -,- -,- -,6937903,9545018,3837955,5884633,7454164,7839840,9476239,10140308,9101448
11,COGS and Expenses,- -,- -,- -,- -,16661551,17720945,3961967,6400795,8134361,8867118,10935940,11565239,17131318
12,Interest Income ,- -,- -,- -,- -,14613,28055,11156,485490,- -,- -,984930,446999,51704
13,Interest Expense (Gain),- -,- -,- -,- -,686022,683207,- -,909,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,253503,271128,- -,- -,- -,- -,- -,331277,329612
15,EBITDA,- -,- -,- -,- -,511475,-5025754,65787318,-3369757,-2202513,-6697913,-8297659,-8962678,-14397875
16,EBITDA ratio,- -,- -,- -,- -,0.0299,-0.4013,208.3776,-5.6837,-2.9041,-5.1703,-4.9359,-5.5950,-Infinity
17,Operating Income,- -,- -,- -,- -,556502,-5324937,-3646255,-5955247,-7126882,-7592445,-9282589,-10025663,-14727487
18,Operating Income ratio,- -,- -,- -,- -,0.0325,-0.4252,-11.5493,-10.0445,-9.3970,-5.8609,-5.5218,-6.2585,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-984552,-655152,2181156,2584581,4924369,894532,984930,731708,1657236
20,Income Before Tax,- -,- -,- -,- -,-428050,-5980089,-1465099,-3370666,-2202513,-6697913,-8297659,-9293955,-13070251
21,Income Before Tax Ratio,- -,- -,- -,- -,-0.0250,-0.4775,-4.6406,-5.6852,-2.9041,-5.1703,-4.9359,-5.8018,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,238073,-66694,-1006157,10306,31318,- -
23,Net Income,- -,- -,- -,- -,-428050,-5980089,65787318,-3608739,-2135819,-5691756,-8307965,-9325273,-13070251
24,Net Income ratio,- -,- -,- -,- -,-0.0250,-0.4775,208.3776,-6.0867,-2.8161,-4.3936,-4.9421,-5.8213,-Infinity
25,EPS,- -,- -,- -,- -,-0.01,-0.18,1.91,-0.10,-0.07,-0.21,-0.31,-0.34,-0.48
26,EPS Diluted,- -,- -,- -,- -,-0.01,-0.18,1.91,-0.10,-0.07,-0.21,-0.31,-0.34,-0.48
27,Weighted Average Shares Outstanding,- -,- -,- -,- -,32797253,34073457,34367723,36538444,28917961,27673300,27003695,27471587,27471587
28,Weighted Average Shares Outstanding Diluted,- -,- -,- -,- -,32797253,34073457,34367723,36538444,28917961,27673300,27003695,27471587,27471587
29,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1213809/000121380919000006/0001213809-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1213809/000121380920000018/0001213809-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1213809/000143774921007644/0001437749-21-007644-index.htm,https://www.sec.gov/Archives/edgar/data/1213809/000143774922007554/0001437749-22-007554-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
