,https://roic.ai/company/QUOT,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,91325000,112127000,167892000,221761000,237309000,275190000,322115000,386958000,436160000,445887000,521494000
2,COGS,27841000,41745000,52080000,86186000,92203000,114870000,140752000,206230000,263606000,277914000,332672000
3,Gross Profit,63484000,70382000,115812000,135575000,145106000,160320000,181363000,180728000,172554000,167973000,188822000
4,Gross Profit Ratio,0.6951,0.6277,0.6898,0.6114,0.6115,0.5826,0.5630,0.4670,0.3956,0.3767,0.3621
5,Research and Development Exp.,21824000,40236000,40102000,49583000,48367000,50503000,50009000,46873000,39076000,40316000,44941000
6,General and Administrative Exp.,18996000,25999000,24232000,33392000,34833000,43404000,48124000,49805000,58328000,54177000,56776000
7,Selling and Marketing Exp.,44834000,63526000,61793000,78865000,92454000,92596000,92833000,90086000,101244000,104527000,112263000
8,"Selling, General and Administrative Exp.",63830000,89525000,86025000,112257000,127287000,136000000,140957000,139891000,159572000,158704000,169039000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,85654000,129761000,126127000,161840000,175654000,186503000,190966000,186764000,198648000,199020000,213980000
11,COGS and Expenses,113495000,171506000,178207000,248026000,267857000,301373000,331718000,392994000,462254000,476934000,546652000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),698000,212000,953000,922000,290000,- -,1589000,13411000,13955000,14521000,15177000
14,Depreciation and Amortization,3426000,6556000,6859000,14737000,16500000,22770000,17840000,25041000,31437000,36352000,29464000
15,EBITDA,-18964000,-52731000,-3437000,-5859000,-10501000,3532000,3650000,10616000,8995000,-13789000,2704000
16,EBITDA ratio,-0.2077,-0.4703,-0.0205,-0.0264,-0.0443,0.0128,0.0113,0.0274,0.0206,-0.0309,0.0052
17,Operating Income,-22170000,-59379000,-10315000,-20524000,-31779000,-19733000,-15118000,-19226000,-27665000,-51281000,-26550000
18,Operating Income ratio,-0.2428,-0.5296,-0.0614,-0.0926,-0.1339,-0.0717,-0.0469,-0.0497,-0.0634,-0.1150,-0.0509
19,Total Other Income Expenses (Gains),-918000,-120000,-934000,-994000,4488000,495000,-661000,-8610000,-8732000,-13381000,-15387000
20,Income Before Tax,-23088000,-59499000,-11249000,-21518000,-27291000,-19238000,-15779000,-27836000,-36397000,-64662000,-41937000
21,Income Before Tax Ratio,-0.2528,-0.5306,-0.0670,-0.0970,-0.1150,-0.0699,-0.0490,-0.0719,-0.0834,-0.1450,-0.0804
22,Income Tax expense (Gain),-118000,-265000,- -,1926000,-561000,241000,-702000,482000,660000,719000,3631000
23,Net Income,-22970000,-59234000,-11249000,-23444000,-26730000,-19479000,-15077000,-28318000,-37057000,-65381000,-45568000
24,Net Income ratio,-0.2515,-0.5283,-0.0670,-0.1057,-0.1126,-0.0708,-0.0468,-0.0732,-0.0850,-0.1466,-0.0874
25,EPS,-0.48,-0.96,-0.18,-0.35,-0.32,-0.23,-0.17,-0.30,-0.41,-0.72,-0.48
26,EPS Diluted,-0.48,-0.96,-0.18,-0.35,-0.32,-0.23,-0.17,-0.30,-0.41,-0.72,-0.48
27,Weighted Average Shares Outstanding,61748000,61748000,61748000,67828000,82807000,84157000,89505000,93676000,91163000,90412000,94133000
28,Weighted Average Shares Outstanding Diluted,61748000,61748000,61748000,67828000,82807000,84157000,89505000,93676000,91163000,90412000,94133000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1115128/000156459015001837/coup-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1115128/000156459016014569/0001564590-16-014569-index.html,https://www.sec.gov/Archives/edgar/data/1115128/000156459017001702/0001564590-17-001702-index.html,https://www.sec.gov/Archives/edgar/data/1115128/000156459018002356/0001564590-18-002356-index.html,https://www.sec.gov/Archives/edgar/data/1115128/000156459019004975/0001564590-19-004975-index.html,https://www.sec.gov/Archives/edgar/data/1115128/000156459020007918/0001564590-20-007918-index.html,https://www.sec.gov/Archives/edgar/data/1115128/000111512821000005/0001115128-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1115128/000111512822000007/0001115128-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,58395000,38972000,201075000,134947000,106174000,334635000,302028000,224764000,222752000,237417000
32,Short-Term Investments,- -,- -,- -,- -,25000000,69172000,59902000,20738000,- -,- -,- -
