,https://roic.ai/company/GLW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1690500000,1856300000,2083700000,2121500000,2439200000,2940500000,3259200000,3708700000,4004800000,- -,5313100000,3651600000,4089700000,3484000000,4297200000,7273000000,6272000000,3164000000,3090000000,3854000000,4579000000,5174000000,5860000000,5948000000,5395000000,6632000000,7890000000,8012000000,7819000000,9715000000,9111000000,9390000000,10116000000,11290000000,11503000000,11303000000,14082000000
2,COGS,983500000,1090300000,1261800000,1243800000,1429600000,1714500000,1890300000,2163100000,2316600000,- -,3008600000,1970800000,2084600000,1855900000,2320200000,3611000000,4380000000,2562000000,2241000000,2439000000,2595000000,2891000000,3111000000,3210000000,3302000000,3583000000,4324000000,4615000000,4495000000,5663000000,5458000000,5644000000,6084000000,6829000000,7468000000,7772000000,9019000000
3,Gross Profit,707000000,766000000,821900000,877700000,1009600000,1226000000,1368900000,1545600000,1688200000,- -,2304500000,1680800000,2005100000,1628100000,1977000000,3662000000,1892000000,602000000,849000000,1415000000,1984000000,2283000000,2749000000,2738000000,2093000000,3049000000,3566000000,3397000000,3324000000,4052000000,3653000000,3746000000,4032000000,4461000000,4035000000,3531000000,5063000000
4,Gross Profit Ratio,0.4182,0.4126,0.3944,0.4137,0.4139,0.4169,0.4200,0.4167,0.4215,- -,0.4337,0.4603,0.4903,0.4673,0.4601,0.5035,0.3017,0.1903,0.2748,0.3672,0.4333,0.4412,0.4691,0.4603,0.3880,0.4597,0.4520,0.4240,0.4251,0.4171,0.4009,0.3989,0.3986,0.3951,0.3508,0.3124,0.3595
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250700000,293900000,362600000,540000000,631000000,483000000,344000000,355000000,443000000,517000000,565000000,627000000,563000000,603000000,671000000,745000000,710000000,815000000,769000000,742000000,860000000,993000000,1031000000,1154000000,995000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1340200000,831100000,671400000,487700000,602500000,1047000000,1097000000,716000000,599000000,653000000,756000000,857000000,912000000,901000000,881000000,1015000000,1033000000,1165000000,1126000000,1211000000,1523000000,1472000000,1467000000,1799000000,1585000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",443400000,468200000,529100000,533800000,655800000,706300000,753200000,906600000,947100000,- -,1340200000,831100000,671400000,487700000,602500000,1047000000,1097000000,716000000,599000000,653000000,756000000,857000000,912000000,901000000,881000000,1015000000,1033000000,1165000000,1126000000,1211000000,1523000000,1472000000,1467000000,1799000000,1585000000,1747000000,1827000000
9,Other Expenses,126700000,130100000,145700000,153900000,171300000,211200000,231300000,248200000,280400000,- -,377400000,288100000,321600000,298000000,380700000,520000000,439000000,43000000,450000000,71000000,210000000,57000000,195000000,-329000000,10000000,8000000,15000000,-64000000,-25000000,33000000,54000000,64000000,75000000,94000000,113000000,121000000,129000000
10,Operating Expenses,570100000,598300000,674800000,687700000,827100000,917500000,984500000,1154800000,1227500000,- -,1717600000,1119200000,1243700000,1079600000,1345800000,2107000000,2167000000,1242000000,1393000000,1079000000,1409000000,1431000000,1672000000,1199000000,1454000000,1626000000,1719000000,1846000000,1811000000,2059000000,2346000000,2278000000,2402000000,2886000000,2729000000,3022000000,2951000000
11,COGS and Expenses,1553600000,1688600000,1936600000,1931500000,2256700000,2632000000,2874800000,3317900000,3544100000,- -,4726200000,3090000000,3328300000,2935500000,3666000000,5718000000,6547000000,3804000000,3634000000,3518000000,4004000000,4322000000,4783000000,4409000000,4756000000,5209000000,6043000000,6461000000,6306000000,7722000000,7804000000,7922000000,8486000000,9715000000,10197000000,10794000000,11970000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85000000,19000000,11000000,19000000,14000000,8000000,26000000,21000000,32000000,45000000,38000000,21000000,15000000,11000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59000000,82000000,109000000,89000000,111000000,120000000,123000000,140000000,159000000,155000000,191000000,221000000,276000000,300000000
14,Depreciation and Amortization,- -,- -,- -,- -,171300000,211200000,231300000,248200000,280400000,- -,377400000,288100000,321600000,298000000,380700000,520000000,1080000000,661000000,517000000,523000000,512000000,591000000,607000000,695000000,792000000,854000000,957000000,997000000,1002000000,1200000000,1184000000,1195000000,1158000000,1293000000,1503000000,1520000000,1481000000
15,EBITDA,112600000,215100000,244400000,395600000,547600000,636400000,653100000,328100000,300500000,- -,481300000,626900000,988600000,824800000,1051000000,1350000000,-4870000000,-1367000000,40000000,-611000000,1675000000,2501000000,2837000000,3606000000,2808000000,4808000000,4259000000,3225000000,3595000000,4891000000,2810000000,5046000000,2970000000,2987000000,2940000000,2419000000,4178000000
