,https://roic.ai/company/CIG,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3756000000,5006000000,4872000000,6032000000,7654000000,7513000000,8640000000,9430000000,9828000000,14952000000,12863000000,15814000000,18460000000,14627000000,19540000000,21292000000,18773000000,21712000000,22266000000,25390000000,25228000000
2,COGS,1122000000,3487000000,1783000000,1952000000,2331000000,2164000000,2710000000,2859000000,3071000000,5793000000,8297000000,9090000000,12383000000,9848000000,12802000000,15783000000,14430000000,17488000000,17677000000,19598000000,19845000000
3,Gross Profit,2634000000,1519000000,3089000000,4080000000,5323000000,5349000000,5930000000,6571000000,6757000000,9159000000,4566000000,6724000000,6077000000,4779000000,6738000000,5509000000,4343000000,4224000000,4589000000,5792000000,5383000000
4,Gross Profit Ratio,0.7013,0.3034,0.6340,0.6764,0.6955,0.7120,0.6863,0.6968,0.6875,0.6126,0.3550,0.4252,0.3292,0.3267,0.3448,0.2587,0.2313,0.1945,0.2061,0.2281,0.2134
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1403000000,293000000,1630000000,819000000,- -,- -,1291000000,1024000000,1281000000,1850000000,367000000,841000000,1280000000,799000000,654000000,674000000,667000000,763000000,672000000,642000000,583000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,283000000,190000000,348000000,121000000,128000000,175000000,382000000,248000000,264000000,238000000,147000000
8,"Selling, General and Administrative Exp.",1403000000,293000000,1630000000,819000000,- -,- -,1291000000,1024000000,1281000000,1850000000,650000000,1031000000,1628000000,920000000,782000000,849000000,1049000000,1011000000,936000000,880000000,730000000
9,Other Expenses,791000000,1545000000,932000000,1932000000,3305928000,4025000000,859000000,1024000000,788000000,4790000000,269000000,1280000000,669000000,382000000,905000000,1769000000,513000000,372000000,875000000,2001000000,355000000
10,Operating Expenses,2194000000,1838000000,2562000000,2751000000,3305928000,4025000000,2150000000,2048000000,2069000000,6640000000,919000000,2311000000,2297000000,1302000000,1687000000,2618000000,1562000000,1383000000,1811000000,2881000000,1085000000
11,COGS and Expenses,3316000000,5325000000,4345000000,4703000000,5636928000,6189000000,4860000000,4907000000,5140000000,12433000000,9216000000,11401000000,14680000000,11150000000,14489000000,18401000000,15992000000,18871000000,19488000000,22479000000,20930000000
12,Interest Income ,- -,- -,- -,674000000,393088000,277924500,356000000,708000000,410000000,384000000,849000000,995000000,157000000,300000000,298000000,251000000,317000000,205000000,352000000,361000000,399000000
13,Interest Expense (Gain),42000000,48000000,525000000,- -,254976000,326970000,529000000,644000000,624000000,618000000,1674000000,2051000000,1243000000,698000000,931000000,1386000000,1928000000,1533000000,1290000000,1265000000,1193000000
14,Depreciation and Amortization,583000000,641000000,666000000,686000000,677000000,669000000,810000000,878000000,769000000,711000000,896000000,1025000000,1001000000,-349000000,-302000000,-262000000,-256000000,-257000000,-215000000,958000000,989000000
15,EBITDA,1023000000,48000000,1205000000,2689000000,3401976000,3104970000,2538000000,3825000000,3901000000,3904000000,5392000000,6432000000,7579000000,4403000000,5108000000,4486000000,2039000000,2921000000,3416000000,6915000000,5982000000
16,EBITDA ratio,0.2724,0.0096,0.2473,0.4458,0.4445,0.4133,0.2938,0.4056,0.3969,0.2611,0.4192,0.4067,0.4106,0.3010,0.2614,0.2107,0.1086,0.1345,0.1534,0.2724,0.2371
17,Operating Income,440000000,-593000000,527000000,1329000000,2118000000,1324000000,773000000,2079000000,2287000000,3303000000,3647000000,- -,4083000000,3396000000,5580000000,4097000000,1804000000,2642000000,2495897000,- -,- -
18,Operating Income ratio,0.1171,-0.1185,0.1082,0.2203,0.2767,0.1762,0.0895,0.2205,0.2327,0.2209,0.2835,- -,0.2212,0.2322,0.2856,0.1924,0.0961,0.1217,0.1121,- -,- -
19,Total Other Income Expenses (Gains),-42000000,-48000000,-525000000,674000000,350000000,783000000,426000000,224000000,221000000,-728000000,-825000000,-1057000000,1252000000,658000000,-1101000000,-735000000,-1437000000,-996000000,-517897000,1558000000,-497000000
20,Income Before Tax,398000000,-641000000,2000000,2003000000,2468000000,2107000000,1199000000,2303000000,2508000000,2575000000,2822000000,3356000000,5335000000,4054000000,4479000000,3362000000,367000000,1646000000,1978000000,4469000000,3801000000
21,Income Before Tax Ratio,0.1060,-0.1280,0.0004,0.3321,0.3224,0.2804,0.1388,0.2442,0.2552,0.1722,0.2194,0.2122,0.2890,0.2772,0.2292,0.1579,0.0195,0.0758,0.0888,0.1760,0.1507
