,https://roic.ai/company/DSEY,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,2688100000,2623900000,2629200000,2618900000
2,COGS,1570600000,1522100000,1559400000,1603400000
3,Gross Profit,1117500000,1101800000,1069800000,1015500000
4,Gross Profit Ratio,0.4157,0.4199,0.4069,0.3878
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,880800000,866100000,843200000,847700000
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",880800000,866100000,843200000,847700000
9,Other Expenses,211800000,93700000,98200000,96700000
10,Operating Expenses,1092600000,959800000,941400000,944400000
11,COGS and Expenses,2663200000,2481900000,2500800000,2547800000
12,Interest Income ,5800000,7500000,5900000,9900000
13,Interest Expense (Gain),135200000,141000000,127700000,126300000
14,Depreciation and Amortization,172100000,185500000,195600000,187500000
15,EBITDA,82600000,250200000,294000000,164300000
16,EBITDA ratio,0.0307,0.0954,0.1118,0.0627
17,Operating Income,-86300000,69100000,59300000,-9800000
18,Operating Income ratio,-0.0321,0.0263,0.0226,-0.0037
19,Total Other Income Expenses (Gains),-138400000,-145400000,-88600000,-139700000
20,Income Before Tax,-224700000,-76300000,-29300000,-149500000
21,Income Before Tax Ratio,-0.0836,-0.0291,-0.0111,-0.0571
22,Income Tax expense (Gain),14400000,32700000,9200000,25300000
23,Net Income,-239100000,-109000000,-38500000,-174800000
24,Net Income ratio,-0.0889,-0.0415,-0.0146,-0.0667
25,EPS,-0.79,-0.36,-0.13,-0.58
26,EPS Diluted,-0.79,-0.36,-0.13,-0.58
27,Weighted Average Shares Outstanding,304008357,304008357,304008357,301600000
28,Weighted Average Shares Outstanding Diluted,304008357,304008357,304008357,301600000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1831617/000162828022005909/0001628280-22-005909-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,- -,128300000,192900000,207600000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,128300000,192900000,207600000
34,Net Receivables,- -,532300000,435200000,493800000
35,Inventory,- -,209000000,282400000,337600000
36,Other Current Assets,- -,53700000,39800000,49200000
37,Total Current Assets,- -,923300000,950300000,1088200000
38,PP&E,- -,448100000,409000000,451600000
39,Goodwill,- -,416900000,467000000,471500000
40,Intangible Assets,- -,2262900000,2311400000,2147300000
41,Intangible Assets,- -,2679800000,2778400000,2618800000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,54400000,60600000,51800000
44,Other Non-Current Assets,- -,107900000,87800000,89600000
45,Total Non-Current Assets,- -,3290200000,3335800000,3211800000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,- -,4213500000,4286100000,4300000000
48,Accounts Payable,- -,419600000,404600000,434300000
49,Short-Term Debt,- -,43700000,36500000,43000000
50,Tax Payable,- -,60900000,42000000,33700000
51,Deferred Revenue,- -,- -,- -,- -
52,Other Current Liabilities,- -,430300000,515800000,379800000
53,Total Current Liabilities,- -,893600000,956900000,857100000
54,Long-Term Debt,- -,2569700000,2725500000,2045500000
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,221000000,181100000,164300000
57,Other Non-Current Liabilities,- -,850400000,931200000,447500000
58,Total Non-Current Liabilities,- -,3641100000,3837800000,2657300000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,90900000,61700000,93900000
61,Total Liabilities,- -,4534700000,4794700000,3514400000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,- -,2200000,2200000,- -
64,Retained Earnings,- -,-501100000,-545300000,-720100000
65,Other Comprehensive Income/Loss,- -,-64500000,-212700000,-157000000
66,Other Total Stockholders Equity,- -,242200000,247200000,- -
67,Total Stockholders Equity,- -,-321200000,-508600000,785600000
68,Total Liabilities And Stockholders Equity,- -,4213500000,4286100000,4300000000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,4213500000,4286100000,4300000000
