,https://roic.ai/company/ENIC,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,1719566716000,2014863898000,2384293189000,2515843880000,2490470178000,2410360459000,2624576323000,2548384317000,2829682000000
2,COGS,- -,1009140095000,1321269663000,1496020483000,1508450102000,1535154800000,1341848731000,1472052102000,1423497589000,2011305000000
3,Gross Profit,- -,710426621000,693594235000,888272706000,1007393778000,955315378000,1068511728000,1152524221000,1124886728000,818377000000
4,Gross Profit Ratio,- -,0.4131,0.3442,0.3726,0.4004,0.3836,0.4433,0.4391,0.4414,0.2892
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,186188739000,193860204000,209705280000,203259565000,199818998000,190007525000,226323428000,246246217000,163345000000
7,Selling and Marketing Exp.,- -,3869225000,3765455000,3166181000,3736414000,2501027000,2440070000,3274693000,2491884000,- -
8,"Selling, General and Administrative Exp.",- -,190057964000,197625659000,212871461000,206995979000,202320025000,192447595000,229598121000,248738101000,163345000000
9,Other Expenses,- -,115765685000,100301665000,153095148000,159706314000,142892127000,212436468000,232749640000,227860279000,343775000000
10,Operating Expenses,- -,305823649000,297927324000,365966609000,366702293000,345212152000,404884063000,462347761000,476598380000,507120000000
11,COGS and Expenses,- -,1314963744000,1619196987000,1861987092000,1875152395000,1880366952000,1746732794000,1934399863000,1900095969000,2518425000000
12,Interest Income ,- -,2738938000,2813132000,2566017000,5733428000,16933610000,16753559000,17030809000,19801450000,26420000000
13,Interest Expense (Gain),- -,47871170000,47837442000,50646894000,44082508000,39453547000,77260497000,88800080000,60437818000,174043000000
14,Depreciation and Amortization,- -,119507118000,128437154000,153201662000,161660610000,152684106000,215187300000,236627387000,229957000000,210928000000
15,EBITDA,- -,458617390000,471420768000,565299565000,701306165000,684862596000,807640253000,682808976000,158229398000,485264000000
16,EBITDA ratio,- -,0.2667,0.2340,0.2371,0.2788,0.2750,0.3351,0.2602,0.0621,0.1715
17,Operating Income,- -,391623262000,382750418000,525488757000,567789206000,578630574000,670604721000,526054835000,-34255375000,259594000000
18,Operating Income ratio,- -,0.2277,0.1900,0.2204,0.2257,0.2323,0.2782,0.2004,-0.0134,0.0917
19,Total Other Income Expenses (Gains),- -,-17526305000,-50503868000,-68907994000,108885092000,88129638000,-104274445000,-148733713000,-99436567000,-143745000000
20,Income Before Tax,- -,374096957000,332246550000,456580763000,676674298000,666760212000,566330276000,377321122000,-133691942000,115849000000
21,Income Before Tax Ratio,- -,0.2176,0.1649,0.1915,0.2690,0.2677,0.2350,0.1438,-0.0525,0.0409
22,Income Tax expense (Gain),- -,61712442000,132687133000,109612599000,111403182000,143342301000,153482519000,61227904000,-81305107000,15139000000
23,Net Income,- -,229526660000,162459039000,251838410000,384159865000,349382642000,361709937000,296153605000,-50860313000,85154000000
24,Net Income ratio,- -,0.1335,0.0806,0.1056,0.1527,0.1403,0.1501,0.1128,-0.0200,0.0301
25,EPS,- -,233.77,165.46,256.49,391.50,356.00,283.00,214.00,-37.00,61.50
26,EPS Diluted,- -,233.77,165.46,256.49,391.50,356.00,283.00,214.00,-37.00,61.50
27,Weighted Average Shares Outstanding,- -,981855455,981855455,981855455,981855455,981412921,1278267190,1383331144,1383331144,1383331144
28,Weighted Average Shares Outstanding Diluted,- -,981855455,981855455,981855455,981855455,981412921,1278267190,1383331144,1383331144,1383331144
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,94093760000,214907096000,132985927000,144261845000,245999192000,419456026000,245171924000,235684500000,332036013000,- -
32,Short-Term Investments,3864000,954230000,948789000,16236490000,462801000,185913000,1240138000,988279000,936546000,- -
33,Cash and Short-Term Investments,94097624000,215861326000,133934716000,160498335000,246461993000,419641939000,246412062000,236672779000,332972559000,- -
34,Net Receivables,475797898000,490713024000,640681994000,641815238000,553579411000,569364380000,632104944000,706910752000,656476257000,- -
35,Inventory,35822895000,22015024000,43677878000,42616615000,37539596000,39686942000,56961643000,39672250000,23310029000,- -
36,Other Current Assets,8544045000,26128812000,24568910000,4061647000,28945937000,30648524000,61469123000,34956879000,13642351000,1268253000000
