,https://roic.ai/company/SCWX,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,172803000,205830000,262130000,339522000,432751000,467930000,518709000,552765000,561034000,535214000
2,COGS,93356000,113207000,144846000,183809000,212489000,225084000,246117000,252796000,242167000,217126000
3,Gross Profit,79447000,92623000,117284000,155713000,220262000,242846000,272592000,299969000,318867000,318088000
4,Gross Profit Ratio,0.4598,0.4500,0.4474,0.4586,0.5090,0.5190,0.5255,0.5427,0.5684,0.5943
5,Research and Development Exp.,22867000,26993000,32053000,49747000,71030000,80164000,87608000,94964000,105008000,122494000
6,General and Administrative Exp.,- -,- -,- -,- -,66067000,67227000,77804000,99505000,101760000,102834000
7,Selling and Marketing Exp.,- -,- -,- -,- -,124950000,151341000,141818000,157674000,144934000,145134000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,191017000,218568000,219622000,257179000,246694000,247968000
9,Other Expenses,118739000,133878000,146324000,211974000,14094000,14095000,14094000,- -,- -,- -
10,Operating Expenses,141606000,160871000,178377000,261721000,276141000,312827000,321324000,352143000,351702000,370462000
11,COGS and Expenses,234962000,274078000,323223000,445530000,488630000,537911000,567441000,604939000,593869000,587588000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,1034000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,-3532000
14,Depreciation and Amortization,31840000,37027000,41425000,40638000,39425000,42171000,41207000,42932000,41614000,40520000
15,EBITDA,-30507000,-31396000,-19810000,-71939000,-17480000,-25949000,-4747000,-8392000,9813000,-18918000
16,EBITDA ratio,-0.1765,-0.1525,-0.0756,-0.2119,-0.0404,-0.0555,-0.0092,-0.0152,0.0175,-0.0353
17,Operating Income,-62159000,-68248000,-61093000,-106008000,-65953000,-83045000,-48732000,-52174000,-32835000,-52374000
18,Operating Income ratio,-0.3597,-0.3316,-0.2331,-0.3122,-0.1524,-0.1775,-0.0939,-0.0944,-0.0585,-0.0979
