,https://roic.ai/company/IDYA,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,- -,19538000,27941000
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,19538000,- -
4,Gross Profit Ratio,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,12384000,31749000,34319000,39698000,58158000
6,General and Administrative Exp.,2054000,4668000,9952000,15184000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2054000,4668000,9952000,15184000,- -
9,Other Expenses,- -,- -,- -,- -,20051000
10,Operating Expenses,14438000,36417000,44271000,54882000,78209000
11,COGS and Expenses,14438000,36417000,44271000,54882000,- -
12,Interest Income ,150000,1994000,2288000,849000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -
14,Depreciation and Amortization,391000,886000,1245000,1381000,- -
15,EBITDA,-14047000,-35531000,-43026000,-33114000,-49762000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-1.6949,-1.7810
17,Operating Income,-14438000,-36417000,-44271000,-35344000,-50268000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-1.8090,-1.7991
19,Total Other Income Expenses (Gains),2576000,2071000,2296000,849000,506000
20,Income Before Tax,-11862000,-34346000,-41975000,-34495000,-49762000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-1.7655,-1.7810
22,Income Tax expense (Gain),- -,- -,- -,- -,- -
23,Net Income,-11862000,-34346000,-41975000,-34495000,-49762000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-1.7655,-1.7810
25,EPS,-0.83,-2.61,-3.36,-1.40,-1.41
26,EPS Diluted,-0.83,-2.61,-3.36,-1.40,-1.41
27,Weighted Average Shares Outstanding,14240901,13165486,12496957,24721775,35252443
28,Weighted Average Shares Outstanding Diluted,14240901,13165486,12496957,24721775,35252443
