,https://roic.ai/company/RACE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,2225207000,2335270000,2762360000,2854369000,3105084000,3416890000,3420321000,3766615000,3459790000,4270894000
2,COGS,- -,1198901000,1234643000,1505889000,1498806000,1579690000,1650860000,1622905000,1805310000,1686324000,2080613000
3,Gross Profit,- -,1026306000,1100627000,1256471000,1355563000,1525394000,1766030000,1797416000,1961305000,1773466000,2190281000
4,Gross Profit Ratio,- -,0.4612,0.4713,0.4549,0.4749,0.4913,0.5169,0.5255,0.5207,0.5126,0.5128
5,Research and Development Exp.,- -,431456000,479294000,540833000,561582000,613635000,657119000,643038000,699211000,707385000,768104000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,179558000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,168466000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,348024000
9,Other Expenses,- -,242819000,259880000,300090000,338626000,295242000,329065000,327341000,343179000,336126000,- -
10,Operating Expenses,- -,674275000,739174000,840923000,900208000,908877000,986184000,970379000,1042390000,1043511000,1116128000
11,COGS and Expenses,- -,1873176000,1973817000,2346812000,2399014000,2488567000,2637044000,2593284000,2847700000,2729835000,3196741000
12,Interest Income ,- -,3581000,2428000,7107000,6527000,2684000,6437000,2122000,5806000,1127000,5140000
13,Interest Expense (Gain),- -,- -,-423000,-1658000,- -,- -,- -,- -,- -,50219000,38397000
14,Depreciation and Amortization,- -,237540000,270250000,288982000,274757000,247717000,260606000,288748000,351946000,426637000,455989000
15,EBITDA,- -,564052000,630902000,681913000,706688000,814114000,1004759000,1089743000,1224420000,1142828000,1534248000
16,EBITDA ratio,- -,0.2535,0.2702,0.2469,0.2476,0.2622,0.2941,0.3186,0.3251,0.3303,0.3592
17,Operating Income,- -,352031000,361453000,415548000,455355000,616517000,779846000,827037000,918915000,729955000,1074153000
18,Operating Income ratio,- -,0.1582,0.1548,0.1504,0.1595,0.1986,0.2282,0.2418,0.2440,0.2110,0.2515
