,https://roic.ai/company/VWE,2020,2021
0,INCOME STATEMENT, , 
1,Revenue,189919000,220742000
2,COGS,118287000,145391000
3,Gross Profit,71632000,75351000
4,Gross Profit Ratio,0.3772,0.3414
5,Research and Development Exp.,- -,- -
6,General and Administrative Exp.,- -,- -
7,Selling and Marketing Exp.,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -
9,Other Expenses,64699000,72505000
10,Operating Expenses,64699000,72505000
11,COGS and Expenses,182986000,217896000
12,Interest Income ,- -,- -
13,Interest Expense (Gain),15422000,11581000
14,Depreciation and Amortization,11805000,11436000
15,EBITDA,7529000,33653000
16,EBITDA ratio,0.0396,0.1525
17,Operating Income,7738000,9180000
18,Operating Income ratio,0.0407,0.0416
19,Total Other Income Expenses (Gains),-27395000,1674000
20,Income Before Tax,-19657000,10854000
21,Income Before Tax Ratio,-0.1035,0.0492
22,Income Tax expense (Gain),-9957000,766000
23,Net Income,-9741000,9870000
24,Net Income ratio,-0.0513,0.0447
25,EPS,-0.24,0.14
26,EPS Diluted,-0.24,0.14
27,Weighted Average Shares Outstanding,60461611,24696828
28,Weighted Average Shares Outstanding Diluted,60461611,25179502
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1834045/000095017021002461/0000950170-21-002461-index.htm
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,1751000,118879000
32,Short-Term Investments,- -,- -
33,Cash and Short-Term Investments,1751000,118879000
34,Net Receivables,20867000,28683000
35,Inventory,206458000,221145000
36,Other Current Assets,4422000,13338000
37,Total Current Assets,233498000,382045000
38,PP&E,162173000,213673000
39,Goodwill,87123000,109895000
40,Intangible Assets,26110000,36079000
41,Intangible Assets,113233000,145974000
42,Investments,- -,- -
43,Tax Assets,- -,- -
44,Other Non-Current Assets,2783000,1806000
45,Total Non-Current Assets,278189000,361453000
46,Other Assets,- -,- -
47,Total Assets,511687000,743498000
48,Accounts Payable,15125000,17301000
49,Short-Term Debt,178843000,110315000
50,Tax Payable,- -,- -
51,Deferred Revenue,823000,1200000
52,Other Current Liabilities,24717000,23878000
53,Total Current Liabilities,219508000,152694000
54,Long-Term Debt,143039000,183541000
55,Deferred Revenue,- -,- -
56,Deferred Tax Liabilities,5687000,16752000
57,Other Non-Current Liabilities,35717000,30256000
58,Total Non-Current Liabilities,184443000,230549000
59,Other Liabilities,- -,- -
60,Capital Lease Obligations,- -,- -
61,Total Liabilities,403951000,383243000
62,Preferred Stock,- -,- -
63,Common Stock,- -,- -
64,Retained Earnings,15191000,- -
65,Other Comprehensive Income/Loss,- -,- -
66,Other Total Stockholders Equity,- -,- -
67,Total Stockholders Equity,108131000,360732000
68,Total Liabilities And Stockholders Equity,512082000,743975000
69,Minority Interest,-395000,-477000
70,Total Liabilities & Equity,511687000,743498000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1834045/000095017021002461/0000950170-21-002461-index.htm
72,CASH FLOW STATEMENT, , 
73,Net Income,-9741000,9870000
74,Depreciation and Amortization,11805000,11436000
75,Deferred Income Tax,-9708000,851000
76,Stock Based Compensation,289000,3334000
77,Change in Working Capital,-29272000,215361000
78,Accounts Receivable,270000,-3137000
79,Inventory,-32453000,2311000
80,Accounts Payable,2362000,-4983000
81,Other Working Capital,13990000,229351000
82,Other Non-Cash Items,13582000,-231861000
83,Cash Provided by Operating Activities,-23045000,8991000
84,CAPEX,-18455000,-38032000
85,Acquisitions Net,-15131000,-23564000
86,Purchases of Investments,- -,- -
87,Sales/Maturities of Investments,- -,- -
88,Other Investing Activites,34875000,1308000
89,Cash Used for Investing Activites,1289000,-60288000
90,Debt Repayment,-347114000,-219785000
91,Common Stock Issued,- -,- -
92,Common Stock Repurchased,- -,-32000000
93,Dividends Paid,- -,- -
94,Other Financing Activites,367844000,425010000
95,Cash Used/Provided by Financing Activities,20730000,173225000
96,Effect of Forex Changes on Cash,- -,- -
97,Net Change In Cash,-1025000,121928000
98,Cash at the End of Period,1751000,123679000
99,Cash at the Beginning of Period,2776000,1751000
100,Free Cash Flow,-41500000,-29041000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1834045/000095017021002461/0000950170-21-002461-index.htm
102,false,,
