,https://roic.ai/company/BSIG,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,724200000,703500000,928600000,1056300000,699300000,663500000,887400000,928200000,819500000,718500000,523800000
2,COGS,424000000,431800000,590700000,687100000,412800000,397400000,685200000,697300000,416600000,389000000,284600000
3,Gross Profit,300200000,271700000,337900000,369200000,286500000,266100000,202200000,230900000,402900000,329500000,239200000
4,Gross Profit Ratio,0.4145,0.3862,0.3639,0.3495,0.4097,0.4011,0.2279,0.2488,0.4916,0.4586,0.4567
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,76800000,68600000,68700000,83900000,88200000,98300000,112900000,126000000,128800000,106000000,71200000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",76800000,68600000,68700000,83900000,88200000,98300000,112900000,126000000,128800000,106000000,71200000
9,Other Expenses,174600000,142800000,218600000,216900000,7100000,12200000,18300000,21100000,23800000,433000000,22200000
10,Operating Expenses,251400000,211400000,287300000,300800000,95300000,110500000,131200000,147100000,152600000,539000000,93400000
11,COGS and Expenses,675400000,643200000,878000000,987900000,508100000,507900000,816400000,844400000,569200000,522700000,378000000
12,Interest Income ,500000,1400000,500000,200000,200000,400000,800000,3200000,2200000,600000,200000
13,Interest Expense (Gain),194200000,205200000,222300000,186200000,3100000,11300000,24500000,24900000,32200000,28500000,24800000
14,Depreciation and Amortization,15500000,7500000,5000000,6200000,7100000,12000000,18300000,21100000,23800000,27700000,22200000
15,EBITDA,215800000,219000000,266300000,256900000,212300000,190500000,179800000,187400000,297900000,455000000,925400000
16,EBITDA ratio,0.2980,0.3113,0.2868,0.2432,0.3036,0.2871,0.2026,0.2019,0.3635,0.6333,1.7667
17,Operating Income,-78900000,-62500000,-99500000,-67200000,191200000,155600000,71000000,83800000,250300000,179400000,145800000
18,Operating Income ratio,-0.1089,-0.0888,-0.1072,-0.0636,0.2734,0.2345,0.0800,0.0903,0.3054,0.2497,0.2784
19,Total Other Income Expenses (Gains),6000000,15800000,15700000,35000000,10100000,5200000,71000000,51400000,7700000,248200000,32300000
20,Income Before Tax,-72900000,-46700000,-83800000,-32200000,201300000,160800000,142000000,135200000,258000000,427600000,178100000
21,Income Before Tax Ratio,-0.1007,-0.0664,-0.0902,-0.0305,0.2879,0.2424,0.1600,0.1457,0.3148,0.5951,0.3400
22,Income Tax expense (Gain),-4200000,3300000,13300000,12800000,46600000,40800000,132800000,5000000,18000000,112100000,50000000
23,Net Income,10300000,3000000,25700000,51700000,155500000,126400000,4200000,136400000,223900000,286700000,828400000
24,Net Income ratio,0.0142,0.0043,0.0277,0.0489,0.2224,0.1905,0.0047,0.1470,0.2732,0.3990,1.5815
25,EPS,0.09,0.03,0.21,0.43,1.29,1.05,0.04,1.27,2.45,3.53,10.73
26,EPS Diluted,0.09,0.03,0.21,0.43,1.29,1.05,0.04,1.26,2.45,3.49,10.29
27,Weighted Average Shares Outstanding,120000000,120000000,120000000,120000000,120000000,119200000,110700000,107400000,91200000,81300000,77200000
28,Weighted Average Shares Outstanding Diluted,120000000,120000000,120000000,120000000,120500000,119500000,111400000,107600000,91300000,82000000,80500000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1748824/000174882420000008/0001748824-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1748824/000174882421000012/0001748824-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1748824/000174882422000018/0001748824-22-000018-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,268600000,282200000,268600000,135900000,101900000,186300000,340600000,111300000,401900000,252100000
32,Short-Term Investments,- -,104400000,406200000,60600000,- -,- -,- -,- -,- -,112000000,- -
33,Cash and Short-Term Investments,- -,373000000,688400000,329200000,135900000,101900000,186300000,340600000,111300000,513900000,252100000
34,Net Receivables,- -,168600000,187100000,161100000,152300000,163700000,238300000,163000000,178100000,122100000,172000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,2404600000,2150800000,2427100000,- -,400000,14100000,4900000,9700000,-109800000,- -
37,Total Current Assets,- -,2946200000,3026300000,2917400000,288200000,266000000,438700000,508500000,299100000,526200000,424100000
38,PP&E,- -,19100000,24100000,24100000,30700000,39800000,41700000,49000000,65800000,162300000,115300000
39,Goodwill,- -,117800000,117800000,126500000,126500000,272700000,274600000,274600000,274600000,182100000,20300000
40,Intangible Assets,- -,1400000,1200000,1000000,1500000,83900000,77300000,71700000,65100000,58400000,- -
