,https://roic.ai/company/NXRT,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,316000,43150000,117658000,132848000,144235000,146597000,181066000,204800000,219240000
2,COGS,172000,20182000,54884000,60175000,64170000,62671000,74570000,85149000,88223000
3,Gross Profit,144000,22968000,62774000,72673000,80065000,83926000,106496000,119651000,131017000
4,Gross Profit Ratio,0.4557,0.5323,0.5335,0.5470,0.5551,0.5725,0.5882,0.5842,0.5976
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,35000,2942000,11521000,14799000,18024000,19664000,22501000,23676000,25931000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",35000,2942000,11521000,14799000,18024000,19664000,22501000,23676000,25931000
9,Other Expenses,142000,21645000,40801000,35643000,48752000,47470000,69086000,82411000,86878000
10,Operating Expenses,177000,24587000,52322000,50442000,66776000,67134000,91587000,106087000,112809000
11,COGS and Expenses,349000,44769000,107206000,110617000,130946000,129805000,166157000,191236000,201032000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,6178000,17103000,19587000,26268000,30870000,41744000,32546000,27517000
14,Depreciation and Amortization,142000,21645000,40801000,35643000,48752000,47470000,69086000,82411000,86878000
15,EBITDA,-28000,12222000,47072000,77112000,128394000,76731000,209970000,158975000,137432000
16,EBITDA ratio,-0.0886,0.2832,0.4001,0.5805,0.8902,0.5234,1.1596,0.7762,0.6269
17,Operating Income,-170000,-10259000,7477000,21845000,13289000,16792000,142593000,82715000,64422000
18,Operating Income ratio,-0.5380,-0.2378,0.0635,0.1644,0.0921,0.1145,0.7875,0.4039,0.2938
19,Total Other Income Expenses (Gains),- -,-7274000,-18470000,4043000,43070000,-18406000,-43155000,-38565000,-41316000
20,Income Before Tax,-170000,-17533000,-10993000,25888000,56359000,-1614000,99438000,44150000,23106000
21,Income Before Tax Ratio,-0.5380,-0.4063,-0.0934,0.1949,0.3907,-0.0110,0.5492,0.2156,0.1054
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-170000,-15601000,-10832000,21882000,53374000,-1609000,99140000,44018000,23037000
24,Net Income ratio,-0.5380,-0.3616,-0.0921,0.1647,0.3700,-0.0110,0.5475,0.2149,0.1051
25,EPS,-0.01,-0.73,-0.51,1.03,2.53,-0.08,4.11,1.78,0.00
26,EPS Diluted,-0.01,-0.73,-0.51,1.03,2.49,-0.08,4.03,1.74,0.00
27,Weighted Average Shares Outstanding,21294000,21294000,21294000,21232000,21057000,21189000,24116000,24715000,25175000
28,Weighted Average Shares Outstanding Diluted,21294000,21294000,21294000,21314000,21399000,21667000,24593000,25234000,25175000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1620393/000156459016015074/0001564590-16-015074-index.html,https://www.sec.gov/Archives/edgar/data/1620393/000156459017004340/0001564590-17-004340-index.html,https://www.sec.gov/Archives/edgar/data/1620393/000156459018002112/0001564590-18-002112-index.html,https://www.sec.gov/Archives/edgar/data/1620393/000156459019003281/0001564590-19-003281-index.html,https://www.sec.gov/Archives/edgar/data/1620393/000156459020005798/0001564590-20-005798-index.html,https://www.sec.gov/Archives/edgar/data/1620393/000156459021007197/0001564590-21-007197-index.htm,https://www.sec.gov/Archives/edgar/data/1620393/000156459022005606/0001564590-22-005606-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,12662000,16226000,22705000,16036000,19864000,25671000,24457000,49450000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,12662000,16226000,22705000,16036000,19864000,25671000,24457000,49450000
34,Net Receivables,- -,1151000,2122000,3008000,2932000,3340000,6285000,9045000,4844000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,50386000,48830000,113664000,61732000,49652000,94177000,34963000,43947000
37,Total Current Assets,- -,64199000,67178000,139377000,80700000,72856000,126133000,68465000,98241000
38,PP&E,- -,610642000,900309000,878467000,956855000,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,5442000,729000,4490000,843000,1424000,6243000,1117000,1547000
41,Intangible Assets,- -,5442000,729000,4490000,843000,1424000,6243000,1117000,1547000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,17074000,8057000,13063000,16977000,1086930000,1733613000,1759632000,1963679000
45,Total Non-Current Assets,- -,633158000,909095000,896020000,974675000,1088354000,1739856000,1760749000,1965226000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,697357000,976273000,1035397000,1055375000,1161210000,1865989000,1829214000,2063467000
48,Accounts Payable,- -,5642000,5106000,5551000,6226000,5765000,11971000,10058000,12590000
49,Short-Term Debt,- -,- -,29000000,340366000,38419000,- -,216501000,182323000,278215000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,12822000,13182000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,1639000,1775000
52,Other Current Liabilities,- -,4910000,7519000,63286000,42106000,28777000,57073000,15096000,15673000
53,Total Current Liabilities,- -,10552000,41625000,409203000,86751000,34542000,285545000,209116000,308253000
54,Long-Term Debt,- -,486976000,682342000,367453000,724057000,824702000,1145371000,1162855000,1276285000
55,Deferred Revenue,- -,792000,1824000,1275000,1470000,1482000,1658000,1639000,- -
